,ID,Job tenure,Age,Car price,Funding amount,Default (y)
6253,6254,40,66,16150,14104,0
5218,5219,6,42,9990,10124,0
6000,6001,5,31,21895,24053,1
3538,3539,18,40,9300,6272,0
3089,3090,2,35,11200,12433,0
5885,5886,1,46,11250,13360,0
2842,2843,0,21,18970,19417,1
4812,4813,1,65,5800,4300,0
4149,4150,0,49,16450,16450,0
5341,5342,0,23,13980,13980,1
2221,2222,1,30,11750,10965,0
7167,7168,6,34,7190,7951,0
6869,6870,4,39,12500,12500,0
1142,1143,5,35,10105,11339,1
1168,1169,1,27,17069,20660,1
332,333,48,64,13620,9000,0
586,587,1,28,10990,10990,0
7288,7289,6,59,13880,11077,0
408,409,9,43,10520,5340,0
37,38,25,58,18538,9273,0
61,62,24,58,13500,11950,0
6179,6180,8,26,7970,8709,0
1731,1732,5,70,14200,5000,0
7203,7204,7,55,21524,21524,0
2879,2880,1,28,20039,21680,0
1188,1189,7,50,13500,13677,0
4407,4408,4,33,9890,8227,0
6840,6841,15,38,12485,11184,0
4559,4560,1,44,13000,11952,1
6274,6275,22,62,9790,5480,0
7110,7111,2,26,12990,6990,0
95,96,10,51,18500,20378,0
5781,5782,6,53,6000,6000,0
1978,1979,3,21,23000,21250,1
4584,4585,0,46,12500,11374,0
5598,5599,1,28,7500,6193,0
169,170,2,24,7560,6592,0
1507,1508,2,22,7990,7990,0
4577,4578,20,49,11490,10086,0
6116,6117,2,29,22850,22850,1
1410,1411,1,21,9190,10723,0
4794,4795,0,29,16730,11730,0
6966,6967,6,25,7579,8541,1
7153,7154,3,51,23100,18568,0
2351,2352,5,36,13684,13927,0
3044,3045,1,45,21000,22789,0
6133,6134,7,60,5360,1948,0
1954,1955,20,43,17000,17000,0
3182,3183,30,61,9100,9100,0
2550,2551,16,58,6000,6854,1
6538,6539,1,28,2950,1900,0
3196,3197,5,29,10220,7905,0
2199,2200,28,51,16000,7250,0
2586,2587,22,77,11800,3800,0
736,737,5,67,14488,11627,0
2937,2938,23,42,7490,6773,0
6502,6503,17,44,10900,5900,0
748,749,0,57,12990,14674,1
7227,7228,32,62,3629,3629,0
1606,1607,5,42,7430,8596,0
251,252,3,36,18470,20098,0
5812,5813,1,21,21990,21990,0
576,577,6,28,9450,5794,0
4417,4418,2,65,20900,15900,0
3208,3209,9,69,13300,12300,0
5477,5478,3,19,18990,20281,1
4829,4830,19,59,13990,9990,1
3524,3525,1,56,5000,4700,0
2794,2795,2,40,10900,8900,0
2302,2303,9,38,19880,13880,0
5537,5538,0,26,19886,23192,0
1277,1278,30,56,11050,11050,0
1009,1010,10,58,24500,16329,0
7155,7156,24,53,6019,3353,0
4825,4826,1,51,6300,7200,0
429,430,0,38,11199,11510,0
6620,6621,31,55,12669,13881,0
6332,6333,3,65,6990,3790,0
3148,3149,25,53,3700,3758,0
544,545,0,41,8490,9371,0
4687,4688,27,54,13890,11390,0
2178,2179,10,63,19890,21137,1
3221,3222,19,78,13950,9895,0
7323,7324,7,59,9035,9742,0
1144,1145,27,46,6244,6244,0
3309,3310,25,49,9250,10380,0
1320,1321,20,58,7641,7903,0
1726,1727,32,54,18990,13840,0
263,264,32,59,13700,12700,0
5842,5843,3,45,12901,9990,0
3927,3928,1,49,13750,13012,0
4626,4627,5,48,9400,10502,0
3570,3571,13,37,9950,10872,0
7104,7105,17,48,17000,17000,0
2338,2339,11,53,14440,15666,0
4084,4085,29,46,16809,16939,0
7000,7001,1,31,3950,2000,0
3626,3627,7,49,16388,16388,0
2484,2485,4,39,9590,9190,0
1964,1965,36,59,7897,8173,0
6246,6247,4,30,7990,8122,0
2732,2733,22,57,2700,2700,0
1672,1673,23,57,13500,13500,0
3885,3886,10,32,17910,13410,0
79,80,0,44,5839,6067,0
3404,3405,7,59,24585,21585,0
3995,3996,1,55,6990,6990,1
3113,3114,3,60,4016,4016,0
6804,6805,4,34,12790,12790,0
5455,5456,6,49,16250,10380,0
5609,5610,5,50,7685,8342,0
3265,3266,5,54,12690,11083,1
5266,5267,0,21,6350,7254,0
2245,2246,8,28,24900,12100,0
1544,1545,1,26,5675,5675,1
230,231,2,65,7500,7499,0
6932,6933,1,25,7825,8562,1
6876,6877,2,27,8690,9427,1
2126,2127,33,51,19990,22863,0
4952,4953,7,47,18490,21146,1
5033,5034,28,63,20310,21033,0
6425,6426,2,31,8990,5500,0
6266,6267,3,50,14200,9869,0
3779,3780,6,38,16490,14490,0
6333,6334,20,63,7000,7000,0
1760,1761,1,19,22890,22890,1
6314,6315,8,51,15900,12897,0
5184,5185,4,36,9335,2394,1
4582,4583,8,37,34829,13829,0
2406,2407,1,32,7650,8305,0
3886,3887,1,52,16800,17941,0
177,178,15,78,12540,12240,0
1616,1617,8,67,8590,9071,0
5318,5319,44,64,11884,7843,0
3307,3308,0,37,5400,4346,0
2166,2167,9,52,20204,3285,0
5856,5857,28,55,17945,20863,0
5061,5062,13,39,4600,3022,0
7025,7026,14,79,11990,8282,0
7165,7166,36,54,34705,11365,0
3937,3938,0,30,10900,8900,0
1087,1088,2,26,10360,10490,0
4076,4077,2,63,20590,17590,0
4325,4326,2,33,15990,17661,1
1501,1502,3,23,4650,4650,0
1197,1198,46,62,13699,14544,0
6764,6765,4,57,7800,7800,0
676,677,5,39,19300,8500,0
503,504,14,77,10046,10046,1
4001,4002,8,73,12750,9750,0
5629,5630,6,50,5100,5100,0
6715,6716,10,30,11689,5189,0
2132,2133,7,29,17290,11928,0
957,958,20,53,26980,24203,0
2284,2285,1,46,7105,4414,0
6977,6978,2,68,8950,11055,0
3721,3722,0,56,13300,14970,1
6847,6848,17,42,10905,12401,0
4630,4631,3,45,11290,2290,0
5375,5376,11,54,9521,9479,0
6808,6809,21,54,10989,9489,0
2298,2299,19,54,7719,8230,0
3949,3950,3,22,13333,11747,0
5386,5387,1,35,23232,23232,0
3979,3980,1,24,14050,15462,1
1193,1194,2,55,7990,6508,0
1330,1331,2,37,16110,18266,0
1487,1488,4,36,8890,5890,0
7200,7201,14,38,14950,16950,0
2746,2747,1,50,15200,6200,0
5026,5027,23,53,18881,17988,0
1281,1282,22,40,6500,6980,0
6854,6855,4,41,8990,4115,0
6534,6535,19,47,19000,20835,0
4708,4709,5,27,15150,13766,0
5480,5481,14,30,20850,25599,0
5904,5905,2,55,14290,4290,0
7264,7265,23,83,6420,6420,1
1886,1887,0,28,11500,11500,0
318,319,17,56,8390,8926,0
1916,1917,6,24,13500,13500,0
5284,5285,6,66,15125,12939,0
1600,1601,14,73,7078,4000,0
7303,7304,3,34,8900,3085,0
5700,5701,1,26,5990,5649,0
6767,6768,15,58,5037,5618,1
2208,2209,29,56,4785,4785,0
41,42,21,40,6752,6752,0
3478,3479,41,57,9200,7200,0
7093,7094,39,56,10890,9390,0
3989,3990,6,66,9085,9735,0
1595,1596,1,64,13950,7309,0
3539,3540,2,21,22950,22656,1
185,186,0,37,10120,11306,0
4063,4064,9,40,16085,11085,0
3250,3251,22,54,8203,8203,0
554,555,22,52,4000,4112,0
6671,6672,1,55,7860,5990,0
2802,2803,9,67,9485,7441,0
4994,4995,6,32,8500,9941,0
87,88,8,47,9950,7950,0
2755,2756,18,49,12950,11933,0
5901,5902,5,23,10450,10841,0
6768,6769,1,33,5490,5530,1
2275,2276,2,42,24500,26201,1
4100,4101,1,39,1600,1600,0
4395,4396,5,59,9500,9937,1
1242,1243,10,70,11990,6990,0
858,859,1,30,20600,19086,1
1871,1872,0,26,11700,6108,0
3256,3257,2,46,16908,18467,0
2439,2440,7,39,12800,5877,0
1163,1164,38,55,18939,17066,0
5168,5169,7,55,13750,14551,1
7191,7192,20,48,22250,11150,0
5404,5405,3,25,18000,19599,1
2992,2993,11,33,8250,9015,0
7064,7065,6,42,14600,13100,0
6691,6692,12,77,10000,5000,0
7014,7015,3,67,12000,10000,0
5964,5965,4,51,8750,10469,0
465,466,1,41,20950,21800,0
2926,2927,2,44,5641,5851,0
6789,6790,0,33,4500,4731,0
706,707,11,76,6900,7407,1
4382,4383,2,49,8490,5631,1
1817,1818,5,51,15040,10500,0
2860,2861,7,30,5990,5888,0
6073,6074,11,77,17460,5350,0
5071,5072,3,46,7800,6800,0
5707,5708,1,23,28400,26448,0
3032,3033,18,45,9276,9276,1
4050,4051,0,50,12490,12490,0
5302,5303,0,29,19414,22300,0
4791,4792,26,52,9950,12973,0
69,70,0,53,13200,14383,0
2225,2226,18,51,16365,15461,0
5775,5776,7,47,28190,19876,0
3438,3439,13,52,8833,5190,0
3024,3025,36,58,22487,14084,0
927,928,8,52,17945,17961,0
5245,5246,3,26,23640,23640,0
7201,7202,4,33,18390,11146,0
3753,3754,41,59,19630,17830,0
2759,2760,6,54,8990,3990,0
828,829,3,21,8299,6903,0
4121,4122,3,23,23000,23000,1
1732,1733,4,40,18087,18087,1
1650,1651,0,27,10100,11696,0
6881,6882,1,31,19286,19286,0
3903,3904,3,27,9500,2695,1
3880,3881,1,34,12790,8621,0
3908,3909,0,22,10333,11181,1
1593,1594,2,24,20000,19510,1
19,20,44,60,13800,11808,0
3197,3198,4,62,4990,5447,0
2991,2992,2,49,19179,22929,0
472,473,5,48,18985,13985,0
5804,5805,16,77,5350,5350,0
3494,3495,37,58,4450,4711,0
239,240,5,29,4467,4817,0
5857,5858,18,36,14550,15828,1
4128,4129,19,38,5890,6400,0
1728,1729,7,66,9659,9758,1
2576,2577,34,51,9500,9325,0
7079,7080,7,29,5990,7196,0
4487,4488,3,39,21475,20327,0
393,394,8,69,8021,8021,0
786,787,5,66,29990,28494,0
308,309,9,73,20000,20411,0
5368,5369,1,28,14990,16254,0
2543,2544,2,45,9090,6665,0
5364,5365,8,39,5591,5199,0
2299,2300,10,72,8990,7490,1
2954,2955,0,32,4045,4468,0
5738,5739,1,42,18485,18585,0
2306,2307,4,62,34460,26960,0
3689,3690,11,75,18300,18300,1
4625,4626,7,45,8995,6995,0
2177,2178,7,32,19968,19968,1
3698,3699,5,24,19100,17990,0
3038,3039,3,44,18500,18500,0
4122,4123,1,48,11440,10181,0
6012,6013,3,26,7650,9225,0
5219,5220,3,37,10575,9434,0
6648,6649,1,37,16810,18488,0
3824,3825,15,54,6590,4506,0
1055,1056,3,58,5628,4243,1
6704,6705,3,26,13430,10089,0
7084,7085,37,55,23622,25560,0
496,497,1,48,13000,10000,0
4019,4020,0,37,16500,18798,1
2478,2479,17,59,4300,2967,0
5261,5262,5,36,13259,13803,0
3790,3791,5,57,2500,2640,0
4030,4031,1,23,8990,10088,1
6758,6759,1,24,8069,3440,0
2781,2782,1,44,10840,5719,0
6204,6205,1,46,6409,7476,0
5360,5361,4,31,12537,13594,0
222,223,23,62,8480,8725,1
3484,3485,10,74,7990,4990,0
1393,1394,4,55,19950,21988,0
2249,2250,5,50,9900,9673,0
6209,6210,6,55,10680,7680,0
2036,2037,7,47,14800,13649,0
4947,4948,11,44,14185,15583,1
2977,2978,3,29,24900,26833,0
1317,1318,12,71,5000,5205,0
2348,2349,1,18,17964,17797,1
1041,1042,32,57,5254,5547,0
5968,5969,0,26,9900,9323,1
3386,3387,1,31,29990,29990,1
3980,3981,1,32,6598,1598,0
3929,3930,12,47,13500,9800,0
1335,1336,18,44,6300,6884,0
1215,1216,34,57,6700,3825,0
789,790,9,48,7990,7990,0
509,510,0,21,13590,14830,1
7193,7194,13,44,9000,4500,0
5141,5142,0,52,12129,11562,0
6634,6635,26,61,5000,5000,0
6605,6606,8,27,15899,14665,0
4917,4918,10,70,11985,2134,0
3668,3669,0,25,21495,21495,0
3166,3167,2,47,17975,16412,0
3399,3400,0,36,35000,29750,0
2855,2856,7,29,4780,5126,0
1263,1264,3,20,6960,7729,1
2226,2227,2,34,15840,15950,0
6075,6076,11,41,13990,13534,0
5025,5026,2,33,23500,23500,0
1451,1452,26,56,8500,8891,0
1803,1804,3,67,12705,12828,0
4401,4402,15,53,8938,9711,0
6098,6099,1,43,15890,15890,1
6651,6652,12,44,31000,25000,0
7253,7254,2,40,13980,15434,0
642,643,11,67,19190,19190,0
1740,1741,5,32,9830,6830,0
457,458,0,63,19615,22096,0
2549,2550,12,66,8900,7400,0
6430,6431,11,28,8910,3889,0
2344,2345,0,65,8999,6252,0
1807,1808,0,48,7900,8331,0
6311,6312,2,52,9290,3790,0
7229,7230,10,51,26999,19897,0
2585,2586,0,24,3600,3983,1
3181,3182,1,56,8190,6040,0
1412,1413,9,52,14410,17302,0
50,51,1,19,18990,20450,1
5096,5097,4,45,8990,9958,0
877,878,8,26,18200,15200,0
245,246,14,60,11385,11485,0
3050,3051,16,37,7430,5430,0
4705,4706,0,22,8900,9826,1
5865,5866,18,47,6220,3564,0
7083,7084,39,56,5985,6004,0
6822,6823,7,32,5750,6248,0
3656,3657,26,55,18402,3500,0
7260,7261,2,25,13900,13900,0
6539,6540,1,38,8000,8710,1
4903,4904,5,41,6340,5470,1
4326,4327,2,40,23780,26125,1
5413,5414,10,46,34960,28179,0
2628,2629,9,39,10450,11636,1
2646,2647,4,54,15180,14180,0
4925,4926,42,59,16110,5854,0
3580,3581,3,60,25990,27927,1
321,322,26,46,15300,17384,0
3904,3905,36,61,7095,7330,0
1811,1812,6,70,7930,8885,0
3053,3054,1,27,14790,17249,0
2846,2847,4,62,24980,26146,1
2405,2406,15,41,4401,4401,0
6827,6828,7,39,12100,6200,0
1509,1510,16,55,23250,25080,0
3320,3321,3,41,9000,9920,1
2523,2524,1,29,2239,2239,0
7316,7317,20,47,6900,6464,0
468,469,15,49,26290,14590,0
6153,6154,1,25,10100,7700,0
4004,4005,36,58,17165,6855,0
4987,4988,0,25,11550,12537,0
4758,4759,21,57,5490,5607,1
6520,6521,4,67,8575,7662,0
6189,6190,10,66,30970,19970,0
5950,5951,3,60,13680,13612,0
233,234,0,27,3546,3809,1
65,66,9,36,19683,22848,0
4381,4382,0,30,20950,22352,0
1729,1730,1,55,8010,5113,0
7247,7248,5,62,5200,5624,0
3383,3384,2,26,14950,14950,1
5231,5232,1,23,14269,15704,1
970,971,23,40,13970,13970,0
4607,4608,4,34,10360,9990,0
381,382,2,62,28930,26930,1
800,801,1,30,9590,9590,1
1867,1868,14,39,17090,17990,0
5905,5906,1,35,13730,15520,1
3049,3050,20,36,24990,24990,0
5094,5095,27,49,16500,11500,0
217,218,1,64,22610,18874,1
2184,2185,0,49,28975,28975,0
743,744,6,40,6999,7989,0
7423,7424,22,43,23900,27815,0
6951,6952,2,29,15730,14620,0
6470,6471,0,52,10980,10980,1
1467,1468,1,65,19690,9820,0
2318,2319,3,20,8450,8874,1
2827,2828,15,57,8900,5493,0
2310,2311,25,42,15980,15980,0
4772,4773,0,53,7800,7865,0
435,436,31,47,11400,5400,0
1656,1657,0,63,19000,13000,0
4161,4162,8,49,17600,3858,0
6057,6058,11,38,15340,11340,0
7048,7049,3,27,12890,17259,0
1869,1870,19,51,18990,19027,0
3540,3541,16,80,22450,15450,0
6479,6480,10,32,8415,9429,1
6127,6128,2,51,3640,3952,0
2881,2882,1,27,15990,13490,0
6045,6046,14,32,21657,18766,0
4015,4016,33,57,5682,6365,0
3796,3797,2,27,10500,8728,0
5780,5781,0,32,4500,4500,0
1199,1200,28,49,28000,18000,0
763,764,15,49,15000,10000,0
1649,1650,2,42,13870,15366,0
2569,2570,3,41,21990,20279,0
6286,6287,2,20,10880,12638,0
996,997,37,57,15790,14590,1
7207,7208,13,67,7900,9847,1
486,487,11,57,15800,10800,0
1582,1583,19,51,11670,7270,0
2473,2474,3,55,12390,4390,0
3043,3044,19,58,6437,6635,0
1022,1023,4,56,13500,7327,0
3768,3769,23,41,10990,10990,0
2519,2520,0,25,8000,8938,1
6347,6348,10,35,5281,5281,0
5329,5330,36,61,15947,15947,0
5620,5621,4,38,6990,4990,0
4782,4783,27,70,6850,6621,1
4706,4707,2,39,13701,14958,1
4836,4837,11,47,26797,26797,1
5516,5517,25,46,13500,15118,0
7392,7393,39,62,15995,10995,0
48,49,3,61,9710,9220,0
176,177,1,23,13000,11248,0
1536,1537,0,60,13990,15355,0
6826,6827,0,43,10420,10334,0
3308,3309,38,57,11110,9110,0
5743,5744,4,40,8440,5364,0
4336,4337,0,48,22262,22469,0
2107,2108,0,23,10990,11941,1
91,92,2,56,22129,17629,0
538,539,5,27,17877,19822,1
6900,6901,33,55,6990,7658,0
742,743,13,46,15635,9035,0
3470,3471,2,40,13980,4286,0
4828,4829,4,31,13000,14793,0
1005,1006,5,32,8450,8184,1
1499,1500,18,57,20990,15923,0
6289,6290,1,34,4900,5424,0
7015,7016,11,43,4524,4524,0
106,107,6,28,20400,18900,0
4608,4609,0,24,6950,7080,1
5330,5331,5,56,15695,16911,0
3686,3687,2,20,27500,27000,1
3132,3133,4,42,23070,17703,0
5613,5614,36,60,10379,8984,0
3439,3440,9,35,9300,10084,0
3370,3371,3,68,16990,4058,0
1061,1062,1,52,10990,11917,0
2094,2095,6,44,12300,6984,0
5584,5585,0,20,11313,8490,0
5668,5669,1,20,15334,15334,0
2088,2089,7,72,9400,3593,0
2676,2677,4,66,10940,5158,1
6762,6763,0,46,15439,3939,0
3071,3072,16,79,12950,7972,0
5406,5407,10,34,11825,8311,0
167,168,0,25,16890,16153,0
5755,5756,2,39,7862,7862,1
2462,2463,1,32,6000,6000,0
1315,1316,14,79,4552,4680,0
6321,6322,0,39,21490,19290,0
5291,5292,15,77,9259,3259,0
3651,3652,0,26,14790,9437,1
1755,1756,27,51,6040,6693,0
1858,1859,22,46,23390,11869,0
4766,4767,30,51,15901,15990,0
7145,7146,1,25,12900,12400,1
6567,6568,5,57,10850,7537,1
4467,4468,5,36,8154,8622,0
6761,6762,8,50,6194,6680,0
2287,2288,12,43,15500,17684,0
4313,4314,8,43,6850,5351,0
3379,3380,28,45,22730,23480,0
5451,5452,13,36,12639,12639,0
1385,1386,3,25,11290,12337,1
3018,3019,1,28,15200,11785,0
4355,4356,7,36,18500,2500,0
5866,5867,8,46,13850,13850,1
2333,2334,1,21,4900,4900,0
1512,1513,0,25,16750,18434,0
511,512,12,76,6711,7149,1
1174,1175,1,35,9500,8800,0
997,998,5,44,22229,24339,0
3688,3689,6,51,10205,10205,0
4861,4862,16,56,10418,10418,0
7241,7242,5,44,5489,5964,0
5643,5644,1,19,21950,21950,1
1374,1375,22,55,3990,1640,0
4195,4196,0,36,14990,14580,0
3482,3483,19,46,23950,11600,0
2684,2685,29,52,10744,10744,0
4936,4937,0,54,11890,12992,0
1883,1884,22,50,10450,6570,0
1057,1058,5,64,5199,5875,1
4291,4292,2,26,20100,16100,0
1623,1624,30,47,8469,9202,0
1934,1935,0,51,22490,18990,0
1074,1075,11,28,9970,4563,0
1480,1481,26,56,9000,9739,0
7290,7291,8,39,12510,13200,0
73,74,1,37,14700,7118,0
3871,3872,4,59,11420,11420,0
6454,6455,0,23,15990,15579,1
2389,2390,18,46,29490,25813,0
2829,2830,12,58,19199,20327,0
1820,1821,1,56,10639,11396,0
3381,3382,1,23,19990,19990,1
4525,4526,20,80,6862,6862,0
6143,6144,19,55,20590,16071,1
2517,2518,1,39,11950,12100,0
179,180,1,20,16790,18821,1
2516,2517,8,50,13485,10385,0
3125,3126,0,27,14890,14890,0
4717,4718,15,38,20790,24038,0
2885,2886,19,46,22702,16951,0
1559,1560,1,31,15000,14000,0
1042,1043,5,49,11999,11999,0
1097,1098,2,30,4704,4704,0
31,32,9,71,22830,12330,0
6548,6549,2,54,4888,4888,0
3787,3788,4,39,16700,12674,0
5121,5122,4,39,10400,11432,1
168,169,2,27,26228,21368,0
2481,2482,23,51,10980,6412,0
4371,4372,25,49,14623,14623,0
1261,1262,2,35,30070,27441,1
6903,6904,0,40,13000,3000,0
7006,7007,0,19,19900,21650,1
3896,3897,9,63,11508,11508,1
2531,2532,3,37,20922,24245,0
6599,6600,0,30,9589,9202,0
7378,7379,8,56,3490,3490,0
4664,4665,18,56,7449,7449,0
3849,3850,15,48,10000,11271,0
7060,7061,2,58,19680,12825,0
3543,3544,30,54,4598,4598,0
6123,6124,5,22,14000,4000,0
5246,5247,11,50,20780,19409,0
1383,1384,10,59,6795,7154,0
5049,5050,36,52,4322,4696,0
5746,5747,23,46,6968,7503,0
1002,1003,24,53,25530,16420,0
2091,2092,26,47,7690,8660,0
7384,7385,4,46,9000,8200,1
4974,4975,23,88,4000,4000,0
683,684,11,45,27500,5312,0
5316,5317,3,31,16900,16394,0
1328,1329,0,18,10990,11955,1
1608,1609,20,53,13785,13785,0
3286,3287,1,24,11400,8400,0
2868,2869,10,49,9950,9950,0
1103,1104,4,28,6560,7140,0
1483,1484,3,31,11149,9078,1
7138,7139,0,24,10548,12423,0
1302,1303,9,31,20880,22418,1
500,501,1,56,7950,6950,1
437,438,4,27,8990,9621,1
3601,3602,8,67,10100,10501,0
1128,1129,2,28,7200,7200,0
2850,2851,22,54,11591,12649,0
2173,2174,13,49,4700,3700,0
5994,5995,0,42,7200,8025,1
80,81,16,38,14900,14900,0
1426,1427,4,59,28180,19458,0
5681,5682,34,51,9460,2009,0
6525,6526,1,34,17809,16810,0
5296,5297,5,44,6500,7231,0
2728,2729,0,29,10980,13133,1
1543,1544,2,36,8500,9197,0
3866,3867,3,34,11400,11199,0
2115,2116,30,57,6900,3050,0
2087,2088,21,77,7600,8026,1
1561,1562,11,76,4405,2997,0
7289,7290,4,64,35200,25200,0
7076,7077,14,55,7000,5000,0
3458,3459,4,57,15655,19299,0
5039,5040,1,18,21990,23346,1
1662,1663,14,61,14900,12900,0
534,535,4,68,6600,8186,1
711,712,10,46,6800,2050,0
1075,1076,10,51,9767,9767,0
585,586,1,23,12990,12623,1
6134,6135,2,25,8990,9748,0
737,738,2,63,34700,24700,0
4220,4221,31,59,16400,11923,0
1153,1154,0,26,10950,11226,0
4328,4329,2,56,13200,9122,0
4418,4419,10,74,13990,14140,0
491,492,10,31,21593,11571,0
7301,7302,2,52,16700,16700,0
4216,4217,9,37,10890,9178,0
6049,6050,8,45,8104,8104,0
1632,1633,5,36,6900,7831,0
1430,1431,28,46,17100,14300,0
6081,6082,3,64,15115,8527,0
2921,2922,31,48,5890,3890,0
6868,6869,2,64,25800,21391,0
852,853,17,63,21380,21380,0
811,812,1,30,8490,7490,1
4091,4092,5,29,5500,5500,0
3994,3995,4,59,16950,15816,0
2499,2500,3,46,13499,12137,0
1775,1776,26,51,17000,19275,0
2436,2437,7,28,11990,14322,0
1181,1182,3,23,15317,11437,1
1786,1787,29,54,4264,4535,0
4606,4607,1,21,10800,11639,1
401,402,1,29,30968,29107,1
1244,1245,0,36,15990,18984,1
157,158,15,57,26790,15790,0
4890,4891,44,61,3490,2617,0
7216,7217,24,53,22300,23627,0
1790,1791,19,48,13500,13730,0
6834,6835,11,76,10500,10500,0
6357,6358,2,44,4990,4052,0
3715,3716,6,33,13659,14449,1
994,995,4,62,9300,6869,0
6606,6607,4,68,4342,3342,0
5380,5381,18,51,13049,13853,0
2699,2700,9,57,15000,10728,0
5686,5687,23,58,8870,9000,0
573,574,17,74,24990,16990,0
3406,3407,5,33,13000,8615,0
4367,4368,15,42,4529,4864,0
6658,6659,15,49,4490,4879,0
3128,3129,6,35,17700,17700,0
1034,1035,11,45,9990,7698,0
535,536,20,40,26000,11000,0
5888,5889,5,36,24783,27112,0
1862,1863,3,26,24962,24962,1
5969,5970,19,49,11062,11062,0
7261,7262,0,63,17150,3150,0
5046,5047,0,37,9945,9945,1
2495,2496,1,30,15100,16384,0
1172,1173,7,51,10689,4153,0
3745,3746,11,52,12838,10953,0
6162,6163,1,24,7900,8969,1
5277,5278,14,49,16500,14821,0
4129,4130,24,51,4100,3500,0
6142,6143,1,27,10950,6465,0
4416,4417,8,50,11990,4398,0
5259,5260,6,53,6298,6782,0
473,474,17,47,8300,8300,0
1652,1653,15,60,5865,5865,0
4127,4128,9,77,19990,19990,1
1979,1980,0,20,11365,12225,1
6621,6622,0,37,6890,2890,0
7380,7381,24,62,9000,4462,0
1407,1408,1,21,15000,14428,0
469,470,18,77,7299,7299,1
2181,2182,4,40,17400,10200,0
5610,5611,5,50,6200,6200,0
3194,3195,16,33,13490,14111,0
5979,5980,15,58,15550,16469,0
247,248,9,38,8950,7939,0
7311,7312,21,47,6412,6894,0
4842,4843,7,52,11500,7595,0
4722,4723,12,40,8990,9828,1
6602,6603,16,41,16300,13800,0
2510,2511,11,75,12020,1510,0
4640,4641,1,54,15990,18408,0
6725,6726,27,58,7067,7067,0
2859,2860,5,47,8990,8869,0
1038,1039,3,41,7890,8958,0
3948,3949,0,57,7300,7572,1
7113,7114,7,43,11990,13186,0
228,229,4,50,17460,18490,0
3154,3155,2,35,5990,5030,0
6147,6148,0,25,10990,10100,0
17,18,3,22,9078,9909,0
7255,7256,1,36,23490,25708,0
2291,2292,30,56,12700,2792,0
6391,6392,17,51,11576,11576,0
6392,6393,1,48,11990,3990,1
2206,2207,4,29,22750,14742,0
5945,5946,3,35,17845,14470,0
2415,2416,5,30,12750,7005,0
5943,5944,1,30,13070,13423,0
3206,3207,4,57,9000,9000,0
