,Job tenure,Age,Car price,Funding amount,Default (y)
7180,3,27,6490,1539,0
6984,5,34,8250,8635,0
3570,13,37,9950,10872,0
6870,2,34,25877,25877,1
3770,5,22,8234,8383,0
6479,10,32,8415,9429,1
5538,3,30,9790,9790,0
3021,3,29,13830,10866,0
142,0,38,24880,27364,1
4899,3,33,9018,9018,0
3475,0,29,13116,10175,0
6048,1,22,10900,11934,0
6942,1,36,15990,18850,0
4291,2,26,20100,16100,0
4731,2,31,14115,13275,0
4087,1,26,15300,17038,0
4698,2,28,15890,15890,0
747,1,22,25658,25772,1
1261,2,35,30070,27441,1
6134,2,25,8990,9748,0
6751,1,40,14500,16131,0
2377,2,25,5660,4090,0
4180,7,30,9070,9638,0
6995,3,35,11990,13005,1
5598,1,28,7500,6193,0
6651,12,44,31000,25000,0
5184,4,36,9335,2394,1
6789,0,33,4500,4731,0
5636,1,31,12950,11435,0
2559,1,25,20990,23877,1
7222,2,39,12990,12499,0
7258,2,25,27750,26449,1
5196,9,30,15990,14143,0
4105,5,30,16900,12148,0
7252,5,43,9990,9990,0
2619,1,35,12849,12165,0
3196,5,29,10220,7905,0
1094,0,27,12200,12200,0
3000,4,30,16900,20346,0
303,0,23,25280,20280,1
93,9,34,19990,14190,0
543,2,20,5990,5990,1
752,7,40,10990,13288,0
4629,5,29,12490,13871,0
5185,12,32,7500,6565,0
1554,3,54,18930,18930,1
3651,0,26,14790,9437,1
2476,10,34,16900,16990,1
4751,0,35,14890,9990,0
6290,4,29,4490,4827,0
2662,2,48,10990,11955,0
1501,3,23,4650,4650,0
4987,0,25,11550,12537,0
2910,13,39,13900,15076,0
585,1,23,12990,12623,1
7421,8,44,17980,18719,0
3262,1,21,8990,9768,0
6654,2,26,11400,9237,0
465,1,41,20950,21800,0
1886,0,28,11500,11500,0
6519,7,34,14390,6325,0
1649,2,42,13870,15366,0
668,1,47,12550,13099,0
3298,0,35,15000,15000,1
5195,6,41,13750,13750,0
2906,0,18,12800,13908,1
3718,6,31,14300,13093,0
4441,0,45,11990,11990,0
3862,0,28,9950,9550,1
7124,4,24,5990,6489,0
3949,3,22,13333,11747,0
5983,1,47,13200,10000,0
866,0,29,16600,6600,0
847,0,25,26000,29175,1
2900,0,46,7940,8610,0
4055,2,30,11387,11526,0
2001,4,36,5990,5990,0
4442,6,25,13990,13990,0
5495,3,26,7000,7573,1
2683,2,21,22040,25333,1
1894,1,27,14933,13499,0
4695,8,35,12000,12000,0
103,0,41,16379,15374,1
861,2,24,15340,16688,1
3049,20,36,24990,24990,0
4487,3,39,21475,20327,0
5557,4,32,8800,10208,0
3559,2,20,13990,15289,1
480,4,36,10990,10990,0
764,5,29,11600,8184,0
5112,2,18,7600,7600,0
3698,5,24,19100,17990,0
4248,2,30,5050,5164,0
3733,1,48,12880,15573,0
91,2,56,22129,17629,0
3480,7,37,18970,1810,0
6780,2,32,4378,4490,0
7354,1,23,15500,15723,0
1666,0,39,12990,14837,0
188,6,38,12159,10659,0
7259,10,42,19980,15180,0
4279,7,45,16950,16950,0
3011,1,53,23005,23122,1
5531,0,42,13600,9100,0
6074,6,35,20111,20290,0
2318,3,20,8450,8874,1
7295,0,40,8790,4983,0
1393,4,55,19950,21988,0
737,2,63,34700,24700,0
3616,0,35,7980,8593,1
1079,2,34,11715,11840,0
6115,10,33,15500,10000,0
4955,11,33,10208,11125,0
7006,0,19,19900,21650,1
111,0,42,9990,11381,0
300,2,42,11990,17726,0
633,5,24,10850,11957,0
6801,16,41,19248,20047,0
5786,1,24,28990,29777,1
401,1,29,30968,29107,1
12,2,48,13400,11800,0
4905,2,33,19625,16125,1
1018,1,22,15885,17642,1
5775,7,47,28190,19876,0
238,2,49,21145,25455,0
5413,10,46,34960,28179,0
5785,2,36,10389,9191,0
903,9,38,10200,9900,0
2213,2,32,5790,6442,0
234,12,37,23000,15181,0
5430,3,31,20990,22844,0
2275,2,42,24500,26201,1
7249,0,33,10500,8341,0
2375,1,31,11490,6518,0
2168,2,31,3730,4061,0
5193,1,36,8147,8147,0
5074,1,50,23500,12000,0
7047,20,47,26780,26780,0
5025,2,33,23500,23500,0
7139,7,40,8675,9425,0
1434,0,38,12028,12028,0
6240,8,33,13750,15154,0
3166,2,47,17975,16412,0
453,2,30,32000,27000,0
2138,10,26,12000,12000,0
2654,4,31,15995,17214,1
2223,7,39,19340,14254,0
576,6,28,9450,5794,0
5118,10,28,20490,17990,0
2316,5,21,23000,6473,0
6723,5,31,19990,24490,0
1658,3,33,6990,5990,0
4816,0,33,10900,10995,0
2170,10,40,20795,22634,0
6270,1,27,6300,4821,0
7238,9,44,19800,18776,0
2622,0,37,9790,10616,0
1830,1,23,7940,9430,0
5406,10,34,11825,8311,0
3254,5,33,21920,23354,0
2960,1,38,10890,10841,0
2519,0,25,8000,8938,1
5227,2,39,14710,10970,0
6693,1,42,11990,11872,0
6645,0,33,9500,9500,1
3785,2,25,17410,13400,1
5041,0,18,11680,12557,1
5901,5,23,10450,10841,0
4582,8,37,34829,13829,0
6966,6,25,7579,8541,1
3285,0,32,7590,4590,0
334,0,39,13990,13990,0
4149,0,49,16450,16450,0
2727,1,44,11700,12721,1
3172,1,56,27000,27000,1
3388,0,21,8990,10224,1
2880,2,18,14010,16122,1
6264,0,19,6450,7171,1
5960,2,32,16260,16260,0
2258,0,28,15545,10487,0
6000,5,31,21895,24053,1
2648,1,28,23800,12900,0
5537,0,26,19886,23192,0
2627,5,36,3612,3907,0
2370,3,47,25000,13000,0
3535,0,22,14150,11038,0
1330,2,37,16110,18266,0
5302,0,29,19414,22300,0
7233,6,23,8990,8469,0
4510,11,30,12500,11964,0
5850,1,30,15985,18442,1
3939,7,37,6237,6999,1
1044,0,27,3500,3500,0
6726,1,21,25990,25990,0
3442,0,24,12500,10500,1
73,1,37,14700,7118,0
6123,5,22,14000,4000,0
5201,3,34,20500,16590,0
5666,1,30,9200,2200,0
1688,2,48,16000,15500,0
5696,6,35,17000,18834,0
4979,2,23,11820,10633,0
1489,1,26,5150,3998,0
2984,3,48,14777,16998,0
2846,4,62,24980,26146,1
3437,4,26,8726,8726,0
102,3,22,6600,2764,0
2754,3,29,10984,6426,0
3194,16,33,13490,14111,0
5519,0,26,10001,10001,0
7169,2,37,12490,14129,1
4456,0,21,18300,19359,0
6309,8,35,9250,9714,0
1507,2,22,7990,7990,0
2406,1,32,7650,8305,0
4813,1,27,10200,7753,0
7053,0,23,11890,12948,1
5447,1,32,11300,10551,1
6856,6,42,12900,13990,0
4386,8,37,21990,16990,0
6097,0,21,17990,19725,1
3834,0,49,13327,12327,0
2521,7,43,10700,11853,0
2351,5,36,13684,13927,0
4325,2,33,15990,17661,1
178,6,29,35010,29010,0
5451,13,36,12639,12639,0
292,0,32,14900,10900,0
2860,7,30,5990,5888,0
5620,4,38,6990,4990,0
1128,2,28,7200,7200,0
209,4,25,7154,7749,0
4301,0,45,22390,22390,1
2858,5,49,15700,14950,0
3381,1,23,19990,19990,1
210,12,32,20016,23250,1
3857,0,29,22000,24031,1
2807,5,26,10200,12113,0
2884,4,38,21180,20142,0
2638,4,38,19100,14068,0
122,5,31,16110,15870,0
5570,0,19,11900,11900,1
5218,6,42,9990,10124,0
3429,5,22,10500,8149,1
5711,4,22,8000,8130,1
2004,17,35,19900,14900,0
2776,7,48,21383,23432,0
4322,0,22,9990,11385,1
2617,12,33,15450,8350,0
1860,2,19,13990,14237,1
183,0,34,28650,26973,1
6306,6,34,20081,22174,0
5327,0,24,6114,6864,0
6621,0,37,6890,2890,0
4742,0,18,6000,2000,0
802,2,40,26490,29146,1
6805,2,21,24800,26756,1
1424,18,36,16190,17829,0
433,3,23,4490,4275,0
1349,4,36,6560,6690,0
410,6,29,19890,19890,0
637,0,44,11950,11950,0
4561,0,33,9500,10562,1
5521,4,27,10970,10290,0
101,1,40,15990,14990,1
3885,10,32,17910,13410,0
2302,9,38,19880,13880,0
3668,0,25,21495,21495,0
380,0,19,9999,10882,1
5994,0,42,7200,8025,1
4060,16,49,30180,24301,0
2691,1,26,11990,4501,0
4907,1,45,22145,22145,1
4787,4,44,16000,16000,0
2600,1,21,16890,6890,0
5936,2,37,17890,16790,1
5202,3,35,6710,8228,0
705,1,19,23990,24105,1
4553,2,29,12800,14209,1
6826,0,43,10420,10334,0
6727,2,34,17589,18379,0
3349,3,41,8968,9865,0
7403,10,41,29000,25500,0
6957,2,43,19340,19340,0
982,4,36,17140,15940,0
2045,0,26,9325,9450,0
6753,6,28,11318,12367,0
4098,1,41,12500,13965,1
330,10,39,14000,12000,0
4793,4,41,9710,6800,0
212,3,22,3990,4290,1
1892,0,22,7600,2600,0
2231,7,37,7079,7276,0
4537,2,41,22329,26658,0
7029,1,29,3798,1911,0
5634,5,40,8990,8000,0
381,2,62,28930,26930,1
413,3,21,8990,8478,0
6733,6,32,11970,11005,0
1238,2,24,7990,9220,1
428,7,29,6990,6636,0
1109,4,47,14950,12950,0
272,6,28,14690,14690,0
3459,1,23,9900,9900,1
1813,6,43,12300,12276,0
75,4,23,9000,8591,0
1038,3,41,7890,8958,0
4424,2,33,22500,22500,1
3323,4,26,20770,20658,1
2018,1,26,11800,4298,0
2438,2,19,26980,29191,1
1988,3,35,11250,11452,0
2879,1,28,20039,21680,0
2389,18,46,29490,25813,0
6089,8,32,33500,27500,0
765,12,30,9999,7999,1
5888,5,36,24783,27112,0
5660,7,27,8160,9340,0
4381,0,30,20950,22352,0
5008,10,33,19990,8717,0
516,0,33,6335,6822,0
2750,6,33,13000,12510,1
2181,4,40,17400,10200,0
6513,1,35,8802,7900,0
2531,3,37,20922,24245,0
607,8,33,23220,18495,0
1427,2,27,14250,12050,0
6932,1,25,7825,8562,1
4714,2,46,14080,15272,1
2415,5,30,12750,7005,0
251,3,36,18470,20098,0
1862,3,26,24962,24962,1
4295,1,26,11390,12331,0
7359,1,35,10522,11363,1
693,1,35,10900,9900,0
6699,2,26,17650,15150,0
3481,3,26,24800,24800,0
1924,8,41,16500,10500,0
4559,1,44,13000,11952,1
2470,2,43,17900,12000,0
1251,3,27,19390,17360,0
5082,0,42,14500,12384,0
4913,0,21,10985,11487,1
383,2,40,4700,5350,1
7289,4,64,35200,25200,0
2453,7,27,11130,8630,0
333,0,34,14160,14160,0
5631,9,40,22900,24093,0
4063,9,40,16085,11085,0
4168,12,29,28900,27937,0
3571,1,39,14600,14600,1
6142,1,27,10950,6465,0
50,1,19,18990,20450,1
3574,11,47,25870,26790,0
6315,1,32,9990,9140,0
3058,0,23,12600,13705,0
2780,2,22,26000,19122,0
592,6,25,8500,8500,1
4119,0,37,25400,28502,1
7409,2,22,7240,7240,0
787,1,27,5980,4980,0
2187,0,42,6690,7507,1
6012,3,26,7650,9225,0
6637,6,31,13070,11070,0
2185,9,29,33670,25670,0
6393,6,30,13992,15090,0
4694,1,44,29900,28250,0
6889,2,34,16480,15480,1
3660,0,48,13000,14116,0
5471,0,39,17480,13480,0
5220,4,21,12800,13986,0
279,5,32,11490,11490,0
3096,1,51,15990,15990,0
5120,0,34,15714,15003,1
4614,1,42,18400,17698,0
2500,0,47,26800,19300,0
6754,5,32,10390,4658,0
3692,3,36,15890,17035,1
807,1,24,11289,11812,0
2118,7,37,7200,6591,0
6846,0,23,8800,6264,0
107,0,45,16300,16300,0
2905,2,31,26877,22873,0
636,0,19,19248,19248,0
3881,3,23,6750,7073,1
2833,17,33,24190,17370,0
1732,4,40,18087,18087,1
6553,1,36,13490,14983,1
487,3,43,18850,8478,0
4172,2,20,13195,16129,1
6364,3,20,10490,9076,0
1926,8,24,8453,9166,0
2314,0,21,8500,8924,0
1305,16,33,21980,5480,0
1739,2,24,20990,17490,0
1456,3,39,8980,4980,0
6649,7,30,13300,13544,0
1226,2,33,6800,5260,0
1417,7,44,22440,24281,0
2706,1,27,15185,12185,0
99,3,37,9990,8052,0
1684,17,44,30809,24499,1
3213,3,35,7490,8078,0
2329,0,23,13400,14430,0
4781,0,27,9700,4997,0
2092,4,28,5500,5404,0
5825,2,22,12150,12512,0
6924,1,49,28365,27800,0
1006,0,47,8564,9626,1
3487,4,40,20990,20990,1
817,0,21,20500,20500,1
1966,0,23,17495,17495,0
4534,13,32,14490,12490,0
5322,0,38,4550,4892,0
6258,3,26,14030,14598,1
6866,3,19,7990,5000,1
1805,1,19,9900,9490,1
4587,2,39,7190,5190,1
4750,10,41,13000,11952,0
1086,8,30,10990,6441,1
7147,1,25,3300,3544,1
1905,4,34,16750,15050,0
4379,1,44,12487,11429,0
3551,1,44,11770,11735,0
1359,4,33,16989,14589,0
2422,0,29,11600,2045,0
1473,1,46,17611,17611,0
2029,7,28,6975,7843,0
5665,1,40,10078,11194,0
7110,2,26,12990,6990,0
149,8,32,14640,8122,0
3504,2,40,9625,10436,0
1922,4,55,18620,21884,0
582,2,42,7900,8584,1
6403,0,33,5200,4839,0
5487,0,26,12000,12000,0
5802,6,29,34990,27306,0
7420,0,36,13900,13900,0
5477,3,19,18990,20281,1
1259,8,32,11598,9344,0
896,0,51,15500,15500,0
179,1,20,16790,18821,1
6201,2,38,25200,12700,0
3047,1,30,7990,7324,1
3903,3,27,9500,2695,1
4740,17,38,14000,15895,0
4241,5,34,9266,9266,0
4391,4,34,8650,8650,0
4071,1,24,25500,25810,1
3184,2,39,18219,18219,0
4747,3,30,12790,9630,0
5187,7,28,6701,4701,0
7113,7,43,11990,13186,0
2640,3,39,12570,12396,0
3614,0,32,6600,6600,0
5857,18,36,14550,15828,1
1479,2,40,9995,4199,0
3886,1,52,16800,17941,0
4881,2,34,21950,21950,0
1832,2,30,14700,17351,1
6454,0,23,15990,15579,1
5119,0,43,9260,10197,0
5704,1,34,17500,17500,0
564,3,25,9000,7000,0
2114,0,31,17000,15641,0
6147,0,25,10990,10100,0
5738,1,42,18485,18585,0
2462,1,32,6000,6000,0
2348,1,18,17964,17797,1
2513,2,29,12590,1751,0
2548,0,25,12105,13167,0
2970,4,27,14990,14600,0
1498,9,37,11007,11007,0
6987,0,19,9000,10155,0
7116,9,36,9470,6420,0
857,0,22,13950,15914,1
3341,1,37,24900,26597,0
2487,0,22,9600,8600,0
45,1,22,8500,8500,0
5498,1,23,7970,7970,0
531,2,19,5000,5455,1
6273,0,21,8690,7330,0
5594,3,40,12990,12025,0
426,5,24,9490,9768,0
1871,0,26,11700,6108,0
429,0,38,11199,11510,0
5905,1,35,13730,15520,1
877,8,26,18200,15200,0
1496,6,31,14590,14590,0
6576,15,36,15040,18176,1
2222,0,46,15950,12760,0
7347,1,35,21400,7680,0
1859,8,34,4000,4000,0
7079,7,29,5990,7196,0
2306,4,62,34460,26960,0
1702,1,28,7656,8354,1
110,3,30,6012,6456,0
1106,1,51,18747,19537,0
6601,0,31,11729,10573,0
2384,9,26,21000,18257,0
3187,0,28,9300,6818,0
3624,1,22,6008,6684,0
2877,1,20,6400,6940,1
3761,0,33,18990,18990,1
1851,1,21,18500,19363,1
977,6,24,12025,18473,0
491,10,31,21593,11571,0
2251,5,27,23999,23999,1
7111,0,35,8850,9833,0
5101,0,22,7900,7408,0
5266,0,21,6350,7254,0
4988,1,38,31000,22000,1
5252,1,36,13250,12423,0
6152,3,26,14990,16431,1
195,0,44,11389,13738,0
3844,4,27,10000,3615,0
3422,5,29,19293,23164,1
4706,2,39,13701,14958,1
5160,6,25,19280,18608,0
4556,9,29,7990,8183,1
1297,0,31,12400,12400,0
1174,1,35,9500,8800,0
6623,1,26,8890,8260,0
1158,9,40,13990,12002,0
4148,0,44,11140,11140,0
2628,9,39,10450,11636,1
6963,2,39,7625,8189,0
5626,8,36,12120,5901,0
4920,0,40,15990,15990,0
1850,0,19,8700,8200,0
1173,13,33,12030,10280,0
2753,4,41,7300,7831,0
4949,1,32,10040,10040,0
3064,5,22,20000,18334,0
868,4,29,5480,3906,0
3513,3,27,11200,11200,1
2876,0,38,19990,22738,1
6187,0,39,5990,6681,0
4942,3,27,19015,21407,0
4250,1,20,13000,13533,0
7002,5,35,5500,6175,1
6477,3,44,9970,10120,0
3433,4,48,13680,13691,1
4222,1,24,17970,21228,1
3686,2,20,27500,27000,1
3396,1,26,8600,9305,0
4886,10,31,9990,10822,0
5597,4,48,14990,14890,0
2016,3,31,14041,7137,0
5337,3,23,6480,7055,0
5100,6,35,17350,17500,1
2245,8,28,24900,12100,0
7185,0,18,5690,3090,0
2431,4,23,17090,18688,0
6549,5,31,7790,9061,1
1557,0,22,3870,3455,0
2313,3,35,6900,6900,0
746,1,23,24890,23890,1
1512,0,25,16750,18434,0
5409,1,23,13000,13000,0
7229,10,51,26999,19897,0
5563,1,40,11950,8565,0
6710,2,35,7990,9111,0
2015,7,26,16889,18184,0
6008,16,42,19910,20336,0
2589,14,39,22000,22000,0
5607,10,36,8476,9005,0
805,0,33,16400,10400,0
2127,1,27,20390,23768,0
3470,2,40,13980,4286,0
6404,0,24,7800,7800,1
5831,3,38,11480,11480,1
4467,5,36,8154,8622,0
4794,0,29,16730,11730,0
4519,0,37,15150,8940,0
3026,3,19,18900,19677,1
350,19,41,19921,21775,0
3231,2,27,5990,5530,0
4667,1,43,15110,16384,0
5943,1,30,13070,13423,0
2098,2,26,20500,20500,0
5680,0,20,20000,22677,1
5340,10,27,25858,25972,1
6342,3,21,13450,7650,0
3859,0,23,3200,3200,1
5769,7,24,25600,23300,0
4393,10,29,8500,6059,0
2311,13,34,7690,8218,0
4050,0,50,12490,12490,0
6625,1,32,11750,12786,0
4663,2,21,24000,24000,1
1087,2,26,10360,10490,0
4606,1,21,10800,11639,1
5251,7,29,4300,4750,1
7313,4,52,17490,18741,1
7142,2,26,16850,18312,0
7246,1,22,5823,6279,1
3240,10,48,18990,20262,1
451,1,27,11984,8164,1
893,0,35,10470,11612,1
3781,1,37,15450,16027,0
4010,9,33,16980,15286,0
1543,2,36,8500,9197,0
6067,0,31,5990,4742,0
5817,8,39,29899,23899,0
3409,1,32,13495,15696,1
5410,2,37,11000,11000,0
3611,1,49,32000,30000,1
5039,1,18,21990,23346,1
6983,1,27,9980,9730,1
6961,3,38,15190,15732,1
396,0,31,15869,15869,0
497,0,26,16324,16423,0
4315,3,23,22422,22672,0
1839,1,21,21690,25931,1
4210,3,23,14990,16451,0
256,7,32,15680,17430,0
5662,1,38,7990,8816,1
2142,1,22,14000,11756,0
5661,10,30,12985,11917,0
4640,1,54,15990,18408,0
5004,6,35,23819,21441,0
3150,10,37,19490,21202,0
