,Job tenure,Age,Car price,Funding amount,Default (y)
4436,10,60,11200,5200,0
3593,1,31,24990,27800,1
436,5,46,17900,13862,0
325,7,49,7980,6480,1
1083,14,75,4899,4899,0
5684,34,50,31915,29407,0
2820,26,46,16990,15034,0
4128,19,38,5890,6400,0
84,17,53,9800,9800,0
5170,4,53,12138,13274,1
5992,29,51,5300,5215,1
218,0,22,17890,19438,1
2799,2,22,12500,13603,1
3858,0,39,15490,12000,0
625,2,22,8900,8900,1
2697,1,35,17490,20034,1
6314,8,51,15900,12897,0
5702,16,62,9950,11553,1
3411,5,54,18880,20844,1
5542,32,58,13500,6909,0
2447,26,58,13900,8934,0
3532,15,48,5000,4000,0
644,21,76,13150,8350,0
7316,20,47,6900,6464,0
3405,21,49,29710,21710,0
7389,3,68,14790,6790,0
2915,6,26,5670,6212,1
2439,7,39,12800,5877,0
6563,1,39,9790,11705,1
1370,1,61,24135,22871,1
5325,5,54,10630,12232,1
5782,4,20,21990,24948,1
7323,7,59,9035,9742,0
648,0,20,10990,12461,1
5162,14,59,11290,11359,0
4538,14,52,13100,12992,0
3995,1,55,6990,6990,1
1432,2,47,12110,8710,0
5321,25,51,3608,3608,0
3207,5,52,5825,4825,0
1598,0,19,27250,27390,1
4371,25,49,14623,14623,0
1831,9,41,36159,11159,0
3407,22,45,20970,10785,0
2550,16,58,6000,6854,1
6301,14,55,23719,22720,0
4526,20,53,12300,10300,0
3276,28,51,14900,10000,0
533,8,30,22650,12650,0
748,0,57,12990,14674,1
1157,4,59,12909,12011,1
1127,2,39,21970,21970,1
5333,9,39,9510,3769,0
3346,25,42,11490,6640,0
4684,12,69,22126,12193,0
4733,13,49,5924,6368,0
2132,7,29,17290,11928,0
2146,29,57,4990,4249,0
2798,0,32,9990,5990,0
4480,11,50,9700,5037,0
461,18,55,9331,10336,0
1073,3,41,12078,12217,1
3641,1,55,18100,6100,0
4343,25,51,23600,14645,0
1539,21,50,4750,4750,0
7223,17,62,12500,9125,0
2602,27,52,9990,5990,0
2885,19,46,22702,16951,0
1451,26,56,8500,8891,0
5613,36,60,10379,8984,0
1723,12,55,3696,3865,1
2825,6,36,29000,29000,1
4011,2,34,8115,8115,1
7199,8,35,9900,6050,0
1847,16,35,5800,6255,0
3439,9,35,9300,10084,0
6605,8,27,15899,14665,0
6133,7,60,5360,1948,0
838,15,36,8048,8048,0
7265,7,32,4634,4998,1
1222,10,39,16400,13400,0
5291,15,77,9259,3259,0
7014,3,67,12000,10000,0
1277,30,56,11050,11050,0
6044,5,49,17500,17500,1
6076,25,49,14990,16300,0
7183,2,45,12978,10963,1
7060,2,58,19680,12825,0
3615,35,52,12000,13078,0
4504,16,38,5500,3500,0
2207,28,51,12000,12144,0
3907,2,26,10700,6147,0
1199,28,49,28000,18000,0
3098,7,54,18760,15760,0
2266,18,49,14600,7086,0
1773,6,58,2791,2791,0
5839,1,32,12234,6635,0
1954,20,43,17000,17000,0
5834,4,67,16359,14359,0
2851,10,48,5895,5319,0
1659,12,41,21300,16066,0
5842,3,45,12901,9990,0
6923,2,41,7990,7081,1
500,1,56,7950,6950,1
2299,10,72,8990,7490,1
5224,2,45,14697,13017,0
3143,6,56,5037,5037,0
2404,0,19,10669,12311,1
2688,5,31,16190,13390,0
1587,9,75,19990,9990,0
2934,29,57,4940,5171,0
6600,5,67,12990,9024,0
2955,5,28,10500,11280,1
2123,4,67,6500,3131,0
5823,15,45,16900,4400,0
3164,23,54,7039,4792,0
2841,0,64,20990,22486,1
6004,39,60,20666,21147,0
1366,31,58,30685,24929,0
6116,2,29,22850,22850,1
2892,4,31,12790,14220,1
2540,2,45,6250,4945,0
862,0,18,19898,20037,1
2570,17,54,9900,8008,0
1672,23,57,13500,13500,0
5466,4,33,4600,3600,0
4877,15,58,11950,9795,0
7071,8,59,10109,10238,0
3167,16,47,25000,25000,0
134,19,56,19160,15538,0
5681,34,51,9460,2009,0
4630,3,45,11290,2290,0
1292,18,51,11490,12595,0
3815,7,44,12000,10700,0
2100,19,62,14490,12105,0
1480,26,56,9000,9739,0
5624,5,69,9500,9500,1
5013,28,82,6780,5280,1
41,21,40,6752,6752,0
3274,1,49,2718,2890,1
3032,18,45,9276,9276,1
4290,28,58,15069,11184,0
1700,0,31,9119,9119,1
5395,34,51,14990,4490,0
283,10,71,2775,2804,1
970,23,40,13970,13970,0
6708,7,41,13900,12457,0
5844,7,41,12010,13401,1
2815,30,55,15350,12350,0
1551,7,36,22739,20339,1
3656,26,55,18402,3500,0
3362,2,18,7770,8644,1
706,11,76,6900,7407,1
4567,19,43,12282,14016,1
1334,1,26,7400,2157,1
1056,26,50,12850,9750,0
6203,1,36,9690,8936,1
1444,23,45,8990,9936,0
5461,33,54,12430,14009,0
5189,28,47,9380,9380,0
3094,7,55,7990,7990,1
3289,1,60,5500,4500,0
227,1,52,19350,22561,1
4004,36,58,17165,6855,0
5998,8,33,25858,25972,1
5602,3,55,16490,16490,1
1078,35,52,19025,9806,0
3454,2,54,16390,17914,1
6362,2,33,13220,9887,0
6098,1,43,15890,15890,1
1201,18,39,14300,5800,0
1728,7,66,9659,9758,1
1720,14,54,24136,23136,0
6690,5,47,8456,10114,1
5784,25,46,18650,14650,0
348,24,52,5990,3490,0
3809,5,78,11940,12676,1
1918,0,24,8800,1800,1
2646,4,54,15180,14180,0
211,24,43,23000,9000,0
4803,7,56,9850,9767,0
2897,8,51,10480,9778,0
2410,0,19,6290,5790,1
4103,9,50,4490,4490,0
4692,19,57,19990,15781,0
1535,22,47,11318,11318,0
7141,7,71,7950,7000,1
511,12,76,6711,7149,1
701,30,50,9990,4990,0
298,24,47,15030,15158,0
7271,13,60,8500,8500,0
1589,11,42,6390,6413,0
4498,0,37,12490,14046,1
3666,6,28,8600,5370,0
1965,6,36,19400,22603,1
3477,15,56,10650,8531,0
2166,9,52,20204,3285,0
736,5,67,14488,11627,0
2445,12,54,9990,11686,1
276,15,53,7000,6471,0
4367,15,42,4529,4864,0
1096,50,70,15990,12990,0
6370,0,33,29990,29990,1
4704,0,46,11490,11490,1
2676,4,66,10940,5158,1
4554,17,36,13849,10849,0
2477,0,37,14700,11200,0
611,14,72,9540,7654,0
658,6,45,8500,8191,0
1817,5,51,15040,10500,0
1610,13,51,13990,4690,0
1192,16,43,10740,10740,0
803,30,56,10403,10889,0
6178,11,43,13990,13990,0
2805,6,26,9700,6700,0
3929,12,47,13500,9800,0
1533,12,51,21200,10722,0
2868,10,49,9950,9950,0
2842,0,21,18970,19417,1
6317,6,39,16990,20762,1
3290,0,49,26926,29294,1
3473,4,51,12480,10422,0
1661,1,44,12000,12941,1
6200,0,38,19480,13619,0
5418,24,60,16500,13500,0
6567,5,57,10850,7537,1
321,26,46,15300,17384,0
6462,1,66,5287,5287,1
2651,12,34,8500,9426,0
2789,7,70,19377,16377,0
1740,5,32,9830,6830,0
4080,35,55,23723,12548,0
1921,3,42,8140,8854,1
6589,30,53,9900,8400,0
5171,8,55,11395,8879,0
5455,6,49,16250,10380,0
2972,15,49,11790,12564,0
6592,3,65,9990,8490,0
1519,15,46,15284,5404,0
2250,4,35,13000,10220,1
7302,8,45,11090,9090,0
2881,1,27,15990,13490,0
4184,1,28,24790,23504,1
415,17,48,8000,3273,0
6062,26,54,13300,14149,0
4326,2,40,23780,26125,1
397,16,52,17849,8446,0
869,2,49,20950,20827,1
1105,4,60,5300,5806,1
4753,4,44,20600,23116,1
4127,9,77,19990,19990,1
5277,14,49,16500,14821,0
4251,9,31,10150,6168,0
6066,0,55,11299,8799,0
4085,33,49,19630,13532,0
4722,12,40,8990,9828,1
599,14,52,14200,13945,0
1023,0,42,12290,8790,0
5628,9,70,21300,18300,1
4668,15,47,10800,9634,0
5643,1,19,21950,21950,1
4303,9,55,4775,2575,0
1108,1,45,11233,8866,0
315,2,47,11490,10941,0
3210,1,47,10490,6490,0
2765,20,43,10990,5990,0
2609,8,51,24740,16740,0
6658,15,49,4490,4879,0
6058,10,44,15990,15990,0
4284,8,52,24711,28946,1
621,19,46,10450,10237,0
5282,20,39,8395,5818,0
5967,13,68,6170,3859,0
59,28,48,29139,9139,0
5921,11,74,18740,18838,1
3994,4,59,16950,15816,0
2323,16,44,10580,9580,0
3425,22,61,5500,2791,0
2271,0,41,13425,13425,1
4264,16,55,3032,3032,1
7201,4,33,18390,11146,0
996,37,57,15790,14590,1
6365,1,38,14980,17142,1
3434,1,53,7748,1544,0
498,1,35,11850,11850,1
4306,1,18,6200,6845,1
1340,21,38,23580,13580,0
3680,20,46,4810,2391,0
4625,7,45,8995,6995,0
937,4,50,15800,12000,0
3001,8,50,11390,9390,0
7425,9,38,4502,4856,1
2354,6,31,10500,10500,0
2656,0,31,14290,17753,1
1767,26,48,8470,2470,0
3878,2,24,6300,4300,0
5243,42,60,9990,11641,0
3749,4,30,9970,11025,1
7067,5,41,9100,4415,0
4861,16,56,10418,10418,0
6026,14,75,8300,5300,0
5281,37,57,13490,11990,0
192,36,56,21400,15925,0
2641,5,31,8700,4995,0
3306,23,50,21260,21900,0
4917,10,70,11985,2134,0
4017,38,63,6200,5565,0
4434,8,24,13990,15958,1
4450,11,50,6500,6128,0
5629,6,50,5100,5100,0
2373,26,43,7200,6208,0
2781,1,44,10840,5719,0
3431,21,47,10500,3200,0
5356,13,42,20289,20289,0
678,3,54,4790,2240,0
4774,0,49,12990,10076,0
32,4,53,14900,13500,0
4726,23,49,21989,21989,0
1111,6,47,17300,13300,0
469,18,77,7299,7299,1
1538,17,48,22300,21300,0
1575,5,70,20830,14184,0
5522,16,58,6000,6722,1
2633,2,25,34500,29207,1
6244,2,45,5900,4296,1
1129,2,66,18198,10798,0
6952,25,59,13700,11461,0
1979,0,20,11365,12225,1
3484,10,74,7990,4990,0
1671,3,35,11940,5435,0
972,8,57,11800,5800,0
1163,38,55,18939,17066,0
339,0,21,8684,9259,1
1116,2,28,7990,5490,0
5151,0,56,9190,4834,0
6473,7,51,3981,3981,0
4329,37,54,11485,13358,0
3153,3,52,16400,12911,0
3395,19,44,8490,5912,1
5970,0,32,13600,15329,1
7428,6,32,12300,11300,0
5380,18,51,13049,13853,0
2997,5,57,13309,5294,0
5995,2,45,4500,4500,0
2094,6,44,12300,6984,0
2916,7,58,10550,11158,0
1429,18,49,20990,19757,0
1234,1,39,17990,20426,1
7378,8,56,3490,3490,0
2687,0,24,26490,29023,1
4165,7,43,8950,7604,0
0,34,55,4875,3087,0
2957,8,53,7250,5750,0
5121,4,39,10400,11432,1
676,5,39,19300,8500,0
6922,2,67,14400,13400,0
1669,23,54,17990,10990,0
3168,29,56,20000,19712,0
2670,3,66,10990,3990,0
2572,0,27,16140,12940,0
3932,16,48,10800,10800,0
418,0,60,6415,2000,0
3655,17,54,18889,18889,1
387,5,54,5900,6329,1
6274,22,62,9790,5480,0
4240,5,34,20980,15780,0
2103,6,47,15900,13300,0
3181,1,56,8190,6040,0
6216,15,48,6850,4684,0
7180,3,27,6490,1539,0
4122,1,48,11440,10181,0
3570,13,37,9950,10872,0
4951,19,49,13730,12494,0
6652,4,47,7990,6105,0
6870,2,34,25877,25877,1
3693,13,38,10990,6057,0
6479,10,32,8415,9429,1
2576,34,51,9500,9325,0
142,0,38,24880,27364,1
2126,33,51,19990,22863,0
4545,0,40,3990,2213,1
5168,7,55,13750,14551,1
2575,0,64,23175,20865,1
6003,25,50,14990,3710,0
965,26,42,15250,7625,0
4002,0,66,15078,9548,0
6587,12,53,9850,6000,0
1215,34,57,6700,3825,0
5007,20,48,7990,9100,1
2510,11,75,12020,1510,0
747,1,22,25658,25772,1
1261,2,35,30070,27441,1
4101,9,48,9130,3990,0
3805,11,44,17980,4180,0
6995,3,35,11990,13005,1
6651,12,44,31000,25000,0
1287,14,79,4932,4932,0
5184,4,36,9335,2394,1
4229,24,45,6790,4950,1
2559,1,25,20990,23877,1
1430,28,46,17100,14300,0
2705,22,57,15151,10000,0
7258,2,25,27750,26449,1
4730,14,44,24390,7690,0
6159,2,68,5990,4490,0
5928,6,68,2948,3088,0
1703,3,51,8400,9127,1
5196,9,30,15990,14143,0
4105,5,30,16900,12148,0
6631,17,49,6150,6150,0
4771,17,40,16140,7886,0
3196,5,29,10220,7905,0
2412,19,43,3990,4287,0
303,0,23,25280,20280,1
93,9,34,19990,14190,0
3455,29,46,11240,8335,0
543,2,20,5990,5990,1
3534,33,63,5600,5600,0
4541,9,70,17750,10000,0
5185,12,32,7500,6565,0
1554,3,54,18930,18930,1
2036,7,47,14800,13649,0
3651,0,26,14790,9437,1
2476,10,34,16900,16990,1
4751,0,35,14890,9990,0
1801,11,51,14330,12630,0
7261,0,63,17150,3150,0
3784,6,46,12585,10285,0
2312,4,68,11100,8556,0
6810,12,60,2900,3135,0
139,15,42,11590,12611,0
2827,15,57,8900,5493,0
5359,34,51,5870,6449,0
585,1,23,12990,12623,1
157,15,57,26790,15790,0
1009,10,58,24500,16329,0
1971,23,63,19500,15477,0
1467,1,65,19690,9820,0
7297,40,59,39136,21650,0
6519,7,34,14390,6325,0
1216,1,53,4390,4000,0
61,24,58,13500,11950,0
7266,11,46,13900,11400,0
6602,16,41,16300,13800,0
3298,0,35,15000,15000,1
1075,10,51,9767,9767,0
6914,2,67,15118,10394,0
2906,0,18,12800,13908,1
1992,25,54,20450,16837,0
3718,6,31,14300,13093,0
3862,0,28,9950,9550,1
3505,27,60,9735,10877,0
5983,1,47,13200,10000,0
3113,3,60,4016,4016,0
866,0,29,16600,6600,0
4847,17,47,5652,5652,0
2093,14,50,10995,11525,0
847,0,25,26000,29175,1
2319,4,66,22980,11680,0
5495,3,26,7000,7573,1
2450,1,51,7480,8127,1
2683,2,21,22040,25333,1
2533,2,54,18244,10241,0
4695,8,35,12000,12000,0
103,0,41,16379,15374,1
2963,4,47,5250,6161,1
6081,3,64,15115,8527,0
861,2,24,15340,16688,1
5929,20,51,27750,12950,0
3049,20,36,24990,24990,0
1880,9,50,14351,14351,0
1270,20,48,18390,15572,0
1499,18,57,20990,15923,0
3559,2,20,13990,15289,1
6447,23,45,10380,8548,0
2020,7,81,7590,7590,1
764,5,29,11600,8184,0
3621,2,55,9630,11643,1
5144,1,50,4990,3211,0
5958,17,49,22200,18099,0
3480,7,37,18970,1810,0
3319,37,54,9985,9985,0
3076,33,55,5990,6460,0
6780,2,32,4378,4490,0
188,6,38,12159,10659,0
979,2,53,18790,10542,0
7095,36,65,14990,8364,0
5389,12,55,15495,11495,1
944,6,56,24100,14600,0
641,15,58,6500,5500,1
7259,10,42,19980,15180,0
5789,26,52,15834,17231,0
3011,1,53,23005,23122,1
7076,14,55,7000,5000,0
3203,11,49,8100,7992,0
4791,26,52,9950,12973,0
5531,0,42,13600,9100,0
7204,6,51,15990,10404,0
3382,17,43,13490,8490,0
2318,3,20,8450,8874,1
4666,24,56,8000,6000,0
5192,14,46,15900,8226,0
7295,0,40,8790,4983,0
3616,0,35,7980,8593,1
3856,10,39,4200,3330,1
5239,14,37,10690,10230,0
6115,10,33,15500,10000,0
3601,8,67,10100,10501,0
5470,19,51,13738,8738,0
6682,4,66,17877,15516,0
1323,2,62,16600,14100,0
2862,1,47,10795,3167,0
4955,11,33,10208,11125,0
6398,8,73,22990,22990,1
1582,19,51,11670,7270,0
7006,0,19,19900,21650,1
7164,16,52,4246,4572,0
6487,6,52,20600,14600,0
4147,21,54,4750,4750,0
5786,1,24,28990,29777,1
401,1,29,30968,29107,1
1224,13,58,4401,4607,0
810,23,52,23450,23450,1
12,2,48,13400,11800,0
479,32,54,23990,22990,0
3501,31,50,11722,12641,0
52,30,58,35480,16000,0
4905,2,33,19625,16125,1
1018,1,22,15885,17642,1
4766,30,51,15901,15990,0
6982,31,48,25100,25100,0
3357,11,58,2787,2787,0
903,9,38,10200,9900,0
6143,19,55,20590,16071,1
234,12,37,23000,15181,0
2275,2,42,24500,26201,1
3309,25,49,9250,10380,0
2375,1,31,11490,6518,0
2168,2,31,3730,4061,0
360,25,45,10206,11067,0
3328,5,51,4000,4433,0
5074,1,50,23500,12000,0
6444,2,57,18900,10677,0
5568,8,72,5880,6302,1
3166,2,47,17975,16412,0
3488,6,49,11235,7864,0
5437,4,51,13000,5800,0
4691,16,48,10390,9226,0
3846,21,56,14069,3335,0
6056,6,47,11636,12539,0
2138,10,26,12000,12000,0
2654,4,31,15995,17214,1
2223,7,39,19340,14254,0
576,6,28,9450,5794,0
6366,14,77,13990,8990,1
5118,10,28,20490,17990,0
2316,5,21,23000,6473,0
2828,29,46,10000,12039,0
2819,17,63,18900,15400,0
2374,25,52,12000,6000,0
1258,38,59,11600,7182,0
6182,25,61,17525,19012,1
3948,0,57,7300,7572,1
5406,10,34,11825,8311,0
566,23,46,14139,6650,0
3246,3,48,4057,4057,0
2519,0,25,8000,8938,1
2578,13,53,5388,5589,0
4108,24,79,4500,2500,1
5403,6,69,13300,5300,0
7305,5,41,6985,6736,1
4975,4,52,12500,13394,1
1634,20,57,4600,4812,0
4395,5,59,9500,9937,1
5227,2,39,14710,10970,0
879,5,48,3331,3331,0
6645,0,33,9500,9500,1
1963,27,59,8895,9264,0
4074,21,56,6500,5869,1
3785,2,25,17410,13400,1
5041,0,18,11680,12557,1
4582,8,37,34829,13829,0
6966,6,25,7579,8541,1
2663,0,66,12058,10674,0
1295,24,49,25480,25480,0
2280,2,52,10500,8992,0
2727,1,44,11700,12721,1
3172,1,56,27000,27000,1
3388,0,21,8990,10224,1
2880,2,18,14010,16122,1
6264,0,19,6450,7171,1
2258,0,28,15545,10487,0
7068,6,52,14990,6978,0
6000,5,31,21895,24053,1
1373,8,68,8990,8990,1
3684,6,55,12200,6737,0
2370,3,47,25000,13000,0
1691,24,53,5130,5130,0
411,41,70,6200,6200,1
1315,14,79,4552,4680,0
4575,24,61,20149,5264,0
5011,5,54,14780,10780,0
6209,6,55,10680,7680,0
4510,11,30,12500,11964,0
1770,30,58,15949,15949,0
1371,4,55,10470,4682,0
2684,29,52,10744,10744,0
6464,42,59,4538,4538,0
5850,1,30,15985,18442,1
3939,7,37,6237,6999,1
416,26,51,31000,16000,0
1656,0,63,19000,13000,0
3379,28,45,22730,23480,0
3442,0,24,12500,10500,1
73,1,37,14700,7118,0
5639,20,54,8000,9175,1
4458,7,63,14295,15583,1
1362,16,52,17200,15908,0
6123,5,22,14000,4000,0
366,15,49,16771,14771,0
5903,5,59,14023,14023,1
1688,2,48,16000,15500,0
3133,58,78,4250,4340,0
6853,22,53,9700,5200,0
3066,16,46,20859,15859,0
5329,36,61,15947,15947,0
6900,33,55,6990,7658,0
2566,27,46,18078,19959,0
5345,22,52,15351,7490,0
679,29,47,4950,1550,0
4712,4,68,15590,18706,1
6392,1,48,11990,3990,1
2846,4,62,24980,26146,1
1378,14,54,14500,11273,0
6107,0,50,10990,8329,0
829,14,41,15500,7500,0
6901,19,52,9995,9995,0
5865,18,47,6220,3564,0
2754,3,29,10984,6426,0
5692,31,51,13528,10528,0
7169,2,37,12490,14129,1
2792,18,44,10990,12179,1
5328,30,53,16300,22660,0
1092,27,52,17000,12696,0
6309,8,35,9250,9714,0
3782,27,52,9450,9450,0
4253,23,50,8650,5150,0
942,27,46,4114,4423,0
4141,19,40,13000,11500,0
2918,37,54,5970,5970,0
4586,24,51,13000,11000,0
3518,24,62,7625,4925,0
1310,39,58,23990,12253,0
888,5,61,9990,5915,0
6635,13,42,20700,10700,0
5438,5,65,9990,7490,0
3149,25,57,13700,5896,0
5354,31,58,9068,9960,0
7053,0,23,11890,12948,1
5447,1,32,11300,10551,1
4386,8,37,21990,16990,0
6097,0,21,17990,19725,1
3834,0,49,13327,12327,0
1511,10,74,3860,2663,0
5509,0,57,10300,9710,1
6597,1,51,16290,9557,0
3896,9,63,11508,11508,1
6266,3,50,14200,9869,0
4325,2,33,15990,17661,1
5451,13,36,12639,12639,0
1599,12,42,13600,13093,0
3575,9,57,9519,10845,1
4129,24,51,4100,3500,0
292,0,32,14900,10900,0
1321,8,51,9540,7113,0
208,21,46,8914,8914,0
3653,13,58,18900,8900,0
4508,13,48,8839,8839,0
4301,0,45,22390,22390,1
6150,1,55,6340,7455,1
7137,15,54,17500,12000,0
3381,1,23,19990,19990,1
3707,23,42,15547,10329,0
6470,0,52,10980,10980,1
2716,8,73,26839,16839,1
6423,2,48,14500,4853,0
210,12,32,20016,23250,1
3106,15,35,8190,5890,0
3857,0,29,22000,24031,1
4782,27,70,6850,6621,1
6486,13,42,14736,4856,0
2638,4,38,19100,14068,0
5570,0,19,11900,11900,1
5218,6,42,9990,10124,0
3429,5,22,10500,8149,1
5711,4,22,8000,8130,1
912,8,48,1501,1598,0
4176,18,46,12500,9653,1
4879,13,49,7037,3037,0
1907,32,51,13950,12833,0
2004,17,35,19900,14900,0
4880,25,58,7238,4427,0
4319,25,59,5546,5546,0
2069,16,39,13870,12752,0
981,4,37,1643,1643,1
4013,4,53,11490,9768,0
5650,6,57,15627,14007,0
450,13,57,6077,6077,1
4322,0,22,9990,11385,1
2617,12,33,15450,8350,0
1860,2,19,13990,14237,1
183,0,34,28650,26973,1
1102,30,43,13500,8361,0
6498,19,45,5390,5845,0
802,2,40,26490,29146,1
695,30,46,8485,6635,0
6805,2,21,24800,26756,1
4561,0,33,9500,10562,1
101,1,40,15990,14990,1
3527,16,45,7179,6438,1
3885,10,32,17910,13410,0
2302,9,38,19880,13880,0
2481,23,51,10980,6412,0
2582,5,49,10407,10582,0
380,0,19,9999,10882,1
5744,15,60,10500,6790,0
4084,29,46,16809,16939,0
1973,9,55,8977,9470,0
5994,0,42,7200,8025,1
4060,16,49,30180,24301,0
2691,1,26,11990,4501,0
4776,10,54,16500,15212,0
2795,7,68,13940,10513,0
6284,15,43,14320,13510,0
4907,1,45,22145,22145,1
2600,1,21,16890,6890,0
4401,15,53,8938,9711,0
5284,6,66,15125,12939,0
5936,2,37,17890,16790,1
4993,24,58,13130,14019,1
7417,20,51,11300,5000,0
705,1,19,23990,24105,1
4553,2,29,12800,14209,1
6146,32,54,9200,8694,0
131,10,52,715,715,0
6841,10,67,4475,4478,0
6999,30,58,24554,8737,0
4280,12,58,5098,5378,0
4098,1,41,12500,13965,1
330,10,39,14000,12000,0
4793,4,41,9710,6800,0
212,3,22,3990,4290,1
2437,26,52,4835,4835,0
4461,33,58,22000,22000,0
2244,23,43,17990,12434,0
5879,13,42,8983,8983,0
1795,4,67,14950,7450,0
6424,17,53,13980,11980,0
5167,20,52,8676,8919,0
7237,6,47,12450,10924,0
432,3,68,7990,2190,0
1119,14,79,7490,2630,0
381,2,62,28930,26930,1
6762,0,46,15439,3939,0
1553,16,36,10000,9065,0
6733,6,32,11970,11005,0
1238,2,24,7990,9220,1
1228,2,65,11600,10455,0
1109,4,47,14950,12950,0
4288,4,47,14600,5412,0
3459,1,23,9900,9900,1
5166,32,57,5389,3783,0
4424,2,33,22500,22500,1
3323,4,26,20770,20658,1
2018,1,26,11800,4298,0
2438,2,19,26980,29191,1
3347,21,47,4990,3419,0
6854,4,41,8990,4115,0
604,28,59,6475,6475,1
5807,8,47,11490,5301,0
765,12,30,9999,7999,1
3968,0,52,8000,5364,0
3023,47,64,25099,19099,0
5008,10,33,19990,8717,0
2750,6,33,13000,12510,1
2181,4,40,17400,10200,0
1242,10,70,11990,6990,0
3879,0,64,4240,4832,1
3538,18,40,9300,6272,0
7045,15,46,16700,11828,1
6932,1,25,7825,8562,1
4714,2,46,14080,15272,1
2415,5,30,12750,7005,0
2942,32,53,6500,7276,0
2775,0,63,18339,15639,0
535,20,40,26000,11000,0
1563,25,48,17900,15041,0
1862,3,26,24962,24962,1
4235,4,45,8480,3795,0
3984,33,50,29800,27300,0
1675,10,41,9850,9850,0
6985,1,65,9985,8485,0
4516,19,57,5566,5566,0
7359,1,35,10522,11363,1
1924,8,41,16500,10500,0
4559,1,44,13000,11952,1
2470,2,43,17900,12000,0
2770,1,51,7990,4990,0
5082,0,42,14500,12384,0
4913,0,21,10985,11487,1
383,2,40,4700,5350,1
2453,7,27,11130,8630,0
7134,37,59,10490,5902,0
3951,4,51,10950,9450,1
4063,9,40,16085,11085,0
1731,5,70,14200,5000,0
3872,25,45,16950,8950,0
2341,8,62,11900,10079,0
4634,2,60,17067,15154,0
5930,18,47,13500,12826,0
3571,1,39,14600,14600,1
3558,4,60,25900,21854,1
6142,1,27,10950,6465,0
1010,12,57,8490,7721,1
50,1,19,18990,20450,1
7034,33,49,9818,10429,0
6620,31,55,12669,13881,0
643,0,59,16125,17111,1
5065,26,65,9190,9190,0
843,26,47,14970,10860,0
447,4,47,6268,7037,1
3017,11,54,13189,10041,0
4960,40,63,12150,9650,0
592,6,25,8500,8500,1
1029,18,57,4200,4200,0
4119,0,37,25400,28502,1
4475,18,55,13000,8000,0
5018,23,51,24900,26983,1
2344,0,65,8999,6252,0
2187,0,42,6690,7507,1
4397,4,47,6717,7504,1
3244,19,51,15000,6500,0
2272,15,56,4471,4471,0
6637,6,31,13070,11070,0
6590,16,35,16990,8500,0
1729,1,55,8010,5113,0
5687,7,51,14490,14919,1
1049,6,72,11700,7300,0
6889,2,34,16480,15480,1
1621,21,64,4335,4335,0
5471,0,39,17480,13480,0
4047,9,37,4000,3759,0
135,38,55,15800,6315,0
4194,20,53,5990,6949,1
5120,0,34,15714,15003,1
1550,15,33,12900,4600,0
