,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
327,5818,2160.0,184.0,360.0,1.0,1
435,10047,0.0,128.0,240.0,1.0,1
17,3510,0.0,76.0,360.0,0.0,0
521,2500,0.0,55.0,360.0,1.0,1
246,9703,0.0,112.0,360.0,1.0,1
543,2239,2524.0,128.0,360.0,1.0,1
608,3232,1950.0,108.0,360.0,1.0,1
207,3975,2531.0,55.0,360.0,1.0,1
307,2400,1863.0,104.0,360.0,0.0,0
380,3333,2500.0,128.0,360.0,1.0,1
344,2583,2330.0,125.0,360.0,1.0,1
491,5333,1131.0,186.0,360.0,1.0,1
39,3748,1668.0,110.0,360.0,1.0,1
86,3333,2000.0,99.0,360.0,1.0,1
562,5923,2054.0,211.0,360.0,1.0,1
580,6540,0.0,205.0,360.0,1.0,1
145,2330,4486.0,100.0,360.0,1.0,1
526,3775,0.0,110.0,360.0,1.0,1
408,8300,0.0,152.0,300.0,0.0,0
517,3074,1800.0,123.0,360.0,0.0,0
200,2600,2500.0,90.0,360.0,1.0,1
381,5941,4232.0,296.0,360.0,1.0,1
292,3153,1560.0,134.0,360.0,1.0,1
348,6333,4583.0,259.0,360.0,1.0,1
71,1875,1875.0,97.0,360.0,1.0,1
604,12000,0.0,496.0,360.0,1.0,1
569,3166,2064.0,104.0,360.0,0.0,0
549,2785,2016.0,110.0,360.0,1.0,1
603,3676,4301.0,172.0,360.0,1.0,1
106,11417,1126.0,225.0,360.0,1.0,1
489,2435,0.0,75.0,360.0,1.0,0
542,3652,0.0,95.0,360.0,1.0,1
133,3459,0.0,25.0,120.0,1.0,1
60,2500,3796.0,120.0,360.0,1.0,1
26,2799,2253.0,122.0,360.0,1.0,1
100,4288,3263.0,133.0,180.0,1.0,1
363,3013,3033.0,95.0,300.0,1.0,1
309,7667,0.0,185.0,360.0,1.0,1
481,3095,0.0,113.0,360.0,1.0,1
441,7901,1833.0,180.0,360.0,1.0,1
476,6700,1750.0,230.0,300.0,1.0,1
22,2600,1911.0,116.0,360.0,0.0,0
483,10833,0.0,234.0,360.0,1.0,1
588,4750,0.0,94.0,360.0,1.0,1
242,2965,5701.0,155.0,60.0,1.0,1
173,5708,5625.0,187.0,360.0,1.0,1
35,2275,2067.0,128.0,360.0,1.0,1
120,5667,2667.0,180.0,360.0,1.0,1
275,2750,1842.0,115.0,360.0,1.0,1
44,4695,0.0,96.0,360.0,1.0,1
300,1800,2934.0,93.0,360.0,0.0,0
368,6325,0.0,175.0,360.0,1.0,1
212,7787,0.0,240.0,360.0,1.0,1
311,2927,2405.0,111.0,360.0,1.0,1
444,7333,8333.0,175.0,300.0,1.0,1
495,3326,913.0,105.0,84.0,1.0,1
33,3500,1667.0,114.0,360.0,1.0,1
160,1863,1041.0,98.0,360.0,1.0,1
285,3158,3053.0,89.0,360.0,1.0,1
295,4416,1250.0,110.0,360.0,1.0,1
277,3103,1300.0,80.0,360.0,1.0,1
484,8333,0.0,246.0,360.0,1.0,1
496,2600,1700.0,107.0,360.0,1.0,1
590,3000,3416.0,56.0,180.0,1.0,1
36,1828,1330.0,100.0,360.0,0.0,0
156,6000,0.0,160.0,360.0,1.0,1
2,3000,0.0,66.0,360.0,1.0,1
508,2479,3013.0,188.0,360.0,1.0,1
497,4625,2857.0,111.0,12.0,1.0,1
289,9508,0.0,187.0,360.0,1.0,1
560,3675,242.0,108.0,360.0,1.0,1
414,2149,3237.0,178.0,360.0,0.0,0
421,2720,0.0,80.0,360.0,0.0,0
223,7578,1010.0,175.0,360.0,1.0,1
599,5780,0.0,192.0,360.0,1.0,1
511,6065,2004.0,250.0,360.0,1.0,1
113,7451,0.0,128.0,360.0,1.0,1
593,3859,3300.0,142.0,180.0,1.0,1
165,3707,3166.0,182.0,360.0,1.0,1
184,3625,0.0,108.0,360.0,1.0,1
372,9323,7873.0,380.0,300.0,1.0,1
274,3900,0.0,90.0,360.0,1.0,1
0,5849,0.0,128.0,360.0,1.0,1
566,3333,0.0,70.0,360.0,1.0,1
540,4608,2845.0,140.0,180.0,1.0,1
500,645,3683.0,113.0,480.0,1.0,1
383,7167,0.0,128.0,360.0,1.0,1
405,4547,0.0,115.0,360.0,1.0,1
561,19484,0.0,600.0,360.0,1.0,1
20,7660,0.0,104.0,360.0,0.0,0
176,2045,1619.0,101.0,360.0,1.0,1
335,5503,4490.0,70.0,360.0,1.0,1
545,2768,1950.0,155.0,360.0,1.0,1
413,2253,2033.0,110.0,360.0,1.0,1
581,1836,33837.0,90.0,360.0,1.0,0
337,2500,4600.0,176.0,360.0,1.0,1
504,3814,1483.0,124.0,300.0,1.0,1
398,3902,1666.0,109.0,360.0,1.0,1
423,7250,1667.0,110.0,360.0,0.0,0
422,1820,1719.0,100.0,360.0,1.0,1
119,10408,0.0,259.0,360.0,1.0,1
256,6045,0.0,115.0,360.0,0.0,0
249,1809,1868.0,90.0,360.0,1.0,1
