,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Monthly payment,Credit event,Default (y)
89,4,46,10900,11942,0,72,0.09538461538461539,0,0
90,19,71,14850,10000,0,60,0.06,0,0
91,2,56,22129,17629,0,96,0.09545454545454546,0,0
92,23,85,10000,7500,0,36,0.151285930408472,0,0
93,9,34,19990,14190,0,60,0.121852970795569,0,0
94,1,43,11079,11079,0,72,0.1023890784982935,0,0
95,10,51,18500,20378,0,72,0.09571428571428571,0,0
96,5,41,12968,12968,0,48,0.1389277389277389,0,0
97,6,37,8990,8650,0,72,0.0421084519842472,0,0
98,1,29,13990,11990,0,84,0.07347826086956522,0,0
99,3,37,9990,8052,0,36,0.1205,0,0
100,8,25,5900,3315,1,48,0.018,0,0
101,1,40,15990,14990,0,60,0.127141568981064,0,1
102,3,22,6600,2764,1,24,0.08571428571428572,0,0
103,0,41,16379,15374,0,48,0.07770652583930593,1,1
104,0,38,7750,6712,0,36,0.1164705882352941,0,1
105,0,48,6090,6340,0,48,0.0746039856923863,0,1
106,6,28,20400,18900,0,60,0.1094444444444444,0,0
107,0,45,16300,16300,0,72,0.06912696226934728,0,0
108,4,51,7680,8897,0,72,0.0415625,0,0
109,2,23,17990,19713,0,72,0.1776,0,1
110,3,30,6012,6456,0,36,0.1727272727272727,0,0
111,0,42,9990,11381,0,60,0.064,0,0
112,8,30,11375,11375,0,96,0.07823529411764706,0,0
113,26,52,10990,10890,0,96,0.02129443326626425,0,0
114,4,34,13390,8615,0,48,0.07755102040816327,0,0
115,24,48,9490,10760,0,72,0.08,0,0
116,1,20,14800,18043,0,96,0.1546666666666667,0,1
117,7,29,3130,3130,0,36,0.0699619771863118,0,0
118,3,20,22586,22682,0,60,0.1814814814814815,0,1
119,31,47,12163,10163,0,48,0.087984496124031,0,0
120,26,44,5133,5133,0,36,0.08406113537117904,0,0
121,1,59,11650,5906,0,36,0.08894736842105264,0,0
122,5,31,16110,15870,1,96,0.07057163020465773,0,0
123,0,26,10540,10540,0,60,0.07559614408929477,0,1
124,1,41,12900,14292,0,84,0.1258064516129032,0,1
125,19,60,18000,16905,0,24,0.2246875,0,1
126,27,54,17800,20607,0,96,0.1030434782608696,0,0
127,22,45,17508,17508,0,72,0.04933333333333333,0,1
128,6,52,5844,6331,0,48,0.06863636363636363,0,0
129,27,50,18700,10200,0,96,0.03909090909090909,0,0
130,1,47,6243,6243,0,36,0.1268965517241379,0,0
131,10,52,715,715,0,8,0.0455,0,0
132,10,76,4764,4764,0,24,0.08333333333333333,0,1
133,2,58,12000,17159,0,84,0.0936,0,0
134,19,56,19160,15538,0,48,0.1041666666666667,0,0
135,38,55,15800,6315,0,48,0.03333333333333333,0,0
136,2,42,9680,10910,0,96,0.06691800188501414,0,1
137,4,59,6572,5000,0,36,0.4166666666666667,0,0
138,9,59,19990,22103,0,72,0.1717948717948718,0,1
139,15,42,11590,12611,0,60,0.08547486033519552,0,0
140,9,42,24349,24349,0,72,0.2126666666666667,0,0
141,42,59,18946,17046,1,60,0.1076923076923077,0,0
142,0,38,24880,27364,0,72,0.1162962962962963,0,1
143,1,49,14280,12280,0,60,0.04907115317209954,0,0
144,4,45,3490,3490,0,48,0.04184782608695652,0,0
145,5,22,20750,19050,0,60,0.1226666666666667,0,0
146,7,34,12500,11236,0,48,0.0652,0,0
147,0,31,12450,13800,0,72,0.1178571428571429,0,1
148,0,52,3990,4417,0,36,0.07065217391304347,0,1
149,8,32,14640,8122,1,24,0.07822222222222222,0,0
150,17,60,15600,16267,0,72,0.1539393939393939,0,0
151,16,46,15500,13000,0,96,0.05289588215600938,0,0
152,17,51,7436,8001,0,48,0.03252788104089219,0,0
153,7,72,7450,7756,0,48,0.1166666666666667,0,0
154,20,55,14990,14990,0,96,0.1718181818181818,0,0
155,2,66,29000,29000,0,60,0.1788359788359788,0,1
156,5,40,20849,20849,0,60,0.07176470588235294,0,0
157,15,57,26790,15790,0,48,0.098,0,0
158,27,52,4884,4884,0,24,0.1413333333333333,0,0
159,23,42,16700,12658,0,60,0.06133828996282528,0,0
160,2,24,2272,2417,0,24,0.08153846153846153,0,0
161,0,42,23900,20451,0,60,0.1087155963302752,0,0
162,7,43,7320,6558,0,72,0.09545454545454546,0,0
163,5,46,5950,5950,0,48,0.0685,0,0
164,0,59,2846,2846,0,48,0.05307692307692308,0,1
165,41,61,5572,4728,0,36,0.073,1,0
166,18,46,2500,2656,0,24,0.0456,0,0
167,0,25,16890,16153,0,60,0.1716666666666667,0,0
168,2,27,26228,21368,0,72,0.09619047619047619,0,0
169,2,24,7560,6592,0,60,0.07,0,0
170,2,47,11450,4000,1,36,0.09899328859060402,0,0
171,4,42,13800,13800,0,60,0.04406779661016949,0,0
172,6,58,11950,12709,0,96,0.1333333333333333,0,0
173,7,59,9990,9774,0,96,0.07,0,0
174,3,84,10800,5000,0,48,0.08,0,0
175,4,26,11650,12917,0,72,0.03412204234122043,0,1
176,1,23,13000,11248,0,48,0.16,0,0
177,15,78,12540,12240,0,48,0.1346153846153846,0,0
178,6,29,35010,29010,0,60,0.1355555555555556,0,0
179,1,20,16790,18821,0,60,0.2041666666666667,0,1
180,12,59,27219,20219,0,48,0.1,0,0
181,4,52,3927,4349,0,36,0.05157936825269892,0,0
182,6,52,9700,8576,0,36,0.1452941176470588,0,0
183,0,34,28650,26973,0,72,0.1325581395348837,0,1
184,0,60,13490,12147,0,36,0.1434294871794872,0,0
185,0,37,10120,11306,0,96,0.05910267471958585,0,0
186,25,64,8100,3600,1,24,0.05172413793103448,0,0
187,18,47,12844,12844,0,41,0.1088372093023256,0,1
188,6,38,12159,10659,0,60,0.09385474860335195,0,0
189,2,63,6990,5990,0,60,0.05405405405405406,0,0
190,17,56,14490,10814,0,48,0.0648508430609598,0,0
191,3,23,5950,6783,0,60,0.08714285714285715,0,0
192,36,56,21400,15925,0,60,0.1041666666666667,0,0
193,5,47,9900,8700,0,72,0.105,0,0
194,2,29,15000,14724,0,24,0.1844,0,0
195,0,44,11389,13738,0,84,0.1125869702719798,0,0
196,3,19,7990,4255,1,24,0.1430769230769231,0,0
197,0,42,4000,4250,0,24,0.05791139240506329,0,1
198,13,48,10360,10094,0,48,0.1036363636363636,0,0
199,5,50,10338,11242,0,60,0.1033333333333333,0,0
200,18,41,23490,20490,0,60,0.05997474747474747,0,0
201,1,39,22900,21802,0,72,0.1845588235294118,0,0
202,14,42,7922,8874,0,48,0.09238095238095238,0,0
203,1,62,7980,6480,0,36,0.08434782608695653,0,0
204,15,52,18500,17800,0,60,0.06633333333333333,0,0
205,1,37,18490,20058,0,60,0.1969230769230769,0,1
206,1,30,9200,9900,0,48,0.3125,0,0
207,12,36,25990,26120,0,72,0.08966666666666667,0,1
208,21,46,8914,8914,0,30,0.1036649214659686,0,0
209,4,25,7154,7749,0,60,0.07405405405405406,0,0
210,12,32,20016,23250,0,96,0.2472727272727273,0,1
211,24,43,23000,9000,1,12,0.2321212121212121,0,0
212,3,22,3990,4290,0,36,0.09142857142857143,0,1
213,36,52,15825,10260,1,36,0.0925,0,0
214,21,42,9016,9016,0,36,0.095,0,0
215,1,53,5981,6229,0,24,0.06388888888888888,0,0
216,42,59,16450,5600,1,24,0.09128205128205129,0,0
217,1,64,22610,18874,0,48,0.17,0,1
218,0,22,17890,19438,0,60,0.3104347826086957,0,1
219,0,19,13000,11615,0,60,0.1904347826086956,0,0
220,1,26,12490,13112,0,72,0.1658333333333333,0,0
221,8,54,8999,10364,0,60,0.09850746268656717,0,0
222,23,62,8480,8725,0,72,0.04380952380952381,0,1
223,4,22,20490,20490,0,60,0.132972972972973,0,0
224,6,69,12370,9718,0,72,0.05041459369817579,0,0
225,3,39,11450,10750,0,60,0.1071428571428571,0,0
226,0,26,11240,11240,0,60,0.1048,0,0
227,1,52,19350,22561,0,72,0.1361111111111111,0,1
228,4,50,17460,18490,1,60,0.12125,0,0
229,4,33,8970,10433,0,72,0.101875,0,0
230,2,65,7500,7499,0,96,0.062,0,0
231,1,41,23860,20990,0,84,0.09389830508474577,0,0
232,18,62,18200,20577,0,60,0.2514285714285714,0,0
233,0,27,3546,3809,0,36,0.1018181818181818,1,1
234,12,37,23000,15181,0,60,0.08634920634920636,0,0
235,32,60,22100,16000,0,48,0.05666666666666666,0,0
236,8,29,9990,9490,0,96,0.05404135338345865,0,1
237,24,50,10990,9390,0,60,0.1264285714285714,0,0
238,2,49,21145,25455,0,72,0.2733333333333333,0,0
239,5,29,4467,4817,0,48,0.09083333333333334,0,0
240,22,40,23049,17931,0,36,0.06090909090909091,0,0
241,3,21,11700,9200,0,48,0.1089473684210526,0,0
242,18,53,6300,6835,0,60,0.06916666666666667,0,1
243,25,71,6810,6810,0,72,0.07578947368421053,0,1
244,2,58,6340,6695,0,72,0.09581881533101046,0,0
245,14,60,11385,11485,0,96,0.1,0,0
246,18,56,10600,11171,0,48,0.168,0,0
247,9,38,8950,7939,0,48,0.05405405405405406,0,0
248,4,42,19400,21925,0,60,0.0884046052631579,0,1
249,29,57,13900,12514,0,60,0.05087719298245614,0,0
250,2,31,15900,17019,0,36,0.225,0,0
251,3,36,18470,20098,0,60,0.1131455399061033,0,0
252,19,36,19500,18200,0,60,0.05235294117647059,0,0
253,1,62,5900,4400,0,48,0.04208333333333333,0,0
254,22,57,4472,4472,0,36,0.03124260355029586,0,0
255,1,52,14000,4337,1,60,0.039,0,0
256,7,32,15680,17430,0,48,0.09444444444444444,0,0
257,4,35,12490,13838,0,84,0.1009076348104645,0,0
258,1,43,3400,3757,0,36,0.1054613935969868,0,0
259,0,26,5019,5548,0,36,0.1406779661016949,1,1
260,2,22,12500,12505,0,60,0.1166666666666667,0,0
261,4,23,13990,17022,0,96,0.1483870967741935,0,1
262,1,61,23115,23115,0,48,0.15,0,0
263,32,59,13700,12700,0,84,0.105,0,0
264,32,52,7700,8619,0,48,0.06925925925925926,0,0
265,16,54,11990,6847,0,36,0.1233453670276775,0,0
266,15,58,13490,13490,0,60,0.06300539083557952,0,0
267,9,56,11790,11790,0,72,0.09701492537313433,0,0
268,5,28,16250,12750,0,48,0.179902755267423,0,0
269,17,43,16800,11100,0,36,0.1443478260869565,0,0
270,20,82,7590,5090,0,24,0.04333333333333333,0,1
271,3,25,5750,6441,0,48,0.1175,0,1
272,6,28,14690,14690,0,60,0.0578125,0,0
273,28,64,13950,12450,0,60,0.138,0,0
274,9,49,19400,16900,0,48,0.1055,0,0
275,1,21,2350,2500,0,24,0.1294117647058824,0,1
276,15,53,7000,6471,0,48,0.1168,0,0
277,13,55,22640,25186,0,96,0.1873015873015873,0,0
278,15,78,4365,1550,1,12,0.0825,0,0
279,5,32,11490,11490,0,48,0.07157894736842105,0,0
280,4,56,9738,9738,0,36,0.1616666666666667,0,0
281,1,51,7790,2999,1,36,0.09,0,0
282,11,71,12790,12816,0,48,0.08333333333333333,0,0
283,10,71,2775,2804,0,12,0.1062068965517241,0,1
284,4,66,8816,8916,0,48,0.04901185770750988,0,0
285,20,59,21450,22560,0,96,0.108728943338438,0,1
286,28,46,16990,18789,0,72,0.085,0,0
287,12,34,17500,17500,0,60,0.06277173913043478,0,0
288,7,55,11390,11390,0,60,0.1153846153846154,0,0
289,3,27,13590,13700,0,60,0.125,0,1
290,3,48,9950,10533,0,72,0.1021170610211706,0,0
291,2,26,2000,2072,0,12,0.0838095238095238,0,0
292,0,32,14900,10900,0,48,0.1641666666666667,0,0
293,34,53,20245,20995,0,72,0.09083333333333334,0,0
294,1,48,8000,7063,0,60,0.1181818181818182,0,0
295,7,58,4643,4894,0,48,0.04782608695652174,0,0
296,10,40,8475,9652,0,60,0.09243243243243243,0,0
297,26,45,8900,6900,0,60,0.064,0,0
298,24,47,15030,15158,0,48,0.0895,0,0
299,19,39,22900,20300,0,72,0.05012853470437018,0,0
300,2,42,11990,17726,0,48,0.1365964712578258,0,0
301,0,21,4140,4397,0,24,0.1175,0,1
302,30,51,28780,27930,0,60,0.1254545454545455,0,0
303,0,23,25280,20280,0,36,0.1488058787507655,0,1
304,11,34,7990,9244,0,72,0.09784172661870504,0,1
305,15,44,7110,7110,0,48,0.3488888888888889,0,1
306,7,72,17700,16291,0,72,0.2189716312056738,0,1
307,6,69,5850,6292,0,24,0.12421875,0,0
308,9,73,20000,20411,0,24,0.1771428571428571,0,0
309,1,33,8000,6495,0,48,0.08052631578947368,0,1
310,4,28,17029,17029,0,60,0.0596969696969697,0,0
311,0,30,9690,10170,0,36,0.1662857142857143,0,0
312,1,42,7800,3040,1,36,0.05421686746987952,0,1
313,17,44,12000,12000,0,60,0.07150537634408602,0,0
314,5,58,18950,16133,0,60,0.06103448275862069,0,0
315,2,47,11490,10941,0,60,0.078714859437751,0,0
316,3,50,21475,21475,0,60,0.08888888888888889,0,0
317,0,45,21000,24093,0,60,0.1289905090595341,0,0
318,17,56,8390,8926,0,60,0.08888888888888889,0,0
319,12,37,9990,12131,0,96,0.05930232558139535,0,0
320,2,25,11300,8800,0,48,0.132,0,0
321,26,46,15300,17384,0,60,0.07511111111111111,0,0
322,7,57,15990,17518,0,84,0.1154545454545454,0,1
323,26,61,21300,18300,0,60,0.1283333333333333,0,0
324,2,38,11480,12522,0,60,0.05235109717868339,0,1
325,7,49,7980,6480,0,48,0.07945945945945945,0,1
326,8,50,6930,5430,0,36,0.03767441860465116,0,0
327,1,53,9950,6750,0,60,0.09071428571428572,0,0
328,9,37,20485,19485,0,60,0.1551297898640297,0,0
329,2,53,7990,8682,0,60,0.0761904761904762,0,0
330,10,39,14000,12000,0,36,0.09414225941422594,0,0
331,1,32,17000,18319,0,96,0.1238888888888889,0,1
332,48,64,13620,9000,0,12,0.09416195856873823,0,0
333,0,34,14160,14160,0,48,0.097,0,0
334,0,39,13990,13990,0,48,0.07766666666666666,0,0
335,3,20,15600,15165,0,60,0.2085714285714286,0,1
336,3,76,12990,14471,0,96,0.1515637530072173,0,1
337,0,18,19865,16446,0,72,0.1132616487455197,0,0
338,12,37,11100,11723,0,72,0.06828358208955224,0,0
339,0,21,8684,9259,0,48,0.08196721311475409,0,1
340,32,52,9979,8290,0,60,0.072,1,0
341,38,55,15900,5900,1,48,0.01594533029612756,0,0
342,7,34,13640,11640,0,72,0.08723747980613894,0,0
343,24,40,16100,15973,0,60,0.1210526315789474,0,0
344,10,51,27990,18990,0,36,0.177,0,0
345,0,32,14460,10762,0,60,0.08833333333333333,0,0
346,13,53,12500,12470,0,60,0.1357575757575758,0,0
347,2,23,8875,4649,0,36,0.08,0,0
348,24,52,5990,3490,0,36,0.04681818181818182,0,0
349,1,29,16800,14000,0,96,0.088,0,0
350,19,41,19921,21775,0,72,0.1563786008230453,0,0
351,14,31,8950,10206,0,60,0.07513513513513513,0,0
352,8,39,5039,5354,0,24,0.09583333333333334,0,0
353,0,50,5850,6356,0,60,0.09,0,0
354,1,27,3690,2009,0,24,0.07565217391304348,0,0
355,24,60,13040,16481,0,96,0.07142857142857142,0,0
356,11,61,14500,6490,1,36,0.183495145631068,0,0
357,6,27,12490,5925,1,48,0.07714285714285714,0,0
358,18,48,6017,6017,0,48,0.1029850746268657,0,0
359,7,60,12058,3698,1,24,0.1467889908256881,0,0
360,25,45,10206,11067,0,60,0.07797805642633229,0,0
361,8,57,15500,5860,1,60,0.04530201342281879,0,0
362,0,51,6950,8062,0,72,0.05837320574162679,0,1
363,9,29,7250,6250,0,36,0.1045714285714286,0,0
364,36,56,22749,19749,0,72,0.09090909090909091,0,0
365,9,54,13609,13609,0,72,0.04966666666666666,0,0
366,15,49,16771,14771,0,48,0.105531914893617,0,0
367,5,45,5249,5249,0,24,0.1621428571428571,0,0
368,9,36,16595,10595,0,60,0.03904630269523152,0,0
369,4,22,11990,8990,0,60,0.15,0,0
370,0,50,7990,7990,0,36,0.1448484848484848,0,0
371,2,22,26480,29039,0,60,0.25,0,1
372,22,51,6240,3483,0,36,0.03586206896551724,0,0
373,23,55,5205,5590,0,36,0.1620825147347741,0,0
374,11,32,20200,15338,1,48,0.07727272727272727,0,0
375,17,50,4503,3203,0,36,0.03098773402194965,0,0
376,1,59,14900,15818,0,72,0.1628205128205128,0,0
377,3,49,6000,4848,0,36,0.08347338935574229,0,0
378,0,56,5648,5648,0,36,0.1536363636363636,0,0
379,2,40,11490,10523,0,60,0.1376,0,1
380,0,19,9999,10882,0,60,0.09259259259259259,0,1
381,2,62,28930,26930,0,60,0.2153846153846154,0,1
382,19,42,16890,17652,0,96,0.1103092783505155,0,0
383,2,40,4700,5350,0,60,0.04774193548387097,0,1
384,28,62,7250,6000,0,48,0.06272727272727273,0,0
385,3,33,3618,3902,0,48,0.05028571428571429,0,0
386,3,22,17500,16796,0,60,0.08454545454545455,0,0
387,5,54,5900,6329,0,36,0.09321175278622088,0,1
388,29,56,10200,6000,0,48,0.04451612903225807,0,0
389,5,29,12990,12026,0,60,0.0975,0,1
390,3,42,9990,5575,1,96,0.04689655172413793,0,0
391,14,33,2501,2588,0,12,0.08538011695906433,0,0
392,14,43,6990,2647,1,24,0.07676902536715621,0,1
393,8,69,8021,8021,0,36,0.0948,0,0
394,13,37,17950,9000,0,36,0.144122383252818,0,0
395,0,25,11900,11900,0,72,0.1083995459704881,0,1
396,0,31,15869,15869,0,96,0.1666666666666667,0,0
397,16,52,17849,8446,0,48,0.06851851851851852,0,0
398,0,26,6880,7667,0,48,0.1239819004524887,0,1
399,2,18,6800,8294,0,96,0.1017119838872105,0,0
400,6,50,18158,20459,0,60,0.1618852459016394,0,1
401,1,29,30968,29107,0,72,0.2051612903225807,0,1
402,5,64,12900,14510,0,60,0.05722222222222222,0,0
403,0,51,24411,23927,0,48,0.06521739130434782,0,0
404,12,73,13002,8002,0,24,0.06896551724137931,0,0
405,0,25,6590,7399,0,48,0.1391666666666667,0,1
406,6,71,25990,15990,0,60,0.1304545454545455,0,0
407,5,69,7119,8310,0,60,0.102027027027027,0,0
408,9,43,10520,5340,0,24,0.1224489795918367,0,0
409,11,50,10105,10105,0,24,0.2472222222222222,1,1
410,6,29,19890,19890,0,60,0.1478571428571429,0,0
411,41,70,6200,6200,0,72,0.03703703703703703,0,1
412,4,41,16794,14273,0,36,0.03846153846153846,0,0
413,3,21,8990,8478,0,96,0.09727272727272727,0,0
414,30,54,23521,13957,0,48,0.11,0,0
415,17,48,8000,3273,0,60,0.0504,0,0
416,26,51,31000,16000,1,48,0.1071428571428571,0,0
417,9,55,6118,6705,0,48,0.06451612903225806,0,0
418,0,60,6415,2000,0,12,0.34,0,0
419,2,48,8845,10483,0,72,0.08875,0,1
420,5,41,7990,8908,0,48,0.05755608028335301,0,1
421,2,42,9800,9800,0,48,0.1473333333333333,0,1
422,20,46,11000,11000,0,72,0.07166666666666667,0,0
423,14,49,11500,13904,0,96,0.06502500961908426,0,0
424,1,25,12150,13322,0,72,0.1041979010494753,0,0
425,30,55,8900,9573,0,36,0.03064876957494407,1,0
426,5,24,9490,9768,0,60,0.1142857142857143,0,0
427,34,51,5000,5000,0,36,0.08647058823529412,0,0
428,7,29,6990,6636,0,84,0.03846153846153846,0,0
429,0,38,11199,11510,0,12,0.1113636363636364,0,0
430,11,73,14990,14500,0,60,0.1368421052631579,0,0
431,8,52,16400,11400,0,48,0.2318181818181818,0,0
432,3,68,7990,2190,1,24,0.06818181818181818,0,0
433,3,23,4490,4275,0,36,0.1,0,0
434,23,45,11850,9704,0,48,0.06398378691372322,0,0
435,31,47,11400,5400,0,48,0.03615384615384615,0,0
436,5,46,17900,13862,0,48,0.148,0,0
437,4,27,8990,9621,0,48,0.09375,0,1
438,4,38,20590,21810,0,48,0.09323703217334209,0,0
439,32,49,12990,14513,0,96,0.088,0,0
440,43,59,7899,7899,0,36,0.09708333333333333,0,0
441,1,51,9130,8830,0,72,0.092,0,0
442,5,54,14700,14700,0,48,0.1655,0,0
443,17,83,12490,12490,0,36,0.1496,0,1
444,1,52,12890,14231,0,84,0.1446153846153846,0,0
445,28,52,16790,1548,1,12,0.04517241379310345,0,0
446,4,51,25290,24155,0,60,0.1733333333333333,0,0
447,4,47,6268,7037,0,48,0.07589498806682578,0,1
448,10,72,5800,6038,0,48,0.08,0,0
449,1,53,10990,11556,0,48,0.1167567567567568,0,0
450,13,57,6077,6077,0,48,0.0548,0,1
451,1,27,11984,8164,1,48,0.1201859229747676,0,1
452,38,60,5534,5534,0,48,0.04233333333333333,0,0
453,2,30,32000,27000,0,60,0.10875,0,0
454,5,43,6500,7063,0,60,0.07027027027027027,0,1
455,0,37,8870,7370,0,60,0.05259259259259259,0,0
456,17,64,10500,5639,0,48,0.08074534161490683,0,0
457,0,63,19615,22096,0,72,0.1417647058823529,0,0
458,11,31,7250,6203,0,36,0.1175,0,0
459,12,42,11639,12798,0,72,0.07614213197969544,0,0
460,21,52,23000,22200,0,60,0.1095,0,0
461,18,55,9331,10336,0,84,0.03535606820461384,0,0
462,1,19,12000,12983,0,60,0.1064516129032258,0,1
463,23,57,3590,2238,0,24,0.08,0,0
464,2,38,10490,10770,0,48,0.1507042253521127,0,1
465,1,41,20950,21800,0,60,0.1136363636363636,0,0
466,1,50,8490,8490,0,48,0.04260869565217391,0,0
467,5,45,22580,19580,0,48,0.08210526315789474,0,0
468,15,49,26290,14590,0,24,0.0830188679245283,0,0
469,18,77,7299,7299,0,24,0.1268,0,1
470,0,18,13290,8790,0,60,0.08536585365853659,0,0
471,0,66,10400,11266,0,84,0.09447852760736196,0,0
472,5,48,18985,13985,0,60,0.03441176470588235,0,0
473,17,47,8300,8300,0,72,0.065,0,0
474,1,49,9395,10298,0,72,0.1144859813084112,0,0
475,2,19,13990,15563,0,96,0.104,0,0
476,12,76,11770,9770,0,72,0.095,0,0
477,9,42,10700,10700,0,72,0.1181318681318681,0,1
478,1,22,10400,12202,0,72,0.1583333333333333,0,0
479,32,54,23990,22990,0,96,0.12,0,0
480,4,36,10990,10990,0,60,0.0518421052631579,0,0
481,1,38,5800,3900,0,36,0.05848563968668407,0,0
482,0,34,9700,6108,0,48,0.03584229390681003,0,0
483,15,75,11850,9045,0,48,0.07578947368421053,0,0
484,27,61,13990,6000,1,36,0.0885,0,0
485,17,62,5890,6567,0,72,0.06798096532970768,0,0
486,11,57,15800,10800,0,72,0.0692,0,0
487,3,43,18850,8478,1,60,0.3222222222222222,0,0
488,0,32,14700,14700,0,96,0.1101190476190476,0,1
489,11,43,23940,23940,0,96,0.0941492938802959,0,0
490,10,55,21189,21189,0,48,0.1056,0,0
491,10,31,21593,11571,1,48,0.1488235294117647,0,0
492,2,19,12300,13988,0,60,0.1195348837209302,0,0
493,1,41,9990,9990,0,72,0.1111859838274933,0,0
494,0,56,14990,14990,0,72,0.07,0,1
