,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Loan_Status
522,5677,1424.0,100.0,360.0,1.0,1,0,1
397,3033,1459.0,95.0,360.0,1.0,1,1,1
115,14583,0.0,185.0,180.0,1.0,1,0,1
281,3927,800.0,112.0,360.0,1.0,1,1,1
253,2661,7101.0,279.0,180.0,1.0,1,0,1
195,3125,2583.0,170.0,360.0,1.0,1,0,0
570,3417,1750.0,186.0,360.0,1.0,1,0,1
219,4283,2383.0,127.0,360.0,1.0,1,0,1
362,4750,2333.0,130.0,360.0,1.0,1,1,1
457,3708,2569.0,173.0,360.0,1.0,1,1,0
228,4758,0.0,158.0,480.0,1.0,1,1,1
42,2400,0.0,75.0,360.0,1.0,1,1,1
4,6000,0.0,141.0,360.0,1.0,0,1,1
64,4166,0.0,116.0,360.0,0.0,0,1,0
109,2071,754.0,94.0,480.0,1.0,1,0,1
205,4408,0.0,120.0,360.0,1.0,0,1,1
487,18333,0.0,500.0,360.0,1.0,1,0,0
147,1538,1425.0,30.0,360.0,1.0,1,0,1
6,2333,1516.0,95.0,360.0,1.0,1,1,1
524,4680,2087.0,128.0,360.0,1.0,0,1,0
290,3075,2416.0,139.0,360.0,1.0,1,1,1
411,6256,0.0,160.0,360.0,1.0,1,1,1
259,4931,0.0,128.0,360.0,1.0,1,0,0
282,2301,985.7999878,78.0,180.0,1.0,1,0,1
122,2137,8980.0,137.0,360.0,0.0,0,1,1
320,2400,2167.0,115.0,360.0,1.0,1,1,1
151,2577,3750.0,152.0,360.0,1.0,1,1,1
375,4817,923.0,120.0,180.0,1.0,1,1,1
163,4167,1447.0,158.0,360.0,1.0,1,0,1
396,3180,0.0,71.0,360.0,0.0,0,1,0
325,8666,4983.0,376.0,360.0,0.0,1,0,0
265,4095,3447.0,151.0,360.0,1.0,0,1,1
531,4281,0.0,100.0,360.0,1.0,1,0,1
478,16667,2250.0,86.0,360.0,1.0,1,0,1
513,2130,6666.0,70.0,180.0,1.0,1,1,0
301,2875,1750.0,105.0,360.0,1.0,1,1,1
278,14583,0.0,436.0,360.0,1.0,1,1,1
143,2698,2034.0,122.0,360.0,1.0,1,1,1
438,10416,0.0,187.0,360.0,0.0,0,1,0
442,4707,1993.0,148.0,360.0,1.0,0,0,1
199,11000,0.0,83.0,360.0,1.0,0,1,0
547,2526,1783.0,145.0,360.0,1.0,0,1,1
231,3716,0.0,42.0,180.0,1.0,1,1,1
167,2439,3333.0,129.0,360.0,1.0,1,1,1
149,4860,830.0,125.0,360.0,1.0,1,1,1
533,11250,0.0,196.0,360.0,1.0,0,0,0
612,7583,0.0,187.0,360.0,1.0,1,0,1
221,4009,1717.0,116.0,360.0,1.0,1,0,1
388,2333,2417.0,136.0,360.0,1.0,1,1,1
187,2383,2138.0,58.0,360.0,1.0,1,1,1
89,5695,4167.0,175.0,360.0,1.0,1,1,1
475,16525,1014.0,150.0,360.0,1.0,1,0,1
34,12500,3000.0,320.0,360.0,1.0,0,0,0
217,3727,1775.0,131.0,360.0,1.0,1,1,1
305,2000,0.0,128.0,360.0,1.0,0,1,0
220,2221,0.0,60.0,360.0,0.0,1,1,0
453,2483,2466.0,90.0,180.0,0.0,1,1,1
394,3100,1400.0,113.0,360.0,1.0,1,0,1
12,3073,8106.0,200.0,360.0,1.0,1,0,1
343,3173,0.0,74.0,360.0,1.0,1,0,1
198,3416,2816.0,113.0,360.0,1.0,1,1,1
234,3155,1779.0,140.0,360.0,1.0,1,0,1
516,2031,1632.0,113.0,480.0,1.0,1,0,1
96,2484,2302.0,137.0,360.0,1.0,1,1,1
95,6782,0.0,128.0,360.0,1.0,0,1,0
13,1853,2840.0,114.0,360.0,1.0,0,1,0
435,10047,0.0,128.0,240.0,1.0,1,1,1
543,2239,2524.0,128.0,360.0,1.0,1,0,1
608,3232,1950.0,108.0,360.0,1.0,1,1,1
341,2378,0.0,46.0,360.0,1.0,0,1,0
380,3333,2500.0,128.0,360.0,1.0,1,1,1
417,1600,20000.0,239.0,360.0,1.0,1,0,0
344,2583,2330.0,125.0,360.0,1.0,1,0,1
491,5333,1131.0,186.0,360.0,1.0,1,0,1
600,416,41667.0,350.0,180.0,1.0,0,0,0
39,3748,1668.0,110.0,360.0,1.0,0,1,1
86,3333,2000.0,99.0,360.0,1.0,1,0,1
181,1916,5063.0,67.0,360.0,1.0,0,1,0
562,5923,2054.0,211.0,360.0,1.0,1,1,1
145,2330,4486.0,100.0,360.0,1.0,1,1,1
526,3775,0.0,110.0,360.0,1.0,1,1,1
200,2600,2500.0,90.0,360.0,1.0,1,0,1
426,4606,0.0,81.0,360.0,1.0,0,0,0
381,5941,4232.0,296.0,360.0,1.0,0,1,1
348,6333,4583.0,259.0,360.0,1.0,1,1,1
71,1875,1875.0,97.0,360.0,1.0,1,0,1
32,4692,0.0,106.0,360.0,1.0,0,0,0
549,2785,2016.0,110.0,360.0,1.0,1,1,1
603,3676,4301.0,172.0,360.0,1.0,0,1,1
106,11417,1126.0,225.0,360.0,1.0,1,0,1
489,2435,0.0,75.0,360.0,1.0,0,1,0
546,3358,0.0,80.0,36.0,1.0,0,1,0
133,3459,0.0,25.0,120.0,1.0,1,1,1
60,2500,3796.0,120.0,360.0,1.0,1,1,1
26,2799,2253.0,122.0,360.0,1.0,1,1,1
100,4288,3263.0,133.0,180.0,1.0,1,0,1
363,3013,3033.0,95.0,300.0,1.0,1,1,1
309,7667,0.0,185.0,360.0,1.0,1,0,1
441,7901,1833.0,180.0,360.0,1.0,1,1,1
476,6700,1750.0,230.0,300.0,1.0,1,0,1
148,10000,1666.0,225.0,360.0,1.0,0,1,0
483,10833,0.0,234.0,360.0,1.0,1,1,1
257,5250,0.0,94.0,360.0,1.0,1,0,0
52,4230,0.0,112.0,360.0,1.0,0,1,0
242,2965,5701.0,155.0,60.0,1.0,0,1,1
173,5708,5625.0,187.0,360.0,1.0,1,1,1
178,3750,0.0,116.0,360.0,1.0,1,0,1
275,2750,1842.0,115.0,360.0,1.0,1,0,1
44,4695,0.0,96.0,360.0,1.0,1,1,1
300,1800,2934.0,93.0,360.0,0.0,1,1,0
76,3750,4750.0,176.0,360.0,1.0,0,1,0
267,4333,1811.0,160.0,360.0,0.0,1,0,1
444,7333,8333.0,175.0,300.0,1.0,1,1,1
503,4050,5302.0,138.0,360.0,1.0,1,0,0
495,3326,913.0,105.0,84.0,1.0,1,0,1
33,3500,1667.0,114.0,360.0,1.0,1,1,1
9,12841,10968.0,349.0,360.0,1.0,1,0,0
160,1863,1041.0,98.0,360.0,1.0,1,1,1
285,3158,3053.0,89.0,360.0,1.0,0,1,1
295,4416,1250.0,110.0,360.0,1.0,1,0,1
277,3103,1300.0,80.0,360.0,1.0,1,1,1
496,2600,1700.0,107.0,360.0,1.0,1,1,1
590,3000,3416.0,56.0,180.0,1.0,1,1,1
497,4625,2857.0,111.0,12.0,1.0,1,1,1
421,2720,0.0,80.0,360.0,0.0,0,1,0
223,7578,1010.0,175.0,360.0,1.0,1,1,1
183,33846,0.0,260.0,360.0,1.0,1,0,0
117,2214,1398.0,85.0,360.0,1.0,1,0,1
593,3859,3300.0,142.0,180.0,1.0,1,1,1
165,3707,3166.0,182.0,360.0,1.0,1,1,1
184,3625,0.0,108.0,360.0,1.0,1,1,1
274,3900,0.0,90.0,360.0,1.0,1,0,1
540,4608,2845.0,140.0,180.0,1.0,1,0,1
500,645,3683.0,113.0,480.0,1.0,0,1,1
405,4547,0.0,115.0,360.0,1.0,0,1,1
561,19484,0.0,600.0,360.0,1.0,1,0,1
176,2045,1619.0,101.0,360.0,1.0,1,0,1
335,5503,4490.0,70.0,360.0,1.0,1,1,1
545,2768,1950.0,155.0,360.0,1.0,1,1,1
519,3400,0.0,95.0,360.0,1.0,0,1,0
507,3583,0.0,96.0,360.0,1.0,0,1,0
413,2253,2033.0,110.0,360.0,1.0,1,1,1
581,1836,33837.0,90.0,360.0,1.0,0,1,0
316,3717,0.0,120.0,360.0,1.0,1,0,1
337,2500,4600.0,176.0,360.0,1.0,1,0,1
538,2917,536.0,66.0,360.0,1.0,1,1,0
504,3814,1483.0,124.0,300.0,1.0,1,1,1
398,3902,1666.0,109.0,360.0,1.0,0,1,1
422,1820,1719.0,100.0,360.0,1.0,1,1,1
119,10408,0.0,259.0,360.0,1.0,0,1,1
249,1809,1868.0,90.0,360.0,1.0,1,1,1
