,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Loan_Status
402,2500,20000.0,103.0,360.0,1.0,0,1,1
273,2620,2223.0,150.0,360.0,1.0,1,1,1
279,4100,0.0,124.0,360.0,1.0,1,1,1
586,2297,1522.0,104.0,360.0,1.0,1,1,1
50,1928,1644.0,100.0,360.0,1.0,1,1,1
47,5821,0.0,144.0,360.0,1.0,1,1,1
70,3208,3066.0,172.0,360.0,1.0,1,1,1
225,3250,0.0,170.0,360.0,1.0,1,1,0
397,3033,1459.0,95.0,360.0,1.0,1,1,1
281,3927,800.0,112.0,360.0,1.0,1,1,1
362,4750,2333.0,130.0,360.0,1.0,1,1,1
457,3708,2569.0,173.0,360.0,1.0,1,1,0
314,2473,1843.0,159.0,360.0,1.0,1,1,0
228,4758,0.0,158.0,480.0,1.0,1,1,1
42,2400,0.0,75.0,360.0,1.0,1,1,1
6,2333,1516.0,95.0,360.0,1.0,1,1,1
290,3075,2416.0,139.0,360.0,1.0,1,1,1
418,1025,2773.0,112.0,360.0,1.0,1,1,1
447,3539,1376.0,55.0,360.0,1.0,1,1,0
411,6256,0.0,160.0,360.0,1.0,1,1,1
320,2400,2167.0,115.0,360.0,1.0,1,1,1
151,2577,3750.0,152.0,360.0,1.0,1,1,1
375,4817,923.0,120.0,180.0,1.0,1,1,1
513,2130,6666.0,70.0,180.0,1.0,1,1,0
301,2875,1750.0,105.0,360.0,1.0,1,1,1
143,2698,2034.0,122.0,360.0,1.0,1,1,1
553,2454,2333.0,181.0,360.0,0.0,1,1,0
231,3716,0.0,42.0,180.0,1.0,1,1,1
167,2439,3333.0,129.0,360.0,1.0,1,1,1
494,3597,2157.0,119.0,360.0,0.0,1,1,0
250,1668,3890.0,201.0,360.0,0.0,1,1,0
149,4860,830.0,125.0,360.0,1.0,1,1,1
226,4735,0.0,138.0,360.0,1.0,1,1,0
353,5500,0.0,105.0,360.0,0.0,1,1,0
388,2333,2417.0,136.0,360.0,1.0,1,1,1
187,2383,2138.0,58.0,360.0,1.0,1,1,1
89,5695,4167.0,175.0,360.0,1.0,1,1,1
217,3727,1775.0,131.0,360.0,1.0,1,1,1
220,2221,0.0,60.0,360.0,0.0,1,1,0
453,2483,2466.0,90.0,180.0,0.0,1,1,1
198,3416,2816.0,113.0,360.0,1.0,1,1,1
571,5116,1451.0,165.0,360.0,0.0,1,1,0
420,5829,0.0,138.0,360.0,1.0,1,1,1
216,150,1800.0,135.0,360.0,1.0,1,1,0
96,2484,2302.0,137.0,360.0,1.0,1,1,1
469,4333,2451.0,110.0,360.0,1.0,1,1,0
452,3948,1733.0,149.0,360.0,0.0,1,1,0
327,5818,2160.0,184.0,360.0,1.0,1,1,1
608,3232,1950.0,108.0,360.0,1.0,1,1,1
90,2958,2900.0,131.0,360.0,1.0,1,1,1
380,3333,2500.0,128.0,360.0,1.0,1,1,1
600,416,41667.0,350.0,180.0,1.0,0,0,0
145,2330,4486.0,100.0,360.0,1.0,1,1,1
526,3775,0.0,110.0,360.0,1.0,1,1,1
517,3074,1800.0,123.0,360.0,0.0,1,1,0
569,3166,2064.0,104.0,360.0,0.0,1,1,0
549,2785,2016.0,110.0,360.0,1.0,1,1,1
133,3459,0.0,25.0,120.0,1.0,1,1,1
60,2500,3796.0,120.0,360.0,1.0,1,1,1
26,2799,2253.0,122.0,360.0,1.0,1,1,1
363,3013,3033.0,95.0,300.0,1.0,1,1,1
22,2600,1911.0,116.0,360.0,0.0,1,1,0
62,2609,3449.0,165.0,180.0,0.0,1,1,0
173,5708,5625.0,187.0,360.0,1.0,1,1,1
35,2275,2067.0,128.0,360.0,1.0,1,1,1
120,5667,2667.0,180.0,360.0,1.0,1,1,1
44,4695,0.0,96.0,360.0,1.0,1,1,1
300,1800,2934.0,93.0,360.0,0.0,1,1,0
444,7333,8333.0,175.0,300.0,1.0,1,1,1
33,3500,1667.0,114.0,360.0,1.0,1,1,1
160,1863,1041.0,98.0,360.0,1.0,1,1,1
277,3103,1300.0,80.0,360.0,1.0,1,1,1
496,2600,1700.0,107.0,360.0,1.0,1,1,1
182,4600,0.0,73.0,180.0,1.0,1,1,1
590,3000,3416.0,56.0,180.0,1.0,1,1,1
36,1828,1330.0,100.0,360.0,0.0,1,1,0
2,3000,0.0,66.0,360.0,1.0,1,1,1
508,2479,3013.0,188.0,360.0,1.0,1,1,1
497,4625,2857.0,111.0,12.0,1.0,1,1,1
414,2149,3237.0,178.0,360.0,0.0,1,1,0
593,3859,3300.0,142.0,180.0,1.0,1,1,1
165,3707,3166.0,182.0,360.0,1.0,1,1,1
184,3625,0.0,108.0,360.0,1.0,1,1,1
20,7660,0.0,104.0,360.0,0.0,1,1,0
335,5503,4490.0,70.0,360.0,1.0,1,1,1
545,2768,1950.0,155.0,360.0,1.0,1,1,1
413,2253,2033.0,110.0,360.0,1.0,1,1,1
581,1836,33837.0,90.0,360.0,1.0,0,1,0
538,2917,536.0,66.0,360.0,1.0,1,1,0
504,3814,1483.0,124.0,300.0,1.0,1,1,1
605,2400,3800.0,128.0,180.0,1.0,1,1,0
422,1820,1719.0,100.0,360.0,1.0,1,1,1
249,1809,1868.0,90.0,360.0,1.0,1,1,1
