,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Loan_Status
450,2309,1255.0,125.0,360.0,0.0,1,0,0
358,3000,1666.0,100.0,480.0,0.0,1,1,0
49,4000,2275.0,144.0,360.0,1.0,0,1,1
296,6875,0.0,200.0,360.0,1.0,1,0,1
241,2510,1983.0,140.0,180.0,1.0,1,0,0
548,5000,0.0,103.0,360.0,0.0,0,1,0
83,6000,2250.0,265.0,360.0,1.0,1,1,0
462,3015,2188.0,153.0,360.0,1.0,1,1,1
166,4583,0.0,112.0,360.0,1.0,1,1,0
189,9328,0.0,188.0,180.0,1.0,1,1,1
557,10139,0.0,260.0,360.0,1.0,1,0,1
509,13262,0.0,40.0,360.0,1.0,0,0,1
261,2060,2209.0,134.0,360.0,1.0,0,1,1
138,14999,0.0,242.0,360.0,0.0,0,1,0
88,8566,0.0,210.0,360.0,1.0,0,1,1
139,4200,1430.0,129.0,360.0,1.0,1,0,0
291,4400,0.0,127.0,360.0,0.0,1,0,0
288,4124,0.0,115.0,360.0,1.0,0,1,1
23,3365,1917.0,112.0,360.0,0.0,1,0,0
164,9323,0.0,75.0,180.0,1.0,1,1,1
128,10513,3850.0,160.0,180.0,0.0,1,0,0
346,3523,3230.0,152.0,360.0,0.0,1,1,0
240,5819,5000.0,120.0,360.0,1.0,1,0,1
98,4188,0.0,115.0,180.0,1.0,1,1,1
537,3617,0.0,107.0,360.0,1.0,0,0,1
202,3992,0.0,128.0,180.0,1.0,1,0,0
371,5185,0.0,155.0,360.0,1.0,1,0,1
310,2917,0.0,84.0,360.0,1.0,0,1,1
501,3159,0.0,100.0,360.0,1.0,0,1,1
260,6083,4250.0,330.0,360.0,1.0,1,0,1
190,4885,0.0,48.0,360.0,1.0,0,1,1
384,4566,0.0,100.0,360.0,1.0,1,0,0
576,3087,2210.0,136.0,360.0,0.0,1,1,0
82,1378,1881.0,167.0,360.0,1.0,1,0,0
7,3036,2504.0,158.0,360.0,0.0,1,0,0
402,2500,20000.0,103.0,360.0,1.0,0,1,1
279,4100,0.0,124.0,360.0,1.0,1,1,1
154,3254,0.0,50.0,360.0,1.0,0,1,1
592,9357,0.0,292.0,360.0,1.0,0,0,1
38,4166,7210.0,184.0,360.0,1.0,0,1,1
208,2479,0.0,59.0,360.0,1.0,0,1,1
5,5417,4196.0,267.0,360.0,1.0,1,0,1
47,5821,0.0,144.0,360.0,1.0,1,1,1
598,9963,0.0,180.0,360.0,1.0,1,1,1
150,6277,0.0,118.0,360.0,0.0,0,1,0
65,5726,4595.0,258.0,360.0,1.0,1,1,0
434,3750,0.0,100.0,360.0,1.0,0,1,1
403,1963,0.0,53.0,360.0,1.0,0,1,1
69,4300,0.0,136.0,360.0,0.0,0,1,0
93,4133,0.0,122.0,360.0,1.0,0,1,1
68,7100,0.0,125.0,60.0,1.0,1,0,1
21,5955,5625.0,315.0,360.0,1.0,1,0,1
77,1000,3022.0,110.0,360.0,1.0,1,0,0
577,3229,2739.0,110.0,360.0,1.0,0,1,1
458,4354,0.0,136.0,360.0,1.0,0,0,1
236,5746,0.0,255.0,360.0,1.0,1,1,0
314,2473,1843.0,159.0,360.0,1.0,1,1,0
125,3692,0.0,93.0,360.0,1.0,0,1,1
415,2995,0.0,60.0,360.0,1.0,0,1,1
459,8334,0.0,160.0,360.0,1.0,1,1,0
488,4583,2083.0,160.0,360.0,1.0,1,0,1
255,3083,0.0,255.0,360.0,1.0,0,0,1
567,3400,2500.0,123.0,360.0,0.0,1,0,0
390,9167,0.0,185.0,360.0,1.0,0,0,1
418,1025,2773.0,112.0,360.0,1.0,1,1,1
386,2346,1600.0,132.0,360.0,1.0,0,1,1
447,3539,1376.0,55.0,360.0,1.0,1,1,0
78,3167,4000.0,180.0,300.0,0.0,1,0,0
550,6633,0.0,128.0,360.0,0.0,1,0,0
572,16666,0.0,275.0,360.0,1.0,1,0,1
299,2014,2925.0,113.0,360.0,1.0,1,0,0
427,5935,0.0,133.0,360.0,1.0,1,0,1
499,6283,4416.0,209.0,360.0,0.0,0,1,0
41,1800,1213.0,47.0,360.0,1.0,0,1,1
430,8624,0.0,150.0,360.0,1.0,0,0,1
553,2454,2333.0,181.0,360.0,0.0,1,1,0
364,6822,0.0,141.0,360.0,1.0,0,1,1
245,6050,4333.0,120.0,180.0,1.0,0,1,0
313,5746,0.0,144.0,84.0,1.0,1,0,1
332,2833,0.0,71.0,360.0,1.0,0,1,1
494,3597,2157.0,119.0,360.0,0.0,1,1,0
466,2947,1664.0,70.0,180.0,0.0,1,0,0
263,7200,0.0,120.0,360.0,1.0,0,1,1
29,3750,2083.0,120.0,360.0,1.0,0,0,1
238,3812,0.0,112.0,360.0,1.0,0,0,1
250,1668,3890.0,201.0,360.0,0.0,1,1,0
162,3089,1280.0,121.0,360.0,0.0,1,0,0
226,4735,0.0,138.0,360.0,1.0,1,1,0
353,5500,0.0,105.0,360.0,0.0,1,1,0
94,3620,0.0,25.0,120.0,1.0,0,1,1
85,2366,2531.0,136.0,360.0,1.0,0,1,1
72,3500,0.0,81.0,300.0,1.0,0,1,1
534,18165,0.0,125.0,360.0,1.0,0,1,1
395,3276,484.0,135.0,360.0,1.0,1,0,1
110,5316,0.0,136.0,360.0,1.0,0,1,1
367,5124,0.0,124.0,360.0,0.0,0,1,0
412,6096,0.0,218.0,360.0,0.0,1,1,0
213,5703,0.0,130.0,360.0,1.0,1,0,1
579,3182,2917.0,161.0,360.0,1.0,0,1,1
571,5116,1451.0,165.0,360.0,0.0,1,1,0
420,5829,0.0,138.0,360.0,1.0,1,1,1
431,6500,0.0,105.0,360.0,0.0,0,1,0
216,150,1800.0,135.0,360.0,1.0,1,1,0
461,7740,0.0,128.0,180.0,1.0,1,0,1
469,4333,2451.0,110.0,360.0,1.0,1,1,0
297,4666,0.0,135.0,360.0,1.0,1,0,1
63,4945,0.0,128.0,360.0,0.0,1,0,0
222,2971,2791.0,144.0,360.0,1.0,0,1,1
452,3948,1733.0,149.0,360.0,0.0,1,1,0
327,5818,2160.0,184.0,360.0,1.0,1,1,1
17,3510,0.0,76.0,360.0,0.0,0,1,0
521,2500,0.0,55.0,360.0,1.0,0,1,1
246,9703,0.0,112.0,360.0,1.0,1,0,1
207,3975,2531.0,55.0,360.0,1.0,0,1,1
90,2958,2900.0,131.0,360.0,1.0,1,1,1
307,2400,1863.0,104.0,360.0,0.0,0,1,0
471,2653,1500.0,113.0,180.0,0.0,1,0,0
351,8750,4167.0,308.0,360.0,1.0,0,1,0
580,6540,0.0,205.0,360.0,1.0,1,0,1
158,2980,2083.0,120.0,360.0,1.0,0,1,1
172,3522,0.0,81.0,180.0,1.0,1,0,0
527,5285,1430.0,161.0,360.0,0.0,1,0,1
408,8300,0.0,152.0,300.0,0.0,1,0,0
517,3074,1800.0,123.0,360.0,0.0,1,1,0
292,3153,1560.0,134.0,360.0,1.0,1,0,1
604,12000,0.0,496.0,360.0,1.0,1,0,1
569,3166,2064.0,104.0,360.0,0.0,1,1,0
542,3652,0.0,95.0,360.0,1.0,0,0,1
252,2583,2167.0,104.0,360.0,1.0,0,1,1
481,3095,0.0,113.0,360.0,1.0,1,0,1
22,2600,1911.0,116.0,360.0,0.0,1,1,0
62,2609,3449.0,165.0,180.0,0.0,1,1,0
588,4750,0.0,94.0,360.0,1.0,0,1,1
35,2275,2067.0,128.0,360.0,1.0,1,1,1
120,5667,2667.0,180.0,360.0,1.0,1,1,1
368,6325,0.0,175.0,360.0,1.0,1,0,1
212,7787,0.0,240.0,360.0,1.0,1,0,1
311,2927,2405.0,111.0,360.0,1.0,0,1,1
563,5800,0.0,132.0,360.0,1.0,0,1,1
484,8333,0.0,246.0,360.0,1.0,1,0,1
182,4600,0.0,73.0,180.0,1.0,1,1,1
36,1828,1330.0,100.0,360.0,0.0,1,1,0
156,6000,0.0,160.0,360.0,1.0,1,0,1
2,3000,0.0,66.0,360.0,1.0,1,1,1
508,2479,3013.0,188.0,360.0,1.0,1,1,1
308,20233,0.0,480.0,360.0,1.0,0,1,0
289,9508,0.0,187.0,360.0,1.0,0,1,1
560,3675,242.0,108.0,360.0,1.0,1,0,1
414,2149,3237.0,178.0,360.0,0.0,1,1,0
141,5417,0.0,168.0,360.0,1.0,0,1,1
599,5780,0.0,192.0,360.0,1.0,1,0,1
511,6065,2004.0,250.0,360.0,1.0,1,0,1
1,4583,1508.0,128.0,360.0,1.0,1,0,0
113,7451,0.0,128.0,360.0,1.0,0,0,1
372,9323,7873.0,380.0,300.0,1.0,1,0,1
0,5849,0.0,128.0,360.0,1.0,0,1,1
566,3333,0.0,70.0,360.0,1.0,0,1,1
383,7167,0.0,128.0,360.0,1.0,0,1,1
20,7660,0.0,104.0,360.0,0.0,1,1,0
379,5391,0.0,130.0,360.0,1.0,1,0,1
171,51763,0.0,700.0,300.0,1.0,1,0,1
152,9166,0.0,244.0,360.0,1.0,0,1,0
258,14683,2100.0,304.0,360.0,1.0,1,1,0
474,5532,4648.0,162.0,360.0,1.0,0,0,1
423,7250,1667.0,110.0,360.0,0.0,1,0,0
605,2400,3800.0,128.0,180.0,1.0,1,1,0
480,4350,0.0,154.0,360.0,1.0,0,1,1
256,6045,0.0,115.0,360.0,0.0,0,1,0
