,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Dependents_1,Loan_Status
523,7948,7166.0,480.0,360.0,1.0,1,0,0,1
583,1880,0.0,61.0,360.0,1.0,1,0,1,0
479,2947,1603.0,128.0,360.0,1.0,1,0,0,0
596,6383,1000.0,187.0,360.0,1.0,1,0,0,0
568,2378,0.0,9.0,360.0,1.0,0,1,0,0
317,2058,2134.0,88.0,360.0,1.0,1,1,0,1
345,2499,2458.0,160.0,360.0,1.0,1,1,0,1
135,4000,7750.0,290.0,360.0,1.0,1,0,0,0
437,2213,1125.0,128.0,360.0,1.0,1,1,0,1
610,4106,0.0,40.0,180.0,1.0,1,0,0,1
490,2699,2785.0,96.0,360.0,1.0,0,1,0,1
532,3588,0.0,110.0,360.0,0.0,0,0,0,0
251,3427,0.0,138.0,360.0,1.0,0,0,0,0
514,5815,3666.0,311.0,360.0,1.0,0,1,0,0
227,6250,1695.0,210.0,360.0,1.0,1,0,0,1
136,4583,0.0,84.0,360.0,1.0,1,1,0,0
174,4344,736.0,87.0,360.0,1.0,1,1,0,0
404,7441,0.0,194.0,360.0,1.0,0,1,0,0
203,3500,1083.0,135.0,360.0,1.0,1,0,1,1
303,1625,1803.0,96.0,360.0,1.0,1,0,1,1
548,5000,0.0,103.0,360.0,0.0,0,1,0,0
83,6000,2250.0,265.0,360.0,1.0,1,1,0,0
118,5568,2142.0,175.0,360.0,1.0,1,1,0,0
166,4583,0.0,112.0,360.0,1.0,1,1,0,0
557,10139,0.0,260.0,360.0,1.0,1,0,0,1
92,3273,1820.0,81.0,360.0,1.0,1,0,0,1
261,2060,2209.0,134.0,360.0,1.0,0,1,0,1
138,14999,0.0,242.0,360.0,0.0,0,1,0,0
56,2132,1591.0,96.0,360.0,1.0,1,1,0,1
464,4166,0.0,98.0,360.0,0.0,0,1,0,0
401,2755,0.0,65.0,300.0,1.0,0,1,0,0
291,4400,0.0,127.0,360.0,0.0,1,0,0,0
578,1782,2232.0,107.0,360.0,1.0,1,0,1,1
319,10000,0.0,155.0,360.0,1.0,1,0,1,0
410,3867,0.0,62.0,360.0,1.0,0,0,1,0
262,3481,0.0,155.0,36.0,1.0,0,0,1,0
482,2083,3150.0,128.0,360.0,1.0,1,1,0,1
436,1926,1851.0,50.0,360.0,1.0,0,1,0,1
3,2583,2358.0,120.0,360.0,1.0,1,1,0,1
19,2600,3500.0,115.0,360.0,1.0,1,1,0,1
260,6083,4250.0,330.0,360.0,1.0,1,0,1,1
298,5000,2541.0,151.0,480.0,1.0,0,1,0,0
378,3069,0.0,71.0,480.0,1.0,0,1,0,0
384,4566,0.0,100.0,360.0,1.0,1,0,0,0
140,5042,2083.0,185.0,360.0,1.0,1,0,0,0
502,4865,5624.0,208.0,360.0,1.0,1,0,0,1
334,9833,1833.0,182.0,180.0,1.0,1,0,1,1
179,2333,1451.0,102.0,480.0,0.0,0,1,0,0
99,1759,3541.0,131.0,360.0,1.0,1,1,0,1
451,1958,1456.0,60.0,300.0,1.0,1,0,0,1
74,5266,1774.0,187.0,360.0,1.0,1,0,0,1
273,2620,2223.0,150.0,360.0,1.0,1,1,0,1
586,2297,1522.0,104.0,360.0,1.0,1,1,0,1
191,12000,0.0,164.0,360.0,1.0,0,1,0,0
551,2492,2375.0,128.0,360.0,1.0,1,0,1,1
592,9357,0.0,292.0,360.0,1.0,0,0,0,1
555,5468,1032.0,26.0,360.0,1.0,1,0,1,1
50,1928,1644.0,100.0,360.0,1.0,1,1,0,1
38,4166,7210.0,184.0,360.0,1.0,0,1,0,1
5,5417,4196.0,267.0,360.0,1.0,1,0,0,1
75,3750,0.0,113.0,480.0,1.0,0,1,0,0
248,2882,1843.0,123.0,480.0,1.0,1,0,1,1
70,3208,3066.0,172.0,360.0,1.0,1,1,0,1
591,6000,0.0,205.0,240.0,1.0,1,0,0,0
225,3250,0.0,170.0,360.0,1.0,1,1,0,0
286,2600,1717.0,99.0,300.0,1.0,0,1,0,0
11,2500,1840.0,109.0,360.0,1.0,1,0,0,1
522,5677,1424.0,100.0,360.0,1.0,1,0,0,1
150,6277,0.0,118.0,360.0,0.0,0,1,0,0
397,3033,1459.0,95.0,360.0,1.0,1,1,0,1
281,3927,800.0,112.0,360.0,1.0,1,1,0,1
253,2661,7101.0,279.0,180.0,1.0,1,0,1,1
195,3125,2583.0,170.0,360.0,1.0,1,0,1,0
570,3417,1750.0,186.0,360.0,1.0,1,0,1,1
65,5726,4595.0,258.0,360.0,1.0,1,1,0,0
219,4283,2383.0,127.0,360.0,1.0,1,0,0,1
69,4300,0.0,136.0,360.0,0.0,0,1,0,0
21,5955,5625.0,315.0,360.0,1.0,1,0,1,1
77,1000,3022.0,110.0,360.0,1.0,1,0,1,0
236,5746,0.0,255.0,360.0,1.0,1,1,0,0
457,3708,2569.0,173.0,360.0,1.0,1,1,0,0
459,8334,0.0,160.0,360.0,1.0,1,1,0,0
64,4166,0.0,116.0,360.0,0.0,0,1,0,0
109,2071,754.0,94.0,480.0,1.0,1,0,0,1
255,3083,0.0,255.0,360.0,1.0,0,0,0,1
147,1538,1425.0,30.0,360.0,1.0,1,0,1,1
6,2333,1516.0,95.0,360.0,1.0,1,1,0,1
524,4680,2087.0,128.0,360.0,1.0,0,1,0,0
290,3075,2416.0,139.0,360.0,1.0,1,1,0,1
418,1025,2773.0,112.0,360.0,1.0,1,1,0,1
386,2346,1600.0,132.0,360.0,1.0,0,1,0,1
259,4931,0.0,128.0,360.0,1.0,1,0,0,0
282,2301,985.7999878,78.0,180.0,1.0,1,0,0,1
122,2137,8980.0,137.0,360.0,0.0,0,1,0,1
320,2400,2167.0,115.0,360.0,1.0,1,1,0,1
572,16666,0.0,275.0,360.0,1.0,1,0,0,1
151,2577,3750.0,152.0,360.0,1.0,1,1,0,1
299,2014,2925.0,113.0,360.0,1.0,1,0,1,0
163,4167,1447.0,158.0,360.0,1.0,1,0,0,1
396,3180,0.0,71.0,360.0,0.0,0,1,0,0
265,4095,3447.0,151.0,360.0,1.0,0,1,0,1
478,16667,2250.0,86.0,360.0,1.0,1,0,1,1
513,2130,6666.0,70.0,180.0,1.0,1,1,0,0
301,2875,1750.0,105.0,360.0,1.0,1,1,0,1
143,2698,2034.0,122.0,360.0,1.0,1,1,0,1
438,10416,0.0,187.0,360.0,0.0,0,1,0,0
442,4707,1993.0,148.0,360.0,1.0,0,0,0,1
199,11000,0.0,83.0,360.0,1.0,0,1,0,0
41,1800,1213.0,47.0,360.0,1.0,0,1,0,1
547,2526,1783.0,145.0,360.0,1.0,0,1,0,1
245,6050,4333.0,120.0,180.0,1.0,0,1,0,0
167,2439,3333.0,129.0,360.0,1.0,1,1,0,1
494,3597,2157.0,119.0,360.0,0.0,1,1,0,0
226,4735,0.0,138.0,360.0,1.0,1,1,0,0
353,5500,0.0,105.0,360.0,0.0,1,1,0,0
533,11250,0.0,196.0,360.0,1.0,0,0,1,0
221,4009,1717.0,116.0,360.0,1.0,1,0,0,1
85,2366,2531.0,136.0,360.0,1.0,0,1,0,1
388,2333,2417.0,136.0,360.0,1.0,1,1,0,1
187,2383,2138.0,58.0,360.0,1.0,1,1,0,1
89,5695,4167.0,175.0,360.0,1.0,1,1,0,1
475,16525,1014.0,150.0,360.0,1.0,1,0,0,1
34,12500,3000.0,320.0,360.0,1.0,0,0,0,0
217,3727,1775.0,131.0,360.0,1.0,1,1,0,1
305,2000,0.0,128.0,360.0,1.0,0,1,0,0
220,2221,0.0,60.0,360.0,0.0,1,1,0,0
453,2483,2466.0,90.0,180.0,0.0,1,1,0,1
394,3100,1400.0,113.0,360.0,1.0,1,0,0,1
367,5124,0.0,124.0,360.0,0.0,0,1,0,0
12,3073,8106.0,200.0,360.0,1.0,1,0,0,1
198,3416,2816.0,113.0,360.0,1.0,1,1,0,1
234,3155,1779.0,140.0,360.0,1.0,1,0,1,1
571,5116,1451.0,165.0,360.0,0.0,1,1,0,0
431,6500,0.0,105.0,360.0,0.0,0,1,0,0
516,2031,1632.0,113.0,480.0,1.0,1,0,0,1
96,2484,2302.0,137.0,360.0,1.0,1,1,0,1
222,2971,2791.0,144.0,360.0,1.0,0,1,0,1
95,6782,0.0,128.0,360.0,1.0,0,1,0,0
13,1853,2840.0,114.0,360.0,1.0,0,1,0,0
17,3510,0.0,76.0,360.0,0.0,0,1,0,0
543,2239,2524.0,128.0,360.0,1.0,1,0,1,1
608,3232,1950.0,108.0,360.0,1.0,1,1,0,1
90,2958,2900.0,131.0,360.0,1.0,1,1,0,1
307,2400,1863.0,104.0,360.0,0.0,0,1,0,0
341,2378,0.0,46.0,360.0,1.0,0,1,0,0
380,3333,2500.0,128.0,360.0,1.0,1,1,0,1
417,1600,20000.0,239.0,360.0,1.0,1,0,0,0
344,2583,2330.0,125.0,360.0,1.0,1,0,0,1
491,5333,1131.0,186.0,360.0,1.0,1,0,1,1
351,8750,4167.0,308.0,360.0,1.0,0,1,0,0
600,416,41667.0,350.0,180.0,1.0,0,0,0,0
86,3333,2000.0,99.0,360.0,1.0,1,0,0,1
181,1916,5063.0,67.0,360.0,1.0,0,1,0,0
580,6540,0.0,205.0,360.0,1.0,1,0,0,1
145,2330,4486.0,100.0,360.0,1.0,1,1,0,1
172,3522,0.0,81.0,180.0,1.0,1,0,0,0
527,5285,1430.0,161.0,360.0,0.0,1,0,1,1
408,8300,0.0,152.0,300.0,0.0,1,0,1,0
200,2600,2500.0,90.0,360.0,1.0,1,0,1,1
426,4606,0.0,81.0,360.0,1.0,0,0,1,0
381,5941,4232.0,296.0,360.0,1.0,0,1,0,1
292,3153,1560.0,134.0,360.0,1.0,1,0,0,1
348,6333,4583.0,259.0,360.0,1.0,1,1,0,1
71,1875,1875.0,97.0,360.0,1.0,1,0,0,1
604,12000,0.0,496.0,360.0,1.0,1,0,1,1
32,4692,0.0,106.0,360.0,1.0,0,0,1,0
549,2785,2016.0,110.0,360.0,1.0,1,1,0,1
603,3676,4301.0,172.0,360.0,1.0,0,1,0,1
106,11417,1126.0,225.0,360.0,1.0,1,0,0,1
489,2435,0.0,75.0,360.0,1.0,0,1,0,0
546,3358,0.0,80.0,36.0,1.0,0,1,0,0
60,2500,3796.0,120.0,360.0,1.0,1,1,0,1
26,2799,2253.0,122.0,360.0,1.0,1,1,0,1
100,4288,3263.0,133.0,180.0,1.0,1,0,0,1
363,3013,3033.0,95.0,300.0,1.0,1,1,0,1
476,6700,1750.0,230.0,300.0,1.0,1,0,0,1
148,10000,1666.0,225.0,360.0,1.0,0,1,0,0
257,5250,0.0,94.0,360.0,1.0,1,0,0,0
52,4230,0.0,112.0,360.0,1.0,0,1,0,0
242,2965,5701.0,155.0,60.0,1.0,0,1,0,1
173,5708,5625.0,187.0,360.0,1.0,1,1,0,1
35,2275,2067.0,128.0,360.0,1.0,1,1,0,1
275,2750,1842.0,115.0,360.0,1.0,1,0,1,1
76,3750,4750.0,176.0,360.0,1.0,0,1,0,0
368,6325,0.0,175.0,360.0,1.0,1,0,1,1
212,7787,0.0,240.0,360.0,1.0,1,0,1,1
267,4333,1811.0,160.0,360.0,0.0,1,0,0,1
311,2927,2405.0,111.0,360.0,1.0,0,1,0,1
444,7333,8333.0,175.0,300.0,1.0,1,1,0,1
503,4050,5302.0,138.0,360.0,1.0,1,0,1,0
495,3326,913.0,105.0,84.0,1.0,1,0,1,1
33,3500,1667.0,114.0,360.0,1.0,1,1,0,1
9,12841,10968.0,349.0,360.0,1.0,1,0,1,0
160,1863,1041.0,98.0,360.0,1.0,1,1,0,1
285,3158,3053.0,89.0,360.0,1.0,0,1,0,1
295,4416,1250.0,110.0,360.0,1.0,1,0,0,1
277,3103,1300.0,80.0,360.0,1.0,1,1,0,1
484,8333,0.0,246.0,360.0,1.0,1,0,0,1
496,2600,1700.0,107.0,360.0,1.0,1,1,0,1
182,4600,0.0,73.0,180.0,1.0,1,1,0,1
590,3000,3416.0,56.0,180.0,1.0,1,1,0,1
508,2479,3013.0,188.0,360.0,1.0,1,1,0,1
497,4625,2857.0,111.0,12.0,1.0,1,1,0,1
308,20233,0.0,480.0,360.0,1.0,0,1,0,0
421,2720,0.0,80.0,360.0,0.0,0,1,0,0
511,6065,2004.0,250.0,360.0,1.0,1,0,1,1
117,2214,1398.0,85.0,360.0,1.0,1,0,1,1
1,4583,1508.0,128.0,360.0,1.0,1,0,1,0
593,3859,3300.0,142.0,180.0,1.0,1,1,0,1
165,3707,3166.0,182.0,360.0,1.0,1,1,0,1
372,9323,7873.0,380.0,300.0,1.0,1,0,0,1
500,645,3683.0,113.0,480.0,1.0,0,1,0,1
561,19484,0.0,600.0,360.0,1.0,1,0,1,1
20,7660,0.0,104.0,360.0,0.0,1,1,0,0
176,2045,1619.0,101.0,360.0,1.0,1,0,0,1
335,5503,4490.0,70.0,360.0,1.0,1,1,0,1
545,2768,1950.0,155.0,360.0,1.0,1,1,0,1
171,51763,0.0,700.0,300.0,1.0,1,0,0,1
519,3400,0.0,95.0,360.0,1.0,0,1,0,0
507,3583,0.0,96.0,360.0,1.0,0,1,0,0
152,9166,0.0,244.0,360.0,1.0,0,1,0,0
413,2253,2033.0,110.0,360.0,1.0,1,1,0,1
581,1836,33837.0,90.0,360.0,1.0,0,1,0,0
258,14683,2100.0,304.0,360.0,1.0,1,1,0,0
337,2500,4600.0,176.0,360.0,1.0,1,0,0,1
538,2917,536.0,66.0,360.0,1.0,1,1,0,0
422,1820,1719.0,100.0,360.0,1.0,1,1,0,1
256,6045,0.0,115.0,360.0,0.0,0,1,0,0
249,1809,1868.0,90.0,360.0,1.0,1,1,0,1
