,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Dependents_1,Loan_Status
552,3333,3250.0,158.0,360.0,1.0,1,0,1,1
30,4166,3369.0,201.0,360.0,1.0,1,0,1,0
505,3510,4416.0,243.0,360.0,1.0,1,0,0,1
583,1880,0.0,61.0,360.0,1.0,1,0,1,0
479,2947,1603.0,128.0,360.0,1.0,1,0,0,0
596,6383,1000.0,187.0,360.0,1.0,1,0,0,0
340,2647,1587.0,173.0,360.0,1.0,1,0,0,0
135,4000,7750.0,290.0,360.0,1.0,1,0,0,0
610,4106,0.0,40.0,180.0,1.0,1,0,0,1
108,3800,3600.0,216.0,360.0,0.0,1,0,0,0
574,6406,0.0,150.0,360.0,1.0,1,0,0,0
347,3083,2168.0,126.0,360.0,1.0,1,0,0,1
450,2309,1255.0,125.0,360.0,0.0,1,0,0,0
227,6250,1695.0,210.0,360.0,1.0,1,0,0,1
296,6875,0.0,200.0,360.0,1.0,1,0,1,1
241,2510,1983.0,140.0,180.0,1.0,1,0,1,0
46,5649,0.0,44.0,360.0,1.0,1,0,1,1
203,3500,1083.0,135.0,360.0,1.0,1,0,1,1
303,1625,1803.0,96.0,360.0,1.0,1,0,1,1
564,8799,0.0,258.0,360.0,0.0,1,0,0,0
557,10139,0.0,260.0,360.0,1.0,1,0,0,1
92,3273,1820.0,81.0,360.0,1.0,1,0,0,1
139,4200,1430.0,129.0,360.0,1.0,1,0,0,0
291,4400,0.0,127.0,360.0,0.0,1,0,0,0
23,3365,1917.0,112.0,360.0,0.0,1,0,0,0
578,1782,2232.0,107.0,360.0,1.0,1,0,1,1
128,10513,3850.0,160.0,180.0,0.0,1,0,1,0
240,5819,5000.0,120.0,360.0,1.0,1,0,0,1
319,10000,0.0,155.0,360.0,1.0,1,0,1,0
202,3992,0.0,128.0,180.0,1.0,1,0,0,0
371,5185,0.0,155.0,360.0,1.0,1,0,0,1
146,14866,0.0,70.0,360.0,1.0,1,0,0,1
260,6083,4250.0,330.0,360.0,1.0,1,0,1,1
384,4566,0.0,100.0,360.0,1.0,1,0,0,0
140,5042,2083.0,185.0,360.0,1.0,1,0,0,0
82,1378,1881.0,167.0,360.0,1.0,1,0,0,0
502,4865,5624.0,208.0,360.0,1.0,1,0,0,1
84,3988,0.0,50.0,240.0,1.0,1,0,1,1
334,9833,1833.0,182.0,180.0,1.0,1,0,1,1
575,3159,461.0,108.0,84.0,1.0,1,0,0,1
451,1958,1456.0,60.0,300.0,1.0,1,0,0,1
74,5266,1774.0,187.0,360.0,1.0,1,0,0,1
7,3036,2504.0,158.0,360.0,0.0,1,0,0,0
551,2492,2375.0,128.0,360.0,1.0,1,0,1,1
592,9357,0.0,292.0,360.0,1.0,0,0,0,1
555,5468,1032.0,26.0,360.0,1.0,1,0,1,1
5,5417,4196.0,267.0,360.0,1.0,1,0,0,1
248,2882,1843.0,123.0,480.0,1.0,1,0,1,1
591,6000,0.0,205.0,240.0,1.0,1,0,0,0
11,2500,1840.0,109.0,360.0,1.0,1,0,0,1
522,5677,1424.0,100.0,360.0,1.0,1,0,0,1
115,14583,0.0,185.0,180.0,1.0,1,0,1,1
253,2661,7101.0,279.0,180.0,1.0,1,0,1,1
195,3125,2583.0,170.0,360.0,1.0,1,0,1,0
570,3417,1750.0,186.0,360.0,1.0,1,0,1,1
219,4283,2383.0,127.0,360.0,1.0,1,0,0,1
68,7100,0.0,125.0,60.0,1.0,1,0,0,1
21,5955,5625.0,315.0,360.0,1.0,1,0,1,1
77,1000,3022.0,110.0,360.0,1.0,1,0,1,0
488,4583,2083.0,160.0,360.0,1.0,1,0,0,1
109,2071,754.0,94.0,480.0,1.0,1,0,0,1
255,3083,0.0,255.0,360.0,1.0,0,0,0,1
567,3400,2500.0,123.0,360.0,0.0,1,0,0,0
147,1538,1425.0,30.0,360.0,1.0,1,0,1,1
259,4931,0.0,128.0,360.0,1.0,1,0,0,0
282,2301,985.7999878,78.0,180.0,1.0,1,0,0,1
78,3167,4000.0,180.0,300.0,0.0,1,0,0,0
550,6633,0.0,128.0,360.0,0.0,1,0,0,0
299,2014,2925.0,113.0,360.0,1.0,1,0,1,0
427,5935,0.0,133.0,360.0,1.0,1,0,0,1
163,4167,1447.0,158.0,360.0,1.0,1,0,0,1
531,4281,0.0,100.0,360.0,1.0,1,0,0,1
478,16667,2250.0,86.0,360.0,1.0,1,0,1,1
442,4707,1993.0,148.0,360.0,1.0,0,0,0,1
313,5746,0.0,144.0,84.0,1.0,1,0,0,1
466,2947,1664.0,70.0,180.0,0.0,1,0,0,0
29,3750,2083.0,120.0,360.0,1.0,0,0,0,1
162,3089,1280.0,121.0,360.0,0.0,1,0,1,0
612,7583,0.0,187.0,360.0,1.0,1,0,0,1
221,4009,1717.0,116.0,360.0,1.0,1,0,0,1
475,16525,1014.0,150.0,360.0,1.0,1,0,0,1
395,3276,484.0,135.0,360.0,1.0,1,0,0,1
394,3100,1400.0,113.0,360.0,1.0,1,0,0,1
12,3073,8106.0,200.0,360.0,1.0,1,0,0,1
343,3173,0.0,74.0,360.0,1.0,1,0,0,1
213,5703,0.0,130.0,360.0,1.0,1,0,0,1
234,3155,1779.0,140.0,360.0,1.0,1,0,1,1
516,2031,1632.0,113.0,480.0,1.0,1,0,0,1
461,7740,0.0,128.0,180.0,1.0,1,0,0,1
297,4666,0.0,135.0,360.0,1.0,1,0,1,1
63,4945,0.0,128.0,360.0,0.0,1,0,1,0
246,9703,0.0,112.0,360.0,1.0,1,0,0,1
543,2239,2524.0,128.0,360.0,1.0,1,0,1,1
344,2583,2330.0,125.0,360.0,1.0,1,0,0,1
471,2653,1500.0,113.0,180.0,0.0,1,0,1,0
491,5333,1131.0,186.0,360.0,1.0,1,0,1,1
86,3333,2000.0,99.0,360.0,1.0,1,0,0,1
580,6540,0.0,205.0,360.0,1.0,1,0,0,1
172,3522,0.0,81.0,180.0,1.0,1,0,0,0
527,5285,1430.0,161.0,360.0,0.0,1,0,1,1
408,8300,0.0,152.0,300.0,0.0,1,0,1,0
200,2600,2500.0,90.0,360.0,1.0,1,0,1,1
292,3153,1560.0,134.0,360.0,1.0,1,0,0,1
71,1875,1875.0,97.0,360.0,1.0,1,0,0,1
106,11417,1126.0,225.0,360.0,1.0,1,0,0,1
100,4288,3263.0,133.0,180.0,1.0,1,0,0,1
309,7667,0.0,185.0,360.0,1.0,1,0,0,1
481,3095,0.0,113.0,360.0,1.0,1,0,0,1
476,6700,1750.0,230.0,300.0,1.0,1,0,0,1
257,5250,0.0,94.0,360.0,1.0,1,0,0,0
178,3750,0.0,116.0,360.0,1.0,1,0,1,1
275,2750,1842.0,115.0,360.0,1.0,1,0,1,1
368,6325,0.0,175.0,360.0,1.0,1,0,1,1
212,7787,0.0,240.0,360.0,1.0,1,0,1,1
267,4333,1811.0,160.0,360.0,0.0,1,0,0,1
503,4050,5302.0,138.0,360.0,1.0,1,0,1,0
495,3326,913.0,105.0,84.0,1.0,1,0,1,1
295,4416,1250.0,110.0,360.0,1.0,1,0,0,1
484,8333,0.0,246.0,360.0,1.0,1,0,0,1
156,6000,0.0,160.0,360.0,1.0,1,0,1,1
560,3675,242.0,108.0,360.0,1.0,1,0,0,1
599,5780,0.0,192.0,360.0,1.0,1,0,0,1
511,6065,2004.0,250.0,360.0,1.0,1,0,1,1
117,2214,1398.0,85.0,360.0,1.0,1,0,1,1
1,4583,1508.0,128.0,360.0,1.0,1,0,1,0
274,3900,0.0,90.0,360.0,1.0,1,0,0,1
540,4608,2845.0,140.0,180.0,1.0,1,0,1,1
176,2045,1619.0,101.0,360.0,1.0,1,0,0,1
379,5391,0.0,130.0,360.0,1.0,1,0,0,1
316,3717,0.0,120.0,360.0,1.0,1,0,0,1
474,5532,4648.0,162.0,360.0,1.0,0,0,0,1
337,2500,4600.0,176.0,360.0,1.0,1,0,0,1
423,7250,1667.0,110.0,360.0,0.0,1,0,1,0
