,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Default (y)
2685,1,30,15900,15230,0,84,0
3366,2,37,13402,11146,1,48,0
192,36,56,21400,15925,0,60,0
62,4,23,19890,16747,0,48,0
1426,4,59,28180,19458,0,60,0
3306,23,50,21260,21900,0,72,0
4434,8,24,13990,15958,0,60,1
589,0,59,20500,21582,0,84,0
2303,1,21,13890,16162,0,96,0
7200,14,38,14950,16950,0,60,0
7092,3,48,9841,10901,0,72,0
5356,13,42,20289,20289,0,60,0
6638,3,31,10990,9490,0,84,0
5798,1,44,16990,16990,0,48,0
4774,0,49,12990,10076,0,96,0
2288,2,35,14420,13247,0,48,0
32,4,53,14900,13500,0,72,0
4726,23,49,21989,21989,0,60,0
1111,6,47,17300,13300,0,48,0
5054,3,25,14990,12510,0,60,0
1538,17,48,22300,21300,0,72,0
1575,5,70,20830,14184,0,60,0
2633,2,25,34500,29207,0,72,1
96,5,41,12968,12968,0,48,0
1129,2,66,18198,10798,0,60,0
1979,0,20,11365,12225,0,60,1
7290,8,39,12510,13200,0,60,0
1163,38,55,18939,17066,0,72,0
339,0,21,8684,9259,0,48,1
6321,0,39,21490,19290,0,60,0
3153,3,52,16400,12911,0,72,0
4357,9,58,13990,14950,0,60,0
5970,0,32,13600,15329,0,96,1
7428,6,32,12300,11300,0,72,0
2726,0,50,14985,16559,0,72,0
5380,18,51,13049,13853,0,72,0
626,5,21,18800,20539,0,72,0
2094,6,44,12300,6984,0,84,0
2916,7,58,10550,11158,0,96,0
1429,18,49,20990,19757,0,48,0
1234,1,39,17990,20426,0,60,1
2687,0,24,26490,29023,0,72,1
6912,4,27,17590,15719,0,60,0
5121,4,39,10400,11432,0,72,1
676,5,39,19300,8500,1,36,0
1337,11,48,19479,18979,0,96,0
194,2,29,15000,14724,0,24,0
3245,10,42,14525,14536,0,60,0
1669,23,54,17990,10990,0,60,0
3168,29,56,20000,19712,0,60,0
841,1,26,13064,14525,0,84,0
3089,2,35,11200,12433,0,96,0
2572,0,27,16140,12940,0,72,0
3655,17,54,18889,18889,0,96,1
4240,5,34,20980,15780,0,36,0
2103,6,47,15900,13300,0,48,0
4122,1,48,11440,10181,0,72,0
3570,13,37,9950,10872,0,72,0
6870,2,34,25877,25877,0,60,1
3770,5,22,8234,8383,0,96,0
3296,2,52,11990,11990,0,72,0
6189,10,66,30970,19970,0,48,0
5454,37,56,27500,27500,0,60,0
5538,3,30,9790,9790,0,72,0
3021,3,29,13830,10866,0,60,0
142,0,38,24880,27364,0,72,1
2126,33,51,19990,22863,0,60,0
5168,7,55,13750,14551,0,48,1
2575,0,64,23175,20865,0,60,1
3475,0,29,13116,10175,0,48,0
6048,1,22,10900,11934,0,36,0
6942,1,36,15990,18850,0,72,0
4291,2,26,20100,16100,0,48,0
4731,2,31,14115,13275,0,60,0
4087,1,26,15300,17038,0,48,0
4698,2,28,15890,15890,0,48,0
747,1,22,25658,25772,0,60,1
1261,2,35,30070,27441,0,72,1
6134,2,25,8990,9748,0,60,0
6751,1,40,14500,16131,0,96,0
4180,7,30,9070,9638,0,96,0
6995,3,35,11990,13005,0,96,1
6651,12,44,31000,25000,0,96,0
5636,1,31,12950,11435,0,72,0
2559,1,25,20990,23877,0,60,1
1430,28,46,17100,14300,0,48,0
7222,2,39,12990,12499,0,60,0
7258,2,25,27750,26449,0,60,1
4730,14,44,24390,7690,1,36,0
5196,9,30,15990,14143,0,60,0
4105,5,30,16900,12148,0,36,0
2619,1,35,12849,12165,0,60,0
1094,0,27,12200,12200,0,60,0
3000,4,30,16900,20346,0,96,0
303,0,23,25280,20280,0,36,1
93,9,34,19990,14190,0,60,0
752,7,40,10990,13288,0,96,0
4629,5,29,12490,13871,0,48,0
1554,3,54,18930,18930,0,60,1
2036,7,47,14800,13649,0,60,0
3651,0,26,14790,9437,0,48,1
2476,10,34,16900,16990,0,72,1
4751,0,35,14890,9990,0,48,0
1801,11,51,14330,12630,0,84,0
3784,6,46,12585,10285,0,60,0
2662,2,48,10990,11955,0,60,0
139,15,42,11590,12611,0,60,0
4987,0,25,11550,12537,0,60,0
2910,13,39,13900,15076,0,60,0
585,1,23,12990,12623,0,72,1
157,15,57,26790,15790,0,48,0
7421,8,44,17980,18719,0,48,0
3262,1,21,8990,9768,0,60,0
1009,10,58,24500,16329,0,48,0
1971,23,63,19500,15477,0,48,0
6654,2,26,11400,9237,0,60,0
1467,1,65,19690,9820,1,60,0
465,1,41,20950,21800,0,60,0
7297,40,59,39136,21650,1,60,0
1886,0,28,11500,11500,0,60,0
7266,11,46,13900,11400,0,60,0
1649,2,42,13870,15366,0,84,0
6602,16,41,16300,13800,0,60,0
3298,0,35,15000,15000,0,96,1
6759,20,43,13620,14907,0,72,0
5195,6,41,13750,13750,0,60,0
2906,0,18,12800,13908,0,60,1
1992,25,54,20450,16837,0,72,0
3718,6,31,14300,13093,0,84,0
4441,0,45,11990,11990,0,72,0
3862,0,28,9950,9550,0,72,1
708,5,70,14690,14690,0,60,0
3949,3,22,13333,11747,0,60,0
5983,1,47,13200,10000,0,60,0
439,32,49,12990,14513,0,96,0
866,0,29,16600,6600,1,24,0
2093,14,50,10995,11525,0,96,0
847,0,25,26000,29175,0,96,1
4055,2,30,11387,11526,0,60,0
4442,6,25,13990,13990,0,84,0
2319,4,66,22980,11680,0,60,0
2683,2,21,22040,25333,0,60,1
1894,1,27,14933,13499,0,96,0
960,21,54,12628,14237,0,96,0
2533,2,54,18244,10241,0,60,0
4695,8,35,12000,12000,0,72,0
103,0,41,16379,15374,0,48,1
861,2,24,15340,16688,0,60,1
5929,20,51,27750,12950,0,36,0
3049,20,36,24990,24990,0,60,0
4487,3,39,21475,20327,0,72,0
1880,9,50,14351,14351,1,60,0
1270,20,48,18390,15572,0,60,0
1499,18,57,20990,15923,0,60,0
5557,4,32,8800,10208,0,72,0
3559,2,20,13990,15289,0,60,1
480,4,36,10990,10990,0,60,0
764,5,29,11600,8184,0,48,0
3621,2,55,9630,11643,0,96,1
5112,2,18,7600,7600,0,60,0
3698,5,24,19100,17990,0,48,0
5958,17,49,22200,18099,0,96,0
3733,1,48,12880,15573,0,96,0
91,2,56,22129,17629,0,96,0
7354,1,23,15500,15723,0,60,0
1666,0,39,12990,14837,0,60,0
188,6,38,12159,10659,0,60,0
979,2,53,18790,10542,0,48,0
5389,12,55,15495,11495,0,60,1
944,6,56,24100,14600,0,48,0
7259,10,42,19980,15180,0,60,0
4279,7,45,16950,16950,0,96,0
5789,26,52,15834,17231,0,60,0
3011,1,53,23005,23122,0,60,1
5055,1,54,12490,12490,0,60,0
5531,0,42,13600,9100,0,72,0
6074,6,35,20111,20290,0,72,0
7204,6,51,15990,10404,0,48,0
2318,3,20,8450,8874,0,72,1
871,0,56,12990,10990,0,72,0
1393,4,55,19950,21988,0,84,0
737,2,63,34700,24700,0,36,0
1079,2,34,11715,11840,0,84,0
6115,10,33,15500,10000,0,60,0
6682,4,66,17877,15516,0,60,0
1323,2,62,16600,14100,0,72,0
4955,11,33,10208,11125,0,72,0
6398,8,73,22990,22990,0,60,1
7006,0,19,19900,21650,0,60,1
111,0,42,9990,11381,0,60,0
300,2,42,11990,17726,0,48,0
633,5,24,10850,11957,0,60,0
6487,6,52,20600,14600,0,60,0
6801,16,41,19248,20047,1,60,0
5786,1,24,28990,29777,0,72,1
401,1,29,30968,29107,0,72,1
810,23,52,23450,23450,0,96,1
12,2,48,13400,11800,0,96,0
479,32,54,23990,22990,0,96,0
4462,6,77,17600,17600,0,60,0
52,30,58,35480,16000,0,60,0
4905,2,33,19625,16125,1,60,1
1018,1,22,15885,17642,0,72,1
4766,30,51,15901,15990,0,72,0
5775,7,47,28190,19876,0,72,0
6982,31,48,25100,25100,0,72,0
238,2,49,21145,25455,0,72,0
5413,10,46,34960,28179,0,48,0
5785,2,36,10389,9191,0,72,0
903,9,38,10200,9900,0,84,0
6143,19,55,20590,16071,0,84,1
234,12,37,23000,15181,0,60,0
5430,3,31,20990,22844,0,60,0
2275,2,42,24500,26201,0,48,1
7249,0,33,10500,8341,0,60,0
7203,7,55,21524,21524,0,72,0
5074,1,50,23500,12000,0,36,0
7047,20,47,26780,26780,0,48,0
5025,2,33,23500,23500,0,48,0
6444,2,57,18900,10677,0,72,0
1434,0,38,12028,12028,0,60,0
6240,8,33,13750,15154,0,84,0
3166,2,47,17975,16412,0,72,0
4852,6,70,22290,17498,0,36,0
453,2,30,32000,27000,0,60,0
2144,3,53,13350,12970,0,60,0
2138,10,26,12000,12000,0,48,0
2654,4,31,15995,17214,0,48,1
2223,7,39,19340,14254,0,96,0
5118,10,28,20490,17990,0,60,0
2316,5,21,23000,6473,1,24,0
6723,5,31,19990,24490,0,96,0
4816,0,33,10900,10995,0,72,0
2170,10,40,20795,22634,0,60,0
2819,17,63,18900,15400,1,60,0
7238,9,44,19800,18776,0,60,0
6182,25,61,17525,19012,0,36,1
2622,0,37,9790,10616,0,60,0
1830,1,23,7940,9430,0,84,0
3254,5,33,21920,23354,0,48,0
2960,1,38,10890,10841,0,60,0
2519,0,25,8000,8938,0,96,1
4975,4,52,12500,13394,0,48,1
5227,2,39,14710,10970,0,60,0
1775,26,51,17000,19275,0,60,0
6693,1,42,11990,11872,0,84,0
6645,0,33,9500,9500,0,72,1
3785,2,25,17410,13400,0,60,1
5979,15,58,15550,16469,0,60,0
5041,0,18,11680,12557,0,36,1
5901,5,23,10450,10841,0,60,0
4582,8,37,34829,13829,1,36,0
6966,6,25,7579,8541,0,96,1
334,0,39,13990,13990,0,48,0
1295,24,49,25480,25480,0,60,0
4149,0,49,16450,16450,0,60,0
2727,1,44,11700,12721,0,84,1
3172,1,56,27000,27000,0,72,1
3388,0,21,8990,10224,0,60,1
2880,2,18,14010,16122,0,60,1
6264,0,19,6450,7171,0,84,1
5960,2,32,16260,16260,0,60,0
2258,0,28,15545,10487,0,60,0
6000,5,31,21895,24053,0,72,1
2648,1,28,23800,12900,0,60,0
5537,0,26,19886,23192,0,72,0
657,8,60,24400,19100,1,96,0
2370,3,47,25000,13000,0,36,0
3535,0,22,14150,11038,0,48,0
1330,2,37,16110,18266,0,60,0
5302,0,29,19414,22300,0,72,0
4510,11,30,12500,11964,0,60,0
5850,1,30,15985,18442,0,60,1
416,26,51,31000,16000,1,48,0
1656,0,63,19000,13000,0,48,0
3379,28,45,22730,23480,0,60,0
6726,1,21,25990,25990,0,60,0
3442,0,24,12500,10500,0,60,1
4458,7,63,14295,15583,0,72,1
1362,16,52,17200,15908,0,60,0
366,15,49,16771,14771,0,48,0
3350,2,55,13900,15251,0,72,0
5903,5,59,14023,14023,0,56,1
5201,3,34,20500,16590,0,60,0
1688,2,48,16000,15500,0,60,0
5696,6,35,17000,18834,0,84,0
4979,2,23,11820,10633,0,60,0
3066,16,46,20859,15859,0,72,0
2480,0,56,13462,14344,0,60,0
2566,27,46,18078,19959,0,72,0
2984,3,48,14777,16998,0,60,0
4712,4,68,15590,18706,0,84,1
2846,4,62,24980,26146,0,60,1
3194,16,33,13490,14111,0,96,0
5519,0,26,10001,10001,0,48,0
7169,2,37,12490,14129,0,60,1
6017,7,67,21250,21250,0,48,0
4456,0,21,18300,19359,0,60,0
3499,5,66,15990,19138,0,84,0
5328,30,53,16300,22660,0,96,0
1092,27,52,17000,12696,0,84,0
6309,8,35,9250,9714,0,96,0
1507,2,22,7990,7990,0,60,0
4141,19,40,13000,11500,0,96,0
2406,1,32,7650,8305,0,96,0
1310,39,58,23990,12253,0,48,0
6635,13,42,20700,10700,0,48,0
7053,0,23,11890,12948,0,48,1
5447,1,32,11300,10551,0,96,1
6856,6,42,12900,13990,0,60,0
4386,8,37,21990,16990,0,48,0
6097,0,21,17990,19725,0,72,1
3834,0,49,13327,12327,0,60,0
2521,7,43,10700,11853,0,96,0
6597,1,51,16290,9557,1,48,0
2351,5,36,13684,13927,0,12,0
3896,9,63,11508,11508,0,96,1
4325,2,33,15990,17661,0,72,1
852,17,63,21380,21380,0,60,0
178,6,29,35010,29010,0,60,0
5451,13,36,12639,12639,0,60,0
1599,12,42,13600,13093,0,60,0
292,0,32,14900,10900,0,48,0
3653,13,58,18900,8900,1,72,0
4301,0,45,22390,22390,0,60,1
2858,5,49,15700,14950,0,72,0
7137,15,54,17500,12000,0,60,0
3381,1,23,19990,19990,0,72,1
3707,23,42,15547,10329,0,60,0
2707,3,61,15700,15700,0,72,0
6470,0,52,10980,10980,0,72,1
2716,8,73,26839,16839,0,60,1
210,12,32,20016,23250,0,96,1
3857,0,29,22000,24031,0,72,1
2807,5,26,10200,12113,0,84,0
2884,4,38,21180,20142,0,84,0
2638,4,38,19100,14068,0,48,0
122,5,31,16110,15870,1,96,0
5570,0,19,11900,11900,0,60,1
5218,6,42,9990,10124,0,72,0
3429,5,22,10500,8149,0,60,1
5711,4,22,8000,8130,0,72,1
2004,17,35,19900,14900,0,24,0
1469,23,53,14990,14990,0,72,0
2069,16,39,13870,12752,0,72,0
4013,4,53,11490,9768,0,84,0
2776,7,48,21383,23432,0,72,0
5650,6,57,15627,14007,0,60,0
4322,0,22,9990,11385,0,60,1
2617,12,33,15450,8350,0,48,0
1860,2,19,13990,14237,0,72,1
183,0,34,28650,26973,0,72,1
6306,6,34,20081,22174,0,72,0
802,2,40,26490,29146,0,72,1
6805,2,21,24800,26756,0,96,1
1424,18,36,16190,17829,0,72,0
410,6,29,19890,19890,0,60,0
637,0,44,11950,11950,0,60,0
4561,0,33,9500,10562,0,84,1
5521,4,27,10970,10290,0,60,0
101,1,40,15990,14990,0,60,1
3885,10,32,17910,13410,0,48,0
2302,9,38,19880,13880,0,72,0
3668,0,25,21495,21495,0,72,0
380,0,19,9999,10882,0,60,1
4084,29,46,16809,16939,0,72,0
4060,16,49,30180,24301,0,72,0
4776,10,54,16500,15212,0,60,0
6284,15,43,14320,13510,0,60,0
4907,1,45,22145,22145,0,60,1
4787,4,44,16000,16000,0,72,0
2600,1,21,16890,6890,1,24,0
5284,6,66,15125,12939,0,60,0
5936,2,37,17890,16790,0,96,1
5612,8,53,13409,15271,0,60,0
2417,11,55,22880,22656,0,60,0
705,1,19,23990,24105,0,72,1
4553,2,29,12800,14209,0,96,1
6826,0,43,10420,10334,0,60,0
6727,2,34,17589,18379,0,72,0
7403,10,41,29000,25500,0,60,0
6999,30,58,24554,8737,1,60,0
6957,2,43,19340,19340,0,72,0
982,4,36,17140,15940,0,48,0
2045,0,26,9325,9450,0,60,0
6753,6,28,11318,12367,0,72,0
4098,1,41,12500,13965,0,96,1
330,10,39,14000,12000,0,36,0
1566,2,57,13744,14698,0,60,0
4537,2,41,22329,26658,0,96,0
4461,33,58,22000,22000,0,48,0
2244,23,43,17990,12434,0,60,0
6868,2,64,25800,21391,0,36,0
2829,12,58,19199,20327,0,96,0
381,2,62,28930,26930,0,60,1
1553,16,36,10000,9065,0,84,0
413,3,21,8990,8478,0,96,0
6733,6,32,11970,11005,0,60,0
1238,2,24,7990,9220,0,72,1
1109,4,47,14950,12950,0,48,0
272,6,28,14690,14690,0,60,0
3459,1,23,9900,9900,0,48,1
1813,6,43,12300,12276,0,60,0
5701,5,61,14490,14490,0,60,0
4424,2,33,22500,22500,0,60,1
3323,4,26,20770,20658,0,96,1
2438,2,19,26980,29191,0,60,1
1988,3,35,11250,11452,0,96,0
2879,1,28,20039,21680,0,60,0
2389,18,46,29490,25813,0,36,0
6089,8,32,33500,27500,0,60,0
765,12,30,9999,7999,0,84,1
5888,5,36,24783,27112,0,72,0
4381,0,30,20950,22352,0,48,0
3023,47,64,25099,19099,0,60,0
5482,20,58,13990,15871,0,72,0
5008,10,33,19990,8717,0,36,0
4043,2,57,9950,9950,0,96,0
2750,6,33,13000,12510,0,96,1
2181,4,40,17400,10200,0,36,0
5638,1,66,16500,18576,0,60,0
6513,1,35,8802,7900,0,72,0
2531,3,37,20922,24245,0,72,0
607,8,33,23220,18495,0,60,0
7045,15,46,16700,11828,0,72,1
1427,2,27,14250,12050,0,60,0
6932,1,25,7825,8562,0,72,1
4714,2,46,14080,15272,0,60,1
2415,5,30,12750,7005,1,60,0
251,3,36,18470,20098,0,60,0
2775,0,63,18339,15639,0,60,0
535,20,40,26000,11000,1,36,0
1563,25,48,17900,15041,0,60,0
1862,3,26,24962,24962,0,60,1
4295,1,26,11390,12331,0,72,0
3984,33,50,29800,27300,0,96,0
7359,1,35,10522,11363,0,60,1
693,1,35,10900,9900,0,96,0
6699,2,26,17650,15150,0,60,0
3481,3,26,24800,24800,0,48,0
1924,8,41,16500,10500,0,48,0
4559,1,44,13000,11952,0,60,1
2470,2,43,17900,12000,0,48,0
1251,3,27,19390,17360,0,36,0
5082,0,42,14500,12384,0,48,0
4913,0,21,10985,11487,0,72,1
7289,4,64,35200,25200,0,24,0
2453,7,27,11130,8630,0,60,0
333,0,34,14160,14160,0,48,0
5631,9,40,22900,24093,0,84,0
4063,9,40,16085,11085,0,48,0
4168,12,29,28900,27937,0,36,0
4634,2,60,17067,15154,1,60,0
4755,15,49,9990,17290,0,60,0
