,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Default (y)
4753,4,44,20600,23116,0,96,1
4127,9,77,19990,19990,0,72,1
5277,14,49,16500,14821,0,60,0
4251,9,31,10150,6168,0,36,0
6066,0,55,11299,8799,0,60,0
4085,33,49,19630,13532,1,24,0
4722,12,40,8990,9828,0,48,1
599,14,52,14200,13945,0,36,0
1023,0,42,12290,8790,0,48,0
5628,9,70,21300,18300,1,84,1
4668,15,47,10800,9634,0,36,0
5643,1,19,21950,21950,0,60,1
4303,9,55,4775,2575,0,12,0
1108,1,45,11233,8866,0,48,0
315,2,47,11490,10941,0,60,0
3210,1,47,10490,6490,0,24,0
2765,20,43,10990,5990,1,36,0
2609,8,51,24740,16740,0,48,0
6058,10,44,15990,15990,0,60,0
4284,8,52,24711,28946,0,72,1
621,19,46,10450,10237,0,60,0
5282,20,39,8395,5818,0,48,0
5967,13,68,6170,3859,0,24,0
59,28,48,29139,9139,1,36,0
5921,11,74,18740,18838,0,60,1
2323,16,44,10580,9580,0,60,0
3425,22,61,5500,2791,1,36,0
2271,0,41,13425,13425,0,72,1
4264,16,55,3032,3032,0,15,1
3450,2,30,24500,14500,0,60,0
7201,4,33,18390,11146,0,48,0
3043,19,58,6437,6635,0,36,0
996,37,57,15790,14590,0,72,1
6365,1,38,14980,17142,0,60,1
3434,1,53,7748,1544,1,12,0
498,1,35,11850,11850,0,72,1
4306,1,18,6200,6845,0,36,1
1340,21,38,23580,13580,0,48,0
3680,20,46,4810,2391,1,48,0
4625,7,45,8995,6995,0,48,0
937,4,50,15800,12000,0,60,0
3001,8,50,11390,9390,0,60,0
7425,9,38,4502,4856,0,48,1
2354,6,31,10500,10500,0,60,0
2656,0,31,14290,17753,0,96,1
1767,26,48,8470,2470,1,12,0
5243,42,60,9990,11641,0,84,0
3749,4,30,9970,11025,0,36,1
7067,5,41,9100,4415,0,48,0
4861,16,56,10418,10418,0,60,0
5623,19,39,22930,22930,0,60,0
5281,37,57,13490,11990,0,60,0
3366,2,37,13402,11146,1,48,0
192,36,56,21400,15925,0,60,0
2641,5,31,8700,4995,0,24,0
4917,10,70,11985,2134,1,12,0
4017,38,63,6200,5565,0,48,0
4434,8,24,13990,15958,0,60,1
4450,11,50,6500,6128,0,48,0
2373,26,43,7200,6208,0,60,0
2781,1,44,10840,5719,0,36,0
3431,21,47,10500,3200,1,36,0
5356,13,42,20289,20289,0,60,0
678,3,54,4790,2240,0,24,0
2288,2,35,14420,13247,0,48,0
4726,23,49,21989,21989,0,60,0
1111,6,47,17300,13300,0,48,0
469,18,77,7299,7299,0,24,1
1575,5,70,20830,14184,0,60,0
5522,16,58,6000,6722,0,60,1
2633,2,25,34500,29207,0,72,1
6244,2,45,5900,4296,0,36,1
1129,2,66,18198,10798,0,60,0
6952,25,59,13700,11461,0,60,0
1979,0,20,11365,12225,0,60,1
3484,10,74,7990,4990,0,24,0
1671,3,35,11940,5435,1,48,0
972,8,57,11800,5800,1,60,0
1163,38,55,18939,17066,0,72,0
339,0,21,8684,9259,0,48,1
4500,25,58,15617,17055,0,48,0
1116,2,28,7990,5490,0,36,0
5151,0,56,9190,4834,1,36,0
6473,7,51,3981,3981,0,36,0
4329,37,54,11485,13358,0,72,0
3153,3,52,16400,12911,0,72,0
3395,19,44,8490,5912,0,48,1
1777,12,72,7450,5603,0,24,0
5970,0,32,13600,15329,0,96,1
2997,5,57,13309,5294,1,12,0
58,15,56,11801,12500,1,60,0
5995,2,45,4500,4500,0,24,0
2398,17,82,13995,10695,0,60,0
2094,6,44,12300,6984,0,84,0
1429,18,49,20990,19757,0,48,0
1234,1,39,17990,20426,0,60,1
7378,8,56,3490,3490,0,36,0
2687,0,24,26490,29023,0,72,1
4165,7,43,8950,7604,0,72,0
0,34,55,4875,3087,0,36,0
5121,4,39,10400,11432,0,72,1
676,5,39,19300,8500,1,36,0
3649,29,58,6680,6992,0,36,0
194,2,29,15000,14724,0,24,0
6922,2,67,14400,13400,0,48,0
3245,10,42,14525,14536,0,60,0
1669,23,54,17990,10990,0,60,0
3168,29,56,20000,19712,0,60,0
2670,3,66,10990,3990,1,24,0
3932,16,48,10800,10800,0,60,0
418,0,60,6415,2000,0,12,0
3655,17,54,18889,18889,0,96,1
387,5,54,5900,6329,0,36,1
6274,22,62,9790,5480,1,36,0
4240,5,34,20980,15780,0,36,0
1391,35,69,7838,7838,0,36,0
2103,6,47,15900,13300,0,48,0
6216,15,48,6850,4684,0,48,0
7180,3,27,6490,1539,1,12,0
3570,13,37,9950,10872,0,72,0
4951,19,49,13730,12494,0,60,0
6870,2,34,25877,25877,0,60,1
3693,13,38,10990,6057,0,48,0
6479,10,32,8415,9429,0,48,1
6189,10,66,30970,19970,0,48,0
5454,37,56,27500,27500,0,60,0
2576,34,51,9500,9325,0,48,0
142,0,38,24880,27364,0,72,1
2126,33,51,19990,22863,0,60,0
4545,0,40,3990,2213,0,24,1
5168,7,55,13750,14551,0,48,1
2575,0,64,23175,20865,0,60,1
4899,3,33,9018,9018,0,24,0
6003,25,50,14990,3710,1,24,0
965,26,42,15250,7625,0,24,0
4002,0,66,15078,9548,1,60,0
6587,12,53,9850,6000,0,60,0
1215,34,57,6700,3825,0,24,0
5007,20,48,7990,9100,0,60,1
2510,11,75,12020,1510,1,12,0
747,1,22,25658,25772,0,60,1
1261,2,35,30070,27441,0,72,1
2377,2,25,5660,4090,0,36,0
4101,9,48,9130,3990,1,36,0
3805,11,44,17980,4180,1,24,0
6995,3,35,11990,13005,0,96,1
1287,14,79,4932,4932,0,36,0
5184,4,36,9335,2394,1,12,1
4229,24,45,6790,4950,0,48,1
2559,1,25,20990,23877,0,60,1
1430,28,46,17100,14300,0,48,0
2705,22,57,15151,10000,0,36,0
7258,2,25,27750,26449,0,60,1
4730,14,44,24390,7690,1,36,0
6159,2,68,5990,4490,0,24,0
5928,6,68,2948,3088,0,24,0
1703,3,51,8400,9127,0,60,1
5196,9,30,15990,14143,0,60,0
4105,5,30,16900,12148,0,36,0
6631,17,49,6150,6150,0,48,0
4771,17,40,16140,7886,1,48,0
3196,5,29,10220,7905,0,48,0
2412,19,43,3990,4287,0,36,0
303,0,23,25280,20280,0,36,1
93,9,34,19990,14190,0,60,0
3455,29,46,11240,8335,0,96,0
543,2,20,5990,5990,0,48,1
3534,33,63,5600,5600,0,36,0
4541,9,70,17750,10000,0,60,0
1554,3,54,18930,18930,0,60,1
2036,7,47,14800,13649,0,60,0
3651,0,26,14790,9437,0,48,1
2476,10,34,16900,16990,0,72,1
1320,20,58,7641,7903,0,24,0
4751,0,35,14890,9990,0,48,0
1801,11,51,14330,12630,0,84,0
7261,0,63,17150,3150,1,24,0
3784,6,46,12585,10285,0,60,0
2312,4,68,11100,8556,0,48,0
6810,12,60,2900,3135,0,36,0
139,15,42,11590,12611,0,60,0
2827,15,57,8900,5493,0,36,0
5359,34,51,5870,6449,0,72,0
585,1,23,12990,12623,0,72,1
157,15,57,26790,15790,0,48,0
1009,10,58,24500,16329,0,48,0
1971,23,63,19500,15477,0,48,0
1467,1,65,19690,9820,1,60,0
7297,40,59,39136,21650,1,60,0
6519,7,34,14390,6325,1,36,0
61,24,58,13500,11950,0,60,0
7266,11,46,13900,11400,0,60,0
4546,40,56,13500,17013,0,60,0
6602,16,41,16300,13800,0,60,0
668,1,47,12550,13099,0,24,0
3298,0,35,15000,15000,0,96,1
1075,10,51,9767,9767,0,48,0
5195,6,41,13750,13750,0,60,0
6914,2,67,15118,10394,0,36,0
2906,0,18,12800,13908,0,60,1
1992,25,54,20450,16837,0,72,0
3862,0,28,9950,9550,0,72,1
3505,27,60,9735,10877,0,48,0
5983,1,47,13200,10000,0,60,0
3113,3,60,4016,4016,0,17,0
439,32,49,12990,14513,0,96,0
866,0,29,16600,6600,1,24,0
847,0,25,26000,29175,0,96,1
2319,4,66,22980,11680,0,60,0
5495,3,26,7000,7573,0,60,1
2450,1,51,7480,8127,0,60,1
2683,2,21,22040,25333,0,60,1
2533,2,54,18244,10241,0,60,0
103,0,41,16379,15374,0,48,1
2963,4,47,5250,6161,0,72,1
6081,3,64,15115,8527,1,60,0
861,2,24,15340,16688,0,60,1
5929,20,51,27750,12950,0,36,0
3049,20,36,24990,24990,0,60,0
1880,9,50,14351,14351,1,60,0
1270,20,48,18390,15572,0,60,0
1499,18,57,20990,15923,0,60,0
3559,2,20,13990,15289,0,60,1
6447,23,45,10380,8548,0,60,0
2020,7,81,7590,7590,0,72,1
764,5,29,11600,8184,0,48,0
3621,2,55,9630,11643,0,96,1
5144,1,50,4990,3211,0,36,0
3480,7,37,18970,1810,1,12,0
3319,37,54,9985,9985,0,72,0
3076,33,55,5990,6460,0,48,0
6780,2,32,4378,4490,0,12,0
188,6,38,12159,10659,0,60,0
979,2,53,18790,10542,0,48,0
7095,36,65,14990,8364,0,48,0
5389,12,55,15495,11495,0,60,1
944,6,56,24100,14600,0,48,0
641,15,58,6500,5500,0,36,1
7259,10,42,19980,15180,0,60,0
5789,26,52,15834,17231,0,60,0
3011,1,53,23005,23122,0,60,1
4791,26,52,9950,12973,0,84,0
5531,0,42,13600,9100,0,72,0
7204,6,51,15990,10404,0,48,0
3382,17,43,13490,8490,0,36,0
2318,3,20,8450,8874,0,72,1
4666,24,56,8000,6000,0,48,0
5192,14,46,15900,8226,1,48,0
7295,0,40,8790,4983,1,24,0
3616,0,35,7980,8593,0,48,1
2052,1,45,6700,4700,0,24,0
3856,10,39,4200,3330,0,36,1
5239,14,37,10690,10230,0,48,0
6115,10,33,15500,10000,0,60,0
3601,8,67,10100,10501,0,48,0
5470,19,51,13738,8738,0,48,0
1323,2,62,16600,14100,0,72,0
2862,1,47,10795,3167,1,24,0
4955,11,33,10208,11125,0,72,0
6398,8,73,22990,22990,0,60,1
1582,19,51,11670,7270,0,36,0
7006,0,19,19900,21650,0,60,1
7164,16,52,4246,4572,0,48,0
6487,6,52,20600,14600,0,60,0
6801,16,41,19248,20047,1,60,0
4147,21,54,4750,4750,0,24,0
5786,1,24,28990,29777,0,72,1
401,1,29,30968,29107,0,72,1
1224,13,58,4401,4607,0,36,0
810,23,52,23450,23450,0,96,1
479,32,54,23990,22990,0,96,0
3501,31,50,11722,12641,0,48,0
52,30,58,35480,16000,0,60,0
4905,2,33,19625,16125,1,60,1
1018,1,22,15885,17642,0,72,1
4766,30,51,15901,15990,0,72,0
6982,31,48,25100,25100,0,72,0
3820,2,45,3488,3488,0,38,0
3357,11,58,2787,2787,0,12,0
903,9,38,10200,9900,0,84,0
6143,19,55,20590,16071,0,84,1
234,12,37,23000,15181,0,60,0
2275,2,42,24500,26201,0,48,1
3309,25,49,9250,10380,0,96,0
2375,1,31,11490,6518,0,24,0
360,25,45,10206,11067,0,60,0
3328,5,51,4000,4433,0,36,0
5074,1,50,23500,12000,0,36,0
6444,2,57,18900,10677,0,72,0
7139,7,40,8675,9425,0,48,0
5568,8,72,5880,6302,0,60,1
3488,6,49,11235,7864,0,48,0
5437,4,51,13000,5800,0,36,0
4691,16,48,10390,9226,0,60,0
3846,21,56,14069,3335,1,36,0
6056,6,47,11636,12539,0,48,0
2138,10,26,12000,12000,0,48,0
2654,4,31,15995,17214,0,48,1
2223,7,39,19340,14254,0,96,0
576,6,28,9450,5794,0,24,0
6366,14,77,13990,8990,0,72,1
5118,10,28,20490,17990,0,60,0
3774,5,44,5500,5900,0,36,0
1281,22,40,6500,6980,0,36,0
2316,5,21,23000,6473,1,24,0
2828,29,46,10000,12039,0,96,0
2819,17,63,18900,15400,1,60,0
2374,25,52,12000,6000,0,48,0
1258,38,59,11600,7182,0,60,0
6182,25,61,17525,19012,0,36,1
3948,0,57,7300,7572,0,72,1
5406,10,34,11825,8311,0,48,0
566,23,46,14139,6650,1,60,0
4410,5,70,5425,5425,0,24,0
3246,3,48,4057,4057,0,24,0
2519,0,25,8000,8938,0,96,1
373,23,55,5205,5590,0,36,0
2578,13,53,5388,5589,0,48,0
4108,24,79,4500,2500,0,24,1
5403,6,69,13300,5300,1,48,0
7305,5,41,6985,6736,0,48,1
4975,4,52,12500,13394,0,48,1
1634,20,57,4600,4812,0,36,0
4395,5,59,9500,9937,0,36,1
5227,2,39,14710,10970,0,60,0
879,5,48,3331,3331,0,36,0
6645,0,33,9500,9500,0,72,1
1963,27,59,8895,9264,0,84,0
4074,21,56,6500,5869,0,60,1
3785,2,25,17410,13400,0,60,1
5979,15,58,15550,16469,0,60,0
5041,0,18,11680,12557,0,36,1
4582,8,37,34829,13829,1,36,0
6966,6,25,7579,8541,0,96,1
1295,24,49,25480,25480,0,60,0
2280,2,52,10500,8992,0,48,0
2727,1,44,11700,12721,0,84,1
3172,1,56,27000,27000,0,72,1
3388,0,21,8990,10224,0,60,1
2880,2,18,14010,16122,0,60,1
6264,0,19,6450,7171,0,84,1
2258,0,28,15545,10487,0,60,0
7068,6,52,14990,6978,0,48,0
6000,5,31,21895,24053,0,72,1
816,35,56,6945,7499,0,36,0
1373,8,68,8990,8990,0,60,1
3684,6,55,12200,6737,0,60,0
48,3,61,9710,9220,0,48,0
2370,3,47,25000,13000,0,36,0
1691,24,53,5130,5130,0,36,0
411,41,70,6200,6200,0,72,1
1315,14,79,4552,4680,0,36,0
4575,24,61,20149,5264,1,36,0
5011,5,54,14780,10780,0,24,0
6209,6,55,10680,7680,0,60,0
4510,11,30,12500,11964,0,60,0
1770,30,58,15949,15949,0,48,0
1371,4,55,10470,4682,0,36,0
2684,29,52,10744,10744,0,48,0
6464,42,59,4538,4538,0,36,0
5850,1,30,15985,18442,0,60,1
3939,7,37,6237,6999,0,96,1
416,26,51,31000,16000,1,48,0
1656,0,63,19000,13000,0,48,0
3379,28,45,22730,23480,0,60,0
3442,0,24,12500,10500,0,60,1
73,1,37,14700,7118,1,24,0
5639,20,54,8000,9175,0,60,1
4458,7,63,14295,15583,0,72,1
1362,16,52,17200,15908,0,60,0
6123,5,22,14000,4000,1,36,0
366,15,49,16771,14771,0,48,0
5903,5,59,14023,14023,0,56,1
3133,58,78,4250,4340,0,12,0
6853,22,53,9700,5200,0,36,0
3066,16,46,20859,15859,0,72,0
5329,36,61,15947,15947,0,36,0
6900,33,55,6990,7658,0,72,0
5345,22,52,15351,7490,1,60,0
679,29,47,4950,1550,1,12,0
4712,4,68,15590,18706,0,84,1
6392,1,48,11990,3990,1,60,1
2846,4,62,24980,26146,0,60,1
1378,14,54,14500,11273,0,48,0
6107,0,50,10990,8329,0,36,0
829,14,41,15500,7500,0,36,0
6901,19,52,9995,9995,0,96,0
102,3,22,6600,2764,1,24,0
5865,18,47,6220,3564,0,36,0
2754,3,29,10984,6426,1,36,0
5692,31,51,13528,10528,0,60,0
7169,2,37,12490,14129,0,60,1
6017,7,67,21250,21250,0,48,0
2792,18,44,10990,12179,0,72,1
5328,30,53,16300,22660,0,96,0
1092,27,52,17000,12696,0,84,0
3782,27,52,9450,9450,0,60,0
4253,23,50,8650,5150,1,60,0
942,27,46,4114,4423,0,36,0
4141,19,40,13000,11500,0,96,0
2918,37,54,5970,5970,0,36,0
4586,24,51,13000,11000,0,60,0
1310,39,58,23990,12253,0,48,0
888,5,61,9990,5915,0,36,0
6635,13,42,20700,10700,0,48,0
3149,25,57,13700,5896,1,24,0
5354,31,58,9068,9960,0,48,0
7053,0,23,11890,12948,0,48,1
5447,1,32,11300,10551,0,96,1
4386,8,37,21990,16990,0,48,0
6097,0,21,17990,19725,0,72,1
3834,0,49,13327,12327,0,60,0
1511,10,74,3860,2663,0,24,0
