,Job tenure,Age,Car price,Default (y)
965,26,42,15250,0
4002,0,66,15078,0
6587,12,53,9850,0
1215,34,57,6700,0
5007,20,48,7990,1
2510,11,75,12020,0
4101,9,48,9130,0
1287,14,79,4932,0
4229,24,45,6790,1
1430,28,46,17100,0
2705,22,57,15151,0
6159,2,68,5990,0
5928,6,68,2948,0
2498,22,48,6825,0
6631,17,49,6150,0
4771,17,40,16140,0
4427,16,54,6502,0
2412,19,43,3990,0
3455,29,46,11240,0
3534,33,63,5600,0
4541,9,70,17750,0
1320,20,58,7641,0
1801,11,51,14330,0
2312,4,68,11100,0
6810,12,60,2900,0
139,15,42,11590,0
2827,15,57,8900,0
7173,7,55,10690,0
5359,34,51,5870,0
157,15,57,26790,0
1009,10,58,24500,0
1971,23,63,19500,0
5269,0,60,3990,0
1467,1,65,19690,0
7297,40,59,39136,0
61,24,58,13500,0
4546,40,56,13500,0
6602,16,41,16300,0
6759,20,43,13620,0
1075,10,51,9767,0
6914,2,67,15118,0
1992,25,54,20450,0
708,5,70,14690,0
3505,27,60,9735,0
3113,3,60,4016,0
439,32,49,12990,0
4847,17,47,5652,0
2093,14,50,10995,0
2319,4,66,22980,0
960,21,54,12628,0
6081,3,64,15115,0
5929,20,51,27750,0
1880,9,50,14351,0
1270,20,48,18390,0
1499,18,57,20990,0
6447,23,45,10380,0
2020,7,81,7590,1
5958,17,49,22200,0
3319,37,54,9985,0
3076,33,55,5990,0
4885,8,73,9500,0
7095,36,65,14990,0
5389,12,55,15495,1
641,15,58,6500,1
5789,26,52,15834,0
6977,2,68,8950,0
7076,14,55,7000,0
3203,11,49,8100,0
4791,26,52,9950,0
3382,17,43,13490,0
4666,24,56,8000,0
5192,14,46,15900,0
5973,17,77,6990,0
3601,8,67,10100,0
6304,7,53,7990,0
5470,19,51,13738,0
6682,4,66,17877,0
1323,2,62,16600,0
6398,8,73,22990,1
1582,19,51,11670,0
7164,16,52,4246,0
4147,21,54,4750,0
1224,13,58,4401,0
810,23,52,23450,1
479,32,54,23990,0
4462,6,77,17600,0
3501,31,50,11722,0
52,30,58,35480,0
4766,30,51,15901,0
6982,31,48,25100,0
7133,2,65,11500,0
3357,11,58,2787,0
6143,19,55,20590,1
3309,25,49,9250,0
360,25,45,10206,0
3328,5,51,4000,0
7047,20,47,26780,0
5568,8,72,5880,1
4852,6,70,22290,0
4691,16,48,10390,0
3846,21,56,14069,0
5216,1,64,6100,0
6366,14,77,13990,1
1281,22,40,6500,0
2828,29,46,10000,0
2819,17,63,18900,0
2374,25,52,12000,0
1258,38,59,11600,0
6182,25,61,17525,1
566,23,46,14139,0
4410,5,70,5425,0
373,23,55,5205,0
2578,13,53,5388,0
4108,24,79,4500,1
5403,6,69,13300,0
1634,20,57,4600,0
4395,5,59,9500,1
1775,26,51,17000,0
1963,27,59,8895,0
7103,3,58,7795,0
4074,21,56,6500,1
5979,15,58,15550,0
2663,0,66,12058,0
4679,15,54,7790,0
1295,24,49,25480,0
816,35,56,6945,0
1373,8,68,8990,1
657,8,60,24400,0
6350,7,70,8209,0
3684,6,55,12200,0
48,3,61,9710,0
1691,24,53,5130,0
411,41,70,6200,1
1315,14,79,4552,0
4575,24,61,20149,0
6209,6,55,10680,0
1770,30,58,15949,0
1371,4,55,10470,0
5111,46,63,7650,0
2684,29,52,10744,0
6464,42,59,4538,0
416,26,51,31000,0
3379,28,45,22730,0
5639,20,54,8000,1
4458,7,63,14295,1
1362,16,52,17200,0
366,15,49,16771,0
5903,5,59,14023,1
3133,58,78,4250,0
6853,22,53,9700,0
2346,4,63,6940,0
3066,16,46,20859,0
5329,36,61,15947,0
6900,33,55,6990,0
2566,27,46,18078,0
5345,22,52,15351,0
679,29,47,4950,0
4712,4,68,15590,1
2846,4,62,24980,1
794,3,64,10700,0
1378,14,54,14500,0
6901,19,52,9995,0
5865,18,47,6220,0
789,9,48,7990,0
5692,31,51,13528,0
6017,7,67,21250,0
2792,18,44,10990,1
3499,5,66,15990,0
5328,30,53,16300,0
1092,27,52,17000,0
3782,27,52,9450,0
4253,23,50,8650,0
942,27,46,4114,0
4141,19,40,13000,0
2918,37,54,5970,0
4586,24,51,13000,0
3518,24,62,7625,0
473,17,47,8300,0
1310,39,58,23990,0
888,5,61,9990,0
5438,5,65,9990,0
3149,25,57,13700,0
5354,31,58,9068,0
1511,10,74,3860,0
3896,9,63,11508,1
852,17,63,21380,0
3575,9,57,9519,1
4129,24,51,4100,0
1321,8,51,9540,0
208,21,46,8914,0
3336,8,54,10490,0
3653,13,58,18900,0
4508,13,48,8839,0
7137,15,54,17500,0
6851,7,70,13690,0
5828,24,72,16490,0
3707,23,42,15547,0
2707,3,61,15700,0
2716,8,73,26839,1
4782,27,70,6850,1
5394,13,58,7900,0
912,8,48,1501,0
4176,18,46,12500,1
6761,8,50,6194,0
4879,13,49,7037,0
1907,32,51,13950,0
1469,23,53,14990,0
4880,25,58,7238,0
4319,25,59,5546,0
2069,16,39,13870,0
5650,6,57,15627,0
450,13,57,6077,1
834,4,70,11974,0
1102,30,43,13500,0
6498,19,45,5390,0
7115,15,71,5990,0
695,30,46,8485,0
2236,3,67,12990,0
3527,16,45,7179,1
2481,23,51,10980,0
5744,15,60,10500,0
4084,29,46,16809,0
1973,9,55,8977,0
4060,16,49,30180,0
1180,24,43,6800,0
4776,10,54,16500,0
2795,7,68,13940,0
6284,15,43,14320,0
4401,15,53,8938,0
5284,6,66,15125,0
5612,8,53,13409,0
2417,11,55,22880,0
4993,24,58,13130,1
7417,20,51,11300,0
6146,32,54,9200,0
5095,12,79,8441,0
131,10,52,715,0
6841,10,67,4475,0
6999,30,58,24554,0
4280,12,58,5098,0
2437,26,52,4835,0
4461,33,58,22000,0
2244,23,43,17990,0
5879,13,42,8983,0
1795,4,67,14950,0
6424,17,53,13980,0
5167,20,52,8676,0
432,3,68,7990,0
1119,14,79,7490,0
6837,2,65,5254,0
2829,12,58,19199,0
1228,2,65,11600,0
5166,32,57,5389,0
5701,5,61,14490,0
3347,21,47,4990,0
2389,18,46,29490,0
1448,18,85,18089,0
604,28,59,6475,1
6478,3,65,12700,0
3023,47,64,25099,0
5482,20,58,13990,0
1242,10,70,11990,0
5638,1,66,16500,0
3879,0,64,4240,1
3538,18,40,9300,0
7045,15,46,16700,1
2942,32,53,6500,0
535,20,40,26000,0
1563,25,48,17900,0
3984,33,50,29800,0
6985,1,65,9985,0
4516,19,57,5566,0
3573,3,56,8000,0
3220,11,79,4990,0
7134,37,59,10490,0
1731,5,70,14200,0
3872,25,45,16950,0
2341,8,62,11900,0
5930,18,47,13500,0
4755,15,49,9990,0
5026,23,53,18881,0
1010,12,57,8490,1
7034,33,49,9818,0
6620,31,55,12669,0
7087,0,61,6500,0
5065,26,65,9190,0
843,26,47,14970,0
4935,3,66,17900,0
3017,11,54,13189,0
4960,40,63,12150,0
1029,18,57,4200,0
7140,8,68,14400,0
4475,18,55,13000,0
5018,23,51,24900,1
2344,0,65,8999,0
3244,19,51,15000,0
2272,15,56,4471,0
756,2,67,13680,0
7424,22,45,7900,0
4701,17,68,5771,0
1049,6,72,11700,0
1621,21,64,4335,0
135,38,55,15800,0
4194,20,53,5990,1
5918,5,58,17500,0
2145,30,47,5308,0
4590,27,56,20000,0
6119,19,42,12780,0
1339,15,74,14090,1
1502,21,48,9898,0
2228,1,60,8880,0
1375,0,61,5653,0
2155,13,60,8990,0
4984,9,48,9425,0
1741,36,54,13140,0
6088,29,45,5173,0
5944,24,54,10850,0
1825,21,60,6234,0
7114,32,48,21300,0
332,48,64,13620,0
3877,18,53,12328,0
5566,22,45,12870,0
7121,8,55,4200,0
1411,8,69,3900,0
570,23,47,9880,0
3413,20,80,13940,0
1151,15,60,13980,0
4266,17,59,10950,0
5551,20,40,8800,0
1099,21,54,27450,0
263,32,59,13700,0
6333,20,63,7000,0
2298,19,54,7719,0
1027,20,56,29480,0
3370,3,68,16990,0
422,20,46,11000,0
3109,19,83,4455,0
1345,14,77,4939,0
6475,7,65,16000,0
5206,3,68,16289,0
1956,11,56,12690,0
1414,27,74,10985,0
3765,9,64,9900,0
1172,7,51,10689,0
6501,5,62,10400,0
5075,20,50,3990,0
3142,2,68,6590,0
3199,29,63,27500,0
674,26,48,11900,0
2803,35,55,23596,1
1595,1,64,13950,0
2235,16,60,6990,0
2414,27,60,19646,0
468,15,49,26290,0
5752,20,37,6495,0
696,13,53,16760,1
4690,24,55,7500,0
2893,21,60,8250,0
6268,15,62,4000,0
5448,27,55,8102,0
1858,22,46,23390,0
6341,3,67,7233,1
4740,17,38,14000,0
6664,23,63,21950,0
911,19,81,6995,0
5993,16,48,13870,0
7262,4,68,4720,1
6721,12,57,5364,0
6536,27,61,14060,1
4075,33,49,13990,0
4914,10,69,8900,0
4761,1,63,16450,0
3509,15,78,11990,0
7404,8,69,4989,0
4035,15,50,14950,1
2952,2,67,8980,0
5469,12,77,17100,0
6445,26,60,18990,0
2925,12,48,8490,0
221,8,54,8999,0
6551,33,60,4400,0
3402,8,51,11130,0
7022,13,51,5480,0
4472,1,67,11215,0
777,9,55,26456,0
3438,13,52,8833,0
6675,5,54,7590,0
4915,10,63,11900,0
7148,11,76,6850,0
288,7,55,11390,0
2732,22,57,2700,0
3469,38,54,18590,0
2008,5,57,15550,0
1452,22,63,9500,0
2091,26,47,7690,0
547,4,67,23900,0
4883,8,73,14914,0
5767,25,51,16750,0
5766,21,41,17305,1
5683,16,46,13100,0
5080,28,54,10205,0
1561,11,76,4405,0
1883,22,50,10450,0
3024,36,58,22487,0
2903,8,55,13750,0
4919,9,55,10990,0
6388,11,61,6630,0
6772,23,49,6990,1
4764,10,50,10590,1
7020,10,49,7450,0
1912,12,76,16490,0
7311,21,47,6412,0
1046,10,70,7190,1
6767,15,58,5037,1
4294,16,76,6885,0
5723,11,46,6900,0
7324,10,58,14980,1
2650,2,68,20950,0
7273,24,45,7250,0
719,11,53,12490,0
6219,8,54,6990,0
3520,25,45,4300,1
5199,28,47,16300,0
4800,12,61,10030,0
2836,4,62,21500,0
6329,35,54,11000,0
5835,6,59,7500,0
5816,26,45,16695,0
4046,19,50,21200,0
5086,27,51,20467,0
2119,26,59,11990,0
1064,13,57,6900,0
245,14,60,11385,0
4664,18,56,7449,0
7228,26,47,8900,0
3148,25,53,3700,0
6144,7,72,6900,1
5593,15,61,9890,0
6252,12,48,4440,0
2178,10,63,19890,1
4416,8,50,11990,0
3758,11,76,5552,0
6911,3,60,6849,0
174,3,84,10800,0
3414,35,52,9500,0
322,7,57,15990,1
1506,14,52,3990,0
812,33,50,9295,0
501,14,59,6000,0
2941,5,55,8550,0
3077,9,61,7700,0
70,13,73,14950,0
2542,43,60,11990,0
1195,6,73,12500,0
2087,21,77,7600,1
2642,27,51,17900,0
779,11,74,10496,1
7158,36,55,4683,0
4190,14,74,7980,0
6429,21,57,3486,1
4938,12,72,7780,0
4996,14,46,12790,0
5087,15,60,11999,0
2937,23,42,7490,0
4829,19,59,13990,1
7264,23,83,6420,1
4624,14,78,15490,0
5241,10,51,18500,0
2932,12,55,11890,0
6077,4,58,11504,0
6778,7,66,11950,0
1714,15,41,9800,0
2778,26,47,16490,0
3358,27,57,17790,0
2227,7,54,5031,0
1350,10,73,8150,0
4574,15,53,11895,0
5330,5,56,15695,0
5272,5,69,1501,0
2788,34,52,15550,0
326,8,50,6930,0
4532,4,64,12990,0
2677,25,45,8500,0
2342,15,46,6095,0
5617,9,57,3260,0
6808,21,54,10989,0
5259,6,53,6298,0
6899,8,73,4190,0
573,17,74,24990,0
4550,31,66,13550,0
801,9,49,6479,0
4482,11,48,14380,0
5006,28,60,13209,0
425,30,55,8900,0
2973,28,50,16490,1
3045,15,55,7890,1
4340,13,58,3290,0
4842,7,52,11500,0
4015,33,57,5682,0
4789,16,40,3000,0
5107,8,55,11821,0
2005,3,63,9990,0
6978,36,56,4749,0
3755,34,52,25750,0
5058,45,62,7500,1
2673,30,54,17940,0
4102,14,78,12100,1
3441,5,57,8800,0
6008,16,42,19910,0
2845,17,48,11800,0
3838,28,46,8870,0
350,19,41,19921,0
5781,6,53,6000,0
4511,13,53,16000,0
471,0,66,10400,0
5407,15,55,14890,1
3312,8,57,12400,0
6391,17,51,11576,0
1783,5,58,20660,0
5422,6,60,10900,0
739,1,62,3776,0
3482,19,46,23950,0
3960,11,51,7400,0
1298,9,50,13090,0
949,23,44,12490,0
1423,25,51,6860,0
3625,16,47,19300,0
1397,21,45,15490,1
7024,4,69,14320,0
7080,20,45,9338,0
3563,25,51,19910,0
712,12,73,12688,0
3050,16,37,7430,0
652,27,61,1500,0
6025,27,53,11975,0
2225,18,51,16365,0
5818,23,54,13500,0
2229,1,60,8990,1
831,16,55,9300,0
6784,32,59,13900,0
5862,8,71,15980,1
4647,18,41,7490,0
1383,10,59,6795,0
3869,12,56,5000,0
6339,16,46,14790,0
7392,39,62,15995,0
763,15,49,15000,0
2031,6,64,3477,0
4890,44,61,3490,0
4963,43,64,5666,0
3550,0,63,11300,0
724,2,65,4000,0
7129,22,65,9596,0
3317,23,55,6553,0
3101,37,59,6630,0
90,19,71,14850,0
3235,18,50,22680,1
5969,19,49,11062,0
7422,10,64,11990,0
6405,37,54,7950,0
2099,12,48,14500,0
4224,2,68,10408,0
1737,13,53,12960,0
5484,7,57,20550,0
4796,18,65,17290,0
7227,32,62,3629,0
647,14,55,20400,0
2291,30,56,12700,0
3822,21,80,10500,1
6192,18,35,7500,0
3071,16,79,12950,0
1164,7,63,26000,0
3492,35,56,9990,0
3238,8,60,7990,0
2586,22,77,11800,0
2574,22,61,8970,0
3731,18,56,6990,1
7013,3,68,17950,1
57,28,52,22990,0
6555,12,72,7950,0
4457,20,49,7990,0
3971,26,59,15500,0
1615,0,60,6637,0
3027,40,57,7106,0
4982,21,39,16500,0
503,14,77,10046,1
2515,18,56,15975,0
4086,5,70,15740,0
5452,5,65,3990,1
4650,17,62,5237,0
5833,0,63,14990,0
7242,35,59,26470,0
6212,16,43,15724,0
3689,11,75,18300,1
5014,34,51,3075,0
4483,7,55,15100,0
642,11,67,19190,0
3105,25,51,5149,0
2968,8,71,20540,0
2338,11,53,14440,0
5686,23,58,8870,0
6208,40,59,4990,0
3204,2,58,9290,0
4623,13,52,10490,0
6598,16,76,8630,0
3997,9,51,4990,1
7232,15,66,8990,0
1317,12,71,5000,0
1461,31,51,7950,1
4925,42,59,16110,0
2587,27,53,8932,0
3002,9,54,5812,0
6962,26,61,11680,0
2369,36,60,25890,0
2764,7,56,2373,0
6282,18,43,19990,1
314,5,58,18950,0
3025,22,43,26014,1
7418,26,49,19800,0
1870,15,75,6660,1
2850,22,54,11591,0
346,13,53,12500,0
4786,12,53,17120,0
3494,37,58,4450,0
947,4,69,14450,0
7393,17,46,11400,0
31,9,71,22830,0
5312,12,73,10890,0
490,10,55,21189,0
5913,10,56,7950,0
2218,21,56,7300,0
6606,4,68,4342,0
897,3,66,16090,0
4237,9,52,6990,0
6937,24,62,22990,0
1093,21,40,7100,0
3799,17,53,13800,0
4038,2,63,13990,1
7364,9,46,5712,1
6198,26,48,1700,0
6927,4,55,9490,0
5678,26,53,15290,0
435,31,47,11400,0
4447,27,56,5490,0
1683,18,47,5582,0
434,23,45,11850,0
5094,27,49,16500,0
2339,19,51,6778,0
7216,24,53,22300,0
5965,40,57,10500,0
92,23,85,10000,0
2308,19,51,15995,0
3206,4,57,9000,0
3786,20,79,15958,0
3377,31,54,13970,0
5916,25,59,6070,0
5400,13,82,13480,1
1897,8,73,12650,1
2217,5,64,5000,0
5156,21,43,10780,0
864,15,56,16990,0
4758,21,57,5490,1
3849,15,48,10000,0
1972,26,49,9490,0
2943,24,52,7900,0
957,20,53,26980,0
3352,19,43,7922,0
5255,23,49,24100,0
1558,41,58,8334,0
6283,13,54,25500,0
7361,15,47,9700,0
278,15,78,4365,0
6483,39,56,19987,0
5863,9,74,12500,0
2518,0,64,8248,0
532,13,58,4990,0
3221,19,78,13950,0
4118,23,58,18142,0
4974,23,88,4000,0
6099,24,45,7991,0
3753,41,59,19630,0
1893,20,66,13385,0
601,16,79,10489,0
6520,4,67,8575,0
6163,14,52,9000,0
5246,11,50,20780,0
7380,24,62,9000,0
3121,17,45,13794,1
865,23,49,19990,0
7191,20,48,22250,0
6871,8,52,10125,0
931,11,72,13819,0
86,2,66,9500,1
3443,15,47,9670,0
6412,12,51,6147,0
718,23,45,18280,0
3165,36,61,13000,1
5771,3,68,7069,0
5516,25,46,13500,0
2985,5,55,4400,0
1676,10,66,8900,0
6506,18,51,15180,0
5703,15,71,19400,0
2173,13,49,4700,0
5060,34,55,17500,0
3318,14,59,4790,0
3942,23,50,22670,0
452,38,60,5534,0
4333,10,73,11590,0
4270,10,49,11900,0
1844,16,47,9985,0
5646,17,81,6589,0
6128,5,53,4250,0
4239,10,74,8999,0
265,16,54,11990,0
1039,28,49,4800,1
1471,14,51,17272,0
6450,16,36,5300,0
3893,19,44,9380,0
1055,3,58,5628,1
24,10,61,8600,0
4950,7,50,6269,0
2028,14,51,10390,0
1609,19,48,23665,0
2451,9,52,6850,0
254,22,57,4472,0
848,2,66,5990,0
486,11,57,15800,0
786,5,66,29990,0
3914,15,53,9192,0
1662,14,61,14900,0
4378,41,61,15990,0
958,26,55,17999,0
3035,9,69,5950,0
926,3,59,7500,0
6847,17,42,10905,0
5049,36,52,4322,0
2741,15,58,9850,0
2034,7,61,12000,0
3647,20,84,16280,0
2199,28,51,16000,0
994,4,62,9300,0
1583,20,75,6500,0
3080,35,61,7439,0
5792,21,45,13500,0
4520,25,52,13890,0
6161,10,59,14750,0
5397,16,52,19800,0
2525,10,69,16613,0
1346,6,69,18690,0
4536,6,59,9400,0
1144,27,46,6244,0
4989,15,64,19550,0
2080,20,55,21500,0
463,23,57,3590,0
598,19,50,5690,0
6790,2,59,5349,0
1755,27,51,6040,0
6925,22,62,3399,0
6714,35,56,11890,0
5500,32,48,14790,0
6647,20,59,16400,0
7250,2,56,4650,0
5933,27,62,11000,0
3159,14,42,9200,0
7414,19,37,15550,0
655,4,55,5550,0
240,22,40,23049,0
63,0,65,11490,0
2966,22,56,12800,0
3332,16,54,7700,0
2894,9,54,14500,0
1736,17,37,9096,0
5808,16,46,6300,0
7084,37,55,23622,0
4304,30,48,5900,0
3608,20,59,6540,0
5194,23,39,12650,0
1057,5,64,5199,1
3169,26,56,13050,1
5787,23,40,20900,0
1881,16,43,16995,0
7146,10,56,19880,0
2802,9,67,9485,0
2763,6,53,9850,0
1509,16,55,23250,0
4316,2,67,13000,0
6280,35,68,10690,0
6262,19,43,4985,0
1565,25,52,8590,1
2405,15,41,4401,0
4696,35,65,7500,0
3801,13,65,6100,0
3722,14,67,12030,1
6480,25,50,13600,1
6858,2,67,9742,0
1572,20,50,20990,0
5655,8,67,18800,1
1505,20,74,4505,0
37,25,58,18538,0
5963,6,55,5990,0
4812,1,65,5800,0
1788,15,51,17490,0
2164,20,45,7990,0
2890,26,45,15990,0
7368,9,55,10760,0
3006,24,55,14990,0
1752,35,52,14990,1
4927,15,74,12500,0
293,34,53,20245,0
6345,16,46,17900,0
3209,25,49,14164,0
4738,0,64,4500,1
5790,17,75,20450,0
2252,28,55,19360,0
1877,26,55,22789,0
2115,30,57,6900,0
4649,39,60,19411,0
1940,27,50,7185,0
887,7,69,10990,0
1530,13,56,10000,0
7004,20,53,17500,0
7288,6,59,13880,0
1869,19,51,18990,0
2873,23,79,6353,0
730,24,53,15990,0
19,44,60,13800,0
4076,2,63,20590,0
4368,9,68,4126,0
5876,23,41,6490,1
6226,30,47,13690,0
4189,17,77,19500,0
3308,38,57,11110,0
1354,48,64,7955,1
6073,11,77,17460,0
6336,29,48,6500,0
6773,23,58,15775,0
2908,40,62,7617,0
113,26,52,10990,0
2655,23,48,15470,0
2478,17,59,4300,0
3008,6,57,7790,0
2678,17,60,11900,0
4174,3,66,9873,0
7026,4,66,25950,0
7193,13,44,9000,0
5338,12,58,20290,0
548,18,40,6300,0
