,Job tenure,Age,Car price,Funding amount,Down payment,Default (y)
2609,8,51,24740,16740,0,0
6058,10,44,15990,15990,0,0
4284,8,52,24711,28946,0,1
59,28,48,29139,9139,1,0
5921,11,74,18740,18838,0,1
3994,4,59,16950,15816,0,0
4092,1,25,13210,11900,0,0
4502,1,26,17950,16950,0,0
2271,0,41,13425,13425,0,1
3450,2,30,24500,14500,0,0
4870,3,23,16109,16109,0,0
2700,2,57,27280,18900,0,0
7201,4,33,18390,11146,0,0
6365,1,38,14980,17142,0,1
6140,5,57,15990,15318,0,0
3905,2,65,16900,16847,0,0
498,1,35,11850,11850,0,1
1340,21,38,23580,13580,0,0
1569,1,21,25490,27214,0,0
937,4,50,15800,12000,0,0
4995,0,39,9579,12756,0,0
5564,0,49,12190,12190,0,0
5230,7,26,14240,14240,0,0
2517,1,39,11950,12100,0,0
7221,0,44,22000,23603,0,0
2656,0,31,14290,17753,0,1
5440,0,26,9600,8400,0,0
3749,4,30,9970,11025,0,1
5623,19,39,22930,22930,0,0
2685,1,30,15900,15230,0,0
3366,2,37,13402,11146,1,0
192,36,56,21400,15925,0,0
62,4,23,19890,16747,0,0
1426,4,59,28180,19458,0,0
3306,23,50,21260,21900,0,0
4434,8,24,13990,15958,0,1
589,0,59,20500,21582,0,0
2303,1,21,13890,16162,0,0
7200,14,38,14950,16950,0,0
5356,13,42,20289,20289,0,0
6638,3,31,10990,9490,0,0
5798,1,44,16990,16990,0,0
2288,2,35,14420,13247,0,0
32,4,53,14900,13500,0,0
4726,23,49,21989,21989,0,0
1111,6,47,17300,13300,0,0
5054,3,25,14990,12510,0,0
1538,17,48,22300,21300,0,0
1575,5,70,20830,14184,0,0
2633,2,25,34500,29207,0,1
96,5,41,12968,12968,0,0
1129,2,66,18198,10798,0,0
1979,0,20,11365,12225,0,1
7290,8,39,12510,13200,0,0
339,0,21,8684,9259,0,1
6321,0,39,21490,19290,0,0
3153,3,52,16400,12911,0,0
5970,0,32,13600,15329,0,1
7428,6,32,12300,11300,0,0
2726,0,50,14985,16559,0,0
626,5,21,18800,20539,0,0
1429,18,49,20990,19757,0,0
1234,1,39,17990,20426,0,1
2687,0,24,26490,29023,0,1
6912,4,27,17590,15719,0,0
676,5,39,19300,8500,1,0
1337,11,48,19479,18979,0,0
194,2,29,15000,14724,0,0
3245,10,42,14525,14536,0,0
3168,29,56,20000,19712,0,0
841,1,26,13064,14525,0,0
3089,2,35,11200,12433,0,0
2572,0,27,16140,12940,0,0
3655,17,54,18889,18889,0,1
4240,5,34,20980,15780,0,0
2103,6,47,15900,13300,0,0
6870,2,34,25877,25877,0,1
6189,10,66,30970,19970,0,0
5454,37,56,27500,27500,0,0
3021,3,29,13830,10866,0,0
142,0,38,24880,27364,0,1
2126,33,51,19990,22863,0,0
5168,7,55,13750,14551,0,1
2575,0,64,23175,20865,0,1
3475,0,29,13116,10175,0,0
6048,1,22,10900,11934,0,0
6942,1,36,15990,18850,0,0
4291,2,26,20100,16100,0,0
4731,2,31,14115,13275,0,0
4087,1,26,15300,17038,0,0
4698,2,28,15890,15890,0,0
747,1,22,25658,25772,0,1
1261,2,35,30070,27441,0,1
6134,2,25,8990,9748,0,0
6751,1,40,14500,16131,0,0
6995,3,35,11990,13005,0,1
6651,12,44,31000,25000,0,0
5636,1,31,12950,11435,0,0
2559,1,25,20990,23877,0,1
7222,2,39,12990,12499,0,0
7258,2,25,27750,26449,0,1
4730,14,44,24390,7690,1,0
5196,9,30,15990,14143,0,0
4105,5,30,16900,12148,0,0
2619,1,35,12849,12165,0,0
1094,0,27,12200,12200,0,0
3000,4,30,16900,20346,0,0
303,0,23,25280,20280,0,1
93,9,34,19990,14190,0,0
752,7,40,10990,13288,0,0
4629,5,29,12490,13871,0,0
1554,3,54,18930,18930,0,1
2036,7,47,14800,13649,0,0
3651,0,26,14790,9437,0,1
2476,10,34,16900,16990,0,1
4751,0,35,14890,9990,0,0
4987,0,25,11550,12537,0,0
2910,13,39,13900,15076,0,0
585,1,23,12990,12623,0,1
157,15,57,26790,15790,0,0
7421,8,44,17980,18719,0,0
3262,1,21,8990,9768,0,0
1009,10,58,24500,16329,0,0
1971,23,63,19500,15477,0,0
6654,2,26,11400,9237,0,0
1467,1,65,19690,9820,1,0
465,1,41,20950,21800,0,0
7297,40,59,39136,21650,1,0
1886,0,28,11500,11500,0,0
1649,2,42,13870,15366,0,0
6602,16,41,16300,13800,0,0
668,1,47,12550,13099,0,0
3298,0,35,15000,15000,0,1
5195,6,41,13750,13750,0,0
2906,0,18,12800,13908,0,1
1992,25,54,20450,16837,0,0
3718,6,31,14300,13093,0,0
4441,0,45,11990,11990,0,0
3862,0,28,9950,9550,0,1
3949,3,22,13333,11747,0,0
866,0,29,16600,6600,1,0
847,0,25,26000,29175,0,1
4055,2,30,11387,11526,0,0
4442,6,25,13990,13990,0,0
2319,4,66,22980,11680,0,0
2683,2,21,22040,25333,0,1
1894,1,27,14933,13499,0,0
2533,2,54,18244,10241,0,0
4695,8,35,12000,12000,0,0
103,0,41,16379,15374,0,1
861,2,24,15340,16688,0,1
5929,20,51,27750,12950,0,0
3049,20,36,24990,24990,0,0
4487,3,39,21475,20327,0,0
1880,9,50,14351,14351,1,0
1270,20,48,18390,15572,0,0
1499,18,57,20990,15923,0,0
3559,2,20,13990,15289,0,1
480,4,36,10990,10990,0,0
3698,5,24,19100,17990,0,0
5958,17,49,22200,18099,0,0
3733,1,48,12880,15573,0,0
91,2,56,22129,17629,0,0
7354,1,23,15500,15723,0,0
1666,0,39,12990,14837,0,0
979,2,53,18790,10542,0,0
944,6,56,24100,14600,0,0
7259,10,42,19980,15180,0,0
4279,7,45,16950,16950,0,0
5789,26,52,15834,17231,0,0
3011,1,53,23005,23122,0,1
5531,0,42,13600,9100,0,0
6074,6,35,20111,20290,0,0
7204,6,51,15990,10404,0,0
2318,3,20,8450,8874,0,1
1393,4,55,19950,21988,0,0
737,2,63,34700,24700,0,0
1079,2,34,11715,11840,0,0
6115,10,33,15500,10000,0,0
6682,4,66,17877,15516,0,0
1323,2,62,16600,14100,0,0
6398,8,73,22990,22990,0,1
7006,0,19,19900,21650,0,1
300,2,42,11990,17726,0,0
633,5,24,10850,11957,0,0
6487,6,52,20600,14600,0,0
6801,16,41,19248,20047,1,0
5786,1,24,28990,29777,0,1
401,1,29,30968,29107,0,1
810,23,52,23450,23450,0,1
12,2,48,13400,11800,0,0
479,32,54,23990,22990,0,0
4462,6,77,17600,17600,0,0
52,30,58,35480,16000,0,0
4905,2,33,19625,16125,1,1
1018,1,22,15885,17642,0,1
5775,7,47,28190,19876,0,0
6982,31,48,25100,25100,0,0
238,2,49,21145,25455,0,0
5413,10,46,34960,28179,0,0
6143,19,55,20590,16071,0,1
234,12,37,23000,15181,0,0
5430,3,31,20990,22844,0,0
2275,2,42,24500,26201,0,1
7203,7,55,21524,21524,0,0
5074,1,50,23500,12000,0,0
7047,20,47,26780,26780,0,0
5025,2,33,23500,23500,0,0
6444,2,57,18900,10677,0,0
1434,0,38,12028,12028,0,0
6240,8,33,13750,15154,0,0
3166,2,47,17975,16412,0,0
4852,6,70,22290,17498,0,0
453,2,30,32000,27000,0,0
2144,3,53,13350,12970,0,0
2138,10,26,12000,12000,0,0
2654,4,31,15995,17214,0,1
2223,7,39,19340,14254,0,0
5118,10,28,20490,17990,0,0
2316,5,21,23000,6473,1,0
6723,5,31,19990,24490,0,0
4816,0,33,10900,10995,0,0
2170,10,40,20795,22634,0,0
2819,17,63,18900,15400,1,0
7238,9,44,19800,18776,0,0
6182,25,61,17525,19012,0,1
3254,5,33,21920,23354,0,0
2960,1,38,10890,10841,0,0
5227,2,39,14710,10970,0,0
1775,26,51,17000,19275,0,0
6693,1,42,11990,11872,0,0
3785,2,25,17410,13400,0,1
5979,15,58,15550,16469,0,0
5041,0,18,11680,12557,0,1
5901,5,23,10450,10841,0,0
4582,8,37,34829,13829,1,0
334,0,39,13990,13990,0,0
1295,24,49,25480,25480,0,0
4149,0,49,16450,16450,0,0
2727,1,44,11700,12721,0,1
3172,1,56,27000,27000,0,1
3388,0,21,8990,10224,0,1
2880,2,18,14010,16122,0,1
5960,2,32,16260,16260,0,0
2258,0,28,15545,10487,0,0
6000,5,31,21895,24053,0,1
2648,1,28,23800,12900,0,0
5537,0,26,19886,23192,0,0
657,8,60,24400,19100,1,0
2370,3,47,25000,13000,0,0
3535,0,22,14150,11038,0,0
1330,2,37,16110,18266,0,0
5302,0,29,19414,22300,0,0
4510,11,30,12500,11964,0,0
5850,1,30,15985,18442,0,1
416,26,51,31000,16000,1,0
1656,0,63,19000,13000,0,0
3379,28,45,22730,23480,0,0
6726,1,21,25990,25990,0,0
3442,0,24,12500,10500,0,1
73,1,37,14700,7118,1,0
1362,16,52,17200,15908,0,0
366,15,49,16771,14771,0,0
3350,2,55,13900,15251,0,0
5201,3,34,20500,16590,0,0
1688,2,48,16000,15500,0,0
5696,6,35,17000,18834,0,0
4979,2,23,11820,10633,0,0
3066,16,46,20859,15859,0,0
2480,0,56,13462,14344,0,0
2566,27,46,18078,19959,0,0
2984,3,48,14777,16998,0,0
4712,4,68,15590,18706,0,1
2846,4,62,24980,26146,0,1
3194,16,33,13490,14111,0,0
5519,0,26,10001,10001,0,0
7169,2,37,12490,14129,0,1
6017,7,67,21250,21250,0,0
4456,0,21,18300,19359,0,0
3499,5,66,15990,19138,0,0
5328,30,53,16300,22660,0,0
6635,13,42,20700,10700,0,0
7053,0,23,11890,12948,0,1
5447,1,32,11300,10551,0,1
6856,6,42,12900,13990,0,0
4386,8,37,21990,16990,0,0
6097,0,21,17990,19725,0,1
3834,0,49,13327,12327,0,0
6597,1,51,16290,9557,1,0
2351,5,36,13684,13927,0,0
4325,2,33,15990,17661,0,1
852,17,63,21380,21380,0,0
178,6,29,35010,29010,0,0
5451,13,36,12639,12639,0,0
1599,12,42,13600,13093,0,0
292,0,32,14900,10900,0,0
4301,0,45,22390,22390,0,1
2858,5,49,15700,14950,0,0
3381,1,23,19990,19990,0,1
2707,3,61,15700,15700,0,0
2716,8,73,26839,16839,0,1
210,12,32,20016,23250,0,1
3857,0,29,22000,24031,0,1
2807,5,26,10200,12113,0,0
2884,4,38,21180,20142,0,0
2638,4,38,19100,14068,0,0
122,5,31,16110,15870,1,0
5570,0,19,11900,11900,0,1
3429,5,22,10500,8149,0,1
2004,17,35,19900,14900,0,0
2069,16,39,13870,12752,0,0
2776,7,48,21383,23432,0,0
5650,6,57,15627,14007,0,0
4322,0,22,9990,11385,0,1
2617,12,33,15450,8350,0,0
1860,2,19,13990,14237,0,1
183,0,34,28650,26973,0,1
6306,6,34,20081,22174,0,0
802,2,40,26490,29146,0,1
6805,2,21,24800,26756,0,1
1424,18,36,16190,17829,0,0
410,6,29,19890,19890,0,0
637,0,44,11950,11950,0,0
4561,0,33,9500,10562,0,1
5521,4,27,10970,10290,0,0
101,1,40,15990,14990,0,1
3885,10,32,17910,13410,0,0
2302,9,38,19880,13880,0,0
3668,0,25,21495,21495,0,0
380,0,19,9999,10882,0,1
4084,29,46,16809,16939,0,0
4060,16,49,30180,24301,0,0
4776,10,54,16500,15212,0,0
6284,15,43,14320,13510,0,0
4907,1,45,22145,22145,0,1
4787,4,44,16000,16000,0,0
2600,1,21,16890,6890,1,0
5936,2,37,17890,16790,0,1
5612,8,53,13409,15271,0,0
2417,11,55,22880,22656,0,0
705,1,19,23990,24105,0,1
4553,2,29,12800,14209,0,1
6727,2,34,17589,18379,0,0
7403,10,41,29000,25500,0,0
6957,2,43,19340,19340,0,0
982,4,36,17140,15940,0,0
2045,0,26,9325,9450,0,0
6753,6,28,11318,12367,0,0
4098,1,41,12500,13965,0,1
330,10,39,14000,12000,0,0
1566,2,57,13744,14698,0,0
4537,2,41,22329,26658,0,0
4461,33,58,22000,22000,0,0
2244,23,43,17990,12434,0,0
6868,2,64,25800,21391,0,0
2829,12,58,19199,20327,0,0
381,2,62,28930,26930,0,1
413,3,21,8990,8478,0,0
6733,6,32,11970,11005,0,0
1109,4,47,14950,12950,0,0
272,6,28,14690,14690,0,0
3459,1,23,9900,9900,0,1
1813,6,43,12300,12276,0,0
5701,5,61,14490,14490,0,0
4424,2,33,22500,22500,0,1
3323,4,26,20770,20658,0,1
2438,2,19,26980,29191,0,1
1988,3,35,11250,11452,0,0
2879,1,28,20039,21680,0,0
2389,18,46,29490,25813,0,0
6089,8,32,33500,27500,0,0
5888,5,36,24783,27112,0,0
4381,0,30,20950,22352,0,0
3023,47,64,25099,19099,0,0
5008,10,33,19990,8717,0,0
2750,6,33,13000,12510,0,1
2181,4,40,17400,10200,0,0
5638,1,66,16500,18576,0,0
2531,3,37,20922,24245,0,0
607,8,33,23220,18495,0,0
7045,15,46,16700,11828,0,1
1427,2,27,14250,12050,0,0
4714,2,46,14080,15272,0,1
251,3,36,18470,20098,0,0
2775,0,63,18339,15639,0,0
535,20,40,26000,11000,1,0
1563,25,48,17900,15041,0,0
1862,3,26,24962,24962,0,1
4295,1,26,11390,12331,0,0
3984,33,50,29800,27300,0,0
7359,1,35,10522,11363,0,1
693,1,35,10900,9900,0,0
6699,2,26,17650,15150,0,0
3481,3,26,24800,24800,0,0
1924,8,41,16500,10500,0,0
4559,1,44,13000,11952,0,1
2470,2,43,17900,12000,0,0
1251,3,27,19390,17360,0,0
5082,0,42,14500,12384,0,0
4913,0,21,10985,11487,0,1
7289,4,64,35200,25200,0,0
333,0,34,14160,14160,0,0
5631,9,40,22900,24093,0,0
4063,9,40,16085,11085,0,0
4168,12,29,28900,27937,0,0
4634,2,60,17067,15154,1,0
3571,1,39,14600,14600,0,1
3558,4,60,25900,21854,0,1
5026,23,53,18881,17988,0,0
50,1,19,18990,20450,0,1
3574,11,47,25870,26790,0,0
643,0,59,16125,17111,0,1
3058,0,23,12600,13705,0,0
4935,3,66,17900,19003,0,0
2780,2,22,26000,19122,0,0
4119,0,37,25400,28502,0,1
5018,23,51,24900,26983,0,1
5525,1,58,18390,19471,0,0
6637,6,31,13070,11070,0,0
2185,9,29,33670,25670,1,0
6393,6,30,13992,15090,0,0
6590,16,35,16990,8500,0,0
4694,1,44,29900,28250,0,0
5687,7,51,14490,14919,0,1
6889,2,34,16480,15480,0,1
3660,0,48,13000,14116,0,0
5471,0,39,17480,13480,0,0
5220,4,21,12800,13986,0,0
279,5,32,11490,11490,0,0
3096,1,51,15990,15990,0,0
5120,0,34,15714,15003,0,1
700,0,53,13590,13490,0,0
4614,1,42,18400,17698,0,0
2500,0,47,26800,19300,0,0
5918,5,58,17500,11200,0,0
3692,3,36,15890,17035,0,1
4590,27,56,20000,18000,0,0
807,1,24,11289,11812,0,0
107,0,45,16300,16300,0,0
2905,2,31,26877,22873,0,0
636,0,19,19248,19248,0,0
2833,17,33,24190,17370,0,0
1732,4,40,18087,18087,0,1
1450,2,56,15560,15250,0,0
6553,1,36,13490,14983,0,1
487,3,43,18850,8478,1,0
4172,2,20,13195,16129,0,1
6364,3,20,10490,9076,0,0
7114,32,48,21300,16300,0,0
2314,0,21,8500,8924,0,0
1305,16,33,21980,5480,1,0
1739,2,24,20990,17490,0,0
6649,7,30,13300,13544,0,0
1417,7,44,22440,24281,0,0
2706,1,27,15185,12185,0,0
1099,21,54,27450,21750,0,0
1684,17,44,30809,24499,0,1
1027,20,56,29480,27480,0,0
6864,3,57,14990,15749,0,0
2329,0,23,13400,14430,0,0
6475,7,65,16000,16000,0,0
5206,3,68,16289,14789,0,0
5825,2,22,12150,12512,0,0
6924,1,49,28365,27800,0,0
3487,4,40,20990,20990,0,1
817,0,21,20500,20500,0,1
494,0,56,14990,14990,0,1
1966,0,23,17495,17495,0,0
4534,13,32,14490,12490,0,0
6258,3,26,14030,14598,0,1
1805,1,19,9900,9490,0,1
4991,4,49,12840,12637,0,0
3199,29,63,27500,10500,1,0
1905,4,34,16750,15050,0,0
4379,1,44,12487,11429,0,0
3551,1,44,11770,11735,0,0
1359,4,33,16989,14589,0,0
1473,1,46,17611,17611,0,0
7110,2,26,12990,6990,0,0
149,8,32,14640,8122,1,0
1922,4,55,18620,21884,0,0
2414,27,60,19646,21324,0,0
468,15,49,26290,14590,0,0
696,13,53,16760,17924,0,1
5487,0,26,12000,12000,0,0
5802,6,29,34990,27306,0,0
7420,0,36,13900,13900,0,0
5477,3,19,18990,20281,0,1
896,0,51,15500,15500,0,0
179,1,20,16790,18821,0,1
6201,2,38,25200,12700,0,0
1858,22,46,23390,11869,1,0
4740,17,38,14000,15895,0,0
6664,23,63,21950,17352,0,0
4071,1,24,25500,25810,0,1
4761,1,63,16450,18180,0,0
4035,15,50,14950,14950,0,1
3184,2,39,18219,18219,0,0
4747,3,30,12790,9630,0,0
6445,26,60,18990,16759,0,0
7113,7,43,11990,13186,0,0
2640,3,39,12570,12396,0,0
5857,18,36,14550,15828,0,1
777,9,55,26456,21569,0,0
3886,1,52,16800,17941,0,0
4881,2,34,21950,21950,0,0
1832,2,30,14700,17351,0,1
6454,0,23,15990,15579,0,1
2008,5,57,15550,17733,0,0
5140,1,58,15740,13280,0,0
547,4,67,23900,12900,0,0
5704,1,34,17500,17500,0,0
2114,0,31,17000,15641,0,0
6147,0,25,10990,10100,0,0
5766,21,41,17305,20789,0,1
5738,1,42,18485,18585,0,0
2348,1,18,17964,17797,0,1
2548,0,25,12105,13167,0,0
2970,4,27,14990,14600,0,0
3010,4,51,15450,11575,0,0
6987,0,19,9000,10155,0,0
857,0,22,13950,15914,0,1
3341,1,37,24900,26597,0,0
2487,0,22,9600,8600,0,0
5594,3,40,12990,12025,0,0
426,5,24,9490,9768,0,0
1871,0,26,11700,6108,0,0
429,0,38,11199,11510,0,0
5344,7,52,14200,15727,0,1
5905,1,35,13730,15520,0,1
877,8,26,18200,15200,0,0
1496,6,31,14590,14590,0,0
6576,15,36,15040,18176,1,1
2222,0,46,15950,12760,0,0
7347,1,35,21400,7680,1,0
7324,10,58,14980,14980,0,1
5579,4,54,15600,14600,0,0
2650,2,68,20950,16950,0,0
2306,4,62,34460,26960,0,0
5199,28,47,16300,17304,0,0
2836,4,62,21500,21500,0,0
1106,1,51,18747,19537,0,0
6601,0,31,11729,10573,0,0
2384,9,26,21000,18257,0,0
3761,0,33,18990,18990,0,1
1851,1,21,18500,19363,0,1
977,6,24,12025,18473,0,0
491,10,31,21593,11571,1,0
2251,5,27,23999,23999,0,1
2178,10,63,19890,21137,0,1
4988,1,38,31000,22000,0,1
945,7,59,32875,21252,1,1
322,7,57,15990,17518,0,1
5252,1,36,13250,12423,0,0
6152,3,26,14990,16431,0,1
195,0,44,11389,13738,0,0
3422,5,29,19293,23164,0,1
4706,2,39,13701,14958,0,1
5160,6,25,19280,18608,0,0
1297,0,31,12400,12400,0,0
1158,9,40,13990,12002,0,0
4920,0,40,15990,15990,0,0
1850,0,19,8700,8200,0,0
4645,2,51,14365,11773,0,0
4949,1,32,10040,10040,0,0
3064,5,22,20000,18334,0,0
3513,3,27,11200,11200,0,1
2876,0,38,19990,22738,0,1
5241,10,51,18500,18689,0,0
4942,3,27,19015,21407,1,0
274,9,49,19400,16900,0,0
4250,1,20,13000,13533,0,0
2778,26,47,16490,16490,0,0
3358,27,57,17790,19174,0,0
3433,4,48,13680,13691,0,1
4222,1,24,17970,21228,0,1
5846,5,48,21500,7000,1,0
3686,2,20,27500,27000,0,1
5330,5,56,15695,16911,0,0
5597,4,48,14990,14890,0,0
2016,3,31,14041,7137,1,0
573,17,74,24990,16990,0,0
5100,6,35,17350,17500,0,1
4482,11,48,14380,14380,0,0
2245,8,28,24900,12100,0,0
2973,28,50,16490,19178,0,1
2431,4,23,17090,18688,0,0
746,1,23,24890,23890,0,1
1512,0,25,16750,18434,0,0
5409,1,23,13000,13000,0,0
7229,10,51,26999,19897,0,0
5735,18,37,21000,7549,1,0
3755,34,52,25750,28889,0,0
2673,30,54,17940,19521,0,0
2015,7,26,16889,18184,0,0
6008,16,42,19910,20336,0,0
2589,14,39,22000,22000,0,0
805,0,33,16400,10400,0,0
2127,1,27,20390,23768,0,0
5831,3,38,11480,11480,0,1
518,0,63,19300,13300,0,0
4794,0,29,16730,11730,0,0
4519,0,37,15150,8940,1,0
3026,3,19,18900,19677,0,1
