,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Loan_Status
46,5649,0.0,44.0,360.0,1.0,1,1
203,3500,1083.0,135.0,360.0,1.0,1,1
303,1625,1803.0,96.0,360.0,1.0,1,1
462,3015,2188.0,153.0,360.0,1.0,1,1
166,4583,0.0,112.0,360.0,1.0,1,0
92,3273,1820.0,81.0,360.0,1.0,1,1
56,2132,1591.0,96.0,360.0,1.0,1,1
139,4200,1430.0,129.0,360.0,1.0,1,0
291,4400,0.0,127.0,360.0,0.0,1,0
23,3365,1917.0,112.0,360.0,0.0,1,0
164,9323,0.0,75.0,180.0,1.0,1,1
578,1782,2232.0,107.0,360.0,1.0,1,1
346,3523,3230.0,152.0,360.0,0.0,1,0
240,5819,5000.0,120.0,360.0,1.0,1,1
98,4188,0.0,115.0,180.0,1.0,1,1
482,2083,3150.0,128.0,360.0,1.0,1,1
202,3992,0.0,128.0,180.0,1.0,1,0
3,2583,2358.0,120.0,360.0,1.0,1,1
456,4301,0.0,118.0,360.0,1.0,1,1
19,2600,3500.0,115.0,360.0,1.0,1,1
384,4566,0.0,100.0,360.0,1.0,1,0
576,3087,2210.0,136.0,360.0,0.0,1,0
82,1378,1881.0,167.0,360.0,1.0,1,0
84,3988,0.0,50.0,240.0,1.0,1,1
575,3159,461.0,108.0,84.0,1.0,1,1
99,1759,3541.0,131.0,360.0,1.0,1,1
451,1958,1456.0,60.0,300.0,1.0,1,1
7,3036,2504.0,158.0,360.0,0.0,1,0
402,2500,20000.0,103.0,360.0,1.0,0,1
273,2620,2223.0,150.0,360.0,1.0,1,1
279,4100,0.0,124.0,360.0,1.0,1,1
586,2297,1522.0,104.0,360.0,1.0,1,1
551,2492,2375.0,128.0,360.0,1.0,1,1
555,5468,1032.0,26.0,360.0,1.0,1,1
50,1928,1644.0,100.0,360.0,1.0,1,1
248,2882,1843.0,123.0,480.0,1.0,1,1
70,3208,3066.0,172.0,360.0,1.0,1,1
11,2500,1840.0,109.0,360.0,1.0,1,1
522,5677,1424.0,100.0,360.0,1.0,1,1
397,3033,1459.0,95.0,360.0,1.0,1,1
281,3927,800.0,112.0,360.0,1.0,1,1
195,3125,2583.0,170.0,360.0,1.0,1,0
219,4283,2383.0,127.0,360.0,1.0,1,1
362,4750,2333.0,130.0,360.0,1.0,1,1
77,1000,3022.0,110.0,360.0,1.0,1,0
314,2473,1843.0,159.0,360.0,1.0,1,0
42,2400,0.0,75.0,360.0,1.0,1,1
109,2071,754.0,94.0,480.0,1.0,1,1
567,3400,2500.0,123.0,360.0,0.0,1,0
147,1538,1425.0,30.0,360.0,1.0,1,1
6,2333,1516.0,95.0,360.0,1.0,1,1
290,3075,2416.0,139.0,360.0,1.0,1,1
418,1025,2773.0,112.0,360.0,1.0,1,1
447,3539,1376.0,55.0,360.0,1.0,1,0
259,4931,0.0,128.0,360.0,1.0,1,0
282,2301,985.7999878,78.0,180.0,1.0,1,1
78,3167,4000.0,180.0,300.0,0.0,1,0
320,2400,2167.0,115.0,360.0,1.0,1,1
151,2577,3750.0,152.0,360.0,1.0,1,1
375,4817,923.0,120.0,180.0,1.0,1,1
299,2014,2925.0,113.0,360.0,1.0,1,0
531,4281,0.0,100.0,360.0,1.0,1,1
513,2130,6666.0,70.0,180.0,1.0,1,0
301,2875,1750.0,105.0,360.0,1.0,1,1
143,2698,2034.0,122.0,360.0,1.0,1,1
553,2454,2333.0,181.0,360.0,0.0,1,0
231,3716,0.0,42.0,180.0,1.0,1,1
167,2439,3333.0,129.0,360.0,1.0,1,1
494,3597,2157.0,119.0,360.0,0.0,1,0
466,2947,1664.0,70.0,180.0,0.0,1,0
250,1668,3890.0,201.0,360.0,0.0,1,0
162,3089,1280.0,121.0,360.0,0.0,1,0
149,4860,830.0,125.0,360.0,1.0,1,1
353,5500,0.0,105.0,360.0,0.0,1,0
221,4009,1717.0,116.0,360.0,1.0,1,1
388,2333,2417.0,136.0,360.0,1.0,1,1
187,2383,2138.0,58.0,360.0,1.0,1,1
217,3727,1775.0,131.0,360.0,1.0,1,1
220,2221,0.0,60.0,360.0,0.0,1,0
453,2483,2466.0,90.0,180.0,0.0,1,1
395,3276,484.0,135.0,360.0,1.0,1,1
394,3100,1400.0,113.0,360.0,1.0,1,1
12,3073,8106.0,200.0,360.0,1.0,1,1
343,3173,0.0,74.0,360.0,1.0,1,1
198,3416,2816.0,113.0,360.0,1.0,1,1
234,3155,1779.0,140.0,360.0,1.0,1,1
516,2031,1632.0,113.0,480.0,1.0,1,1
216,150,1800.0,135.0,360.0,1.0,1,0
96,2484,2302.0,137.0,360.0,1.0,1,1
469,4333,2451.0,110.0,360.0,1.0,1,0
297,4666,0.0,135.0,360.0,1.0,1,1
63,4945,0.0,128.0,360.0,0.0,1,0
452,3948,1733.0,149.0,360.0,0.0,1,0
543,2239,2524.0,128.0,360.0,1.0,1,1
608,3232,1950.0,108.0,360.0,1.0,1,1
90,2958,2900.0,131.0,360.0,1.0,1,1
380,3333,2500.0,128.0,360.0,1.0,1,1
417,1600,20000.0,239.0,360.0,1.0,1,0
344,2583,2330.0,125.0,360.0,1.0,1,1
471,2653,1500.0,113.0,180.0,0.0,1,0
600,416,41667.0,350.0,180.0,1.0,0,0
86,3333,2000.0,99.0,360.0,1.0,1,1
145,2330,4486.0,100.0,360.0,1.0,1,1
172,3522,0.0,81.0,180.0,1.0,1,0
526,3775,0.0,110.0,360.0,1.0,1,1
517,3074,1800.0,123.0,360.0,0.0,1,0
200,2600,2500.0,90.0,360.0,1.0,1,1
292,3153,1560.0,134.0,360.0,1.0,1,1
71,1875,1875.0,97.0,360.0,1.0,1,1
569,3166,2064.0,104.0,360.0,0.0,1,0
549,2785,2016.0,110.0,360.0,1.0,1,1
133,3459,0.0,25.0,120.0,1.0,1,1
60,2500,3796.0,120.0,360.0,1.0,1,1
26,2799,2253.0,122.0,360.0,1.0,1,1
100,4288,3263.0,133.0,180.0,1.0,1,1
363,3013,3033.0,95.0,300.0,1.0,1,1
481,3095,0.0,113.0,360.0,1.0,1,1
22,2600,1911.0,116.0,360.0,0.0,1,0
62,2609,3449.0,165.0,180.0,0.0,1,0
257,5250,0.0,94.0,360.0,1.0,1,0
35,2275,2067.0,128.0,360.0,1.0,1,1
178,3750,0.0,116.0,360.0,1.0,1,1
275,2750,1842.0,115.0,360.0,1.0,1,1
44,4695,0.0,96.0,360.0,1.0,1,1
300,1800,2934.0,93.0,360.0,0.0,1,0
444,7333,8333.0,175.0,300.0,1.0,1,1
503,4050,5302.0,138.0,360.0,1.0,1,0
495,3326,913.0,105.0,84.0,1.0,1,1
33,3500,1667.0,114.0,360.0,1.0,1,1
160,1863,1041.0,98.0,360.0,1.0,1,1
295,4416,1250.0,110.0,360.0,1.0,1,1
277,3103,1300.0,80.0,360.0,1.0,1,1
496,2600,1700.0,107.0,360.0,1.0,1,1
182,4600,0.0,73.0,180.0,1.0,1,1
590,3000,3416.0,56.0,180.0,1.0,1,1
36,1828,1330.0,100.0,360.0,0.0,1,0
2,3000,0.0,66.0,360.0,1.0,1,1
508,2479,3013.0,188.0,360.0,1.0,1,1
497,4625,2857.0,111.0,12.0,1.0,1,1
560,3675,242.0,108.0,360.0,1.0,1,1
414,2149,3237.0,178.0,360.0,0.0,1,0
117,2214,1398.0,85.0,360.0,1.0,1,1
1,4583,1508.0,128.0,360.0,1.0,1,0
593,3859,3300.0,142.0,180.0,1.0,1,1
184,3625,0.0,108.0,360.0,1.0,1,1
274,3900,0.0,90.0,360.0,1.0,1,1
540,4608,2845.0,140.0,180.0,1.0,1,1
176,2045,1619.0,101.0,360.0,1.0,1,1
335,5503,4490.0,70.0,360.0,1.0,1,1
545,2768,1950.0,155.0,360.0,1.0,1,1
413,2253,2033.0,110.0,360.0,1.0,1,1
581,1836,33837.0,90.0,360.0,1.0,0,0
316,3717,0.0,120.0,360.0,1.0,1,1
337,2500,4600.0,176.0,360.0,1.0,1,1
538,2917,536.0,66.0,360.0,1.0,1,0
504,3814,1483.0,124.0,300.0,1.0,1,1
423,7250,1667.0,110.0,360.0,0.0,1,0
605,2400,3800.0,128.0,180.0,1.0,1,0
422,1820,1719.0,100.0,360.0,1.0,1,1
249,1809,1868.0,90.0,360.0,1.0,1,1
