,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Loan_Status
25,9560,0.0,191.0,360.0,1.0,1,1
136,4583,0.0,84.0,360.0,1.0,1,0
296,6875,0.0,200.0,360.0,1.0,1,1
241,2510,1983.0,140.0,180.0,1.0,1,0
174,4344,736.0,87.0,360.0,1.0,1,0
46,5649,0.0,44.0,360.0,1.0,1,1
548,5000,0.0,103.0,360.0,0.0,0,0
462,3015,2188.0,153.0,360.0,1.0,1,1
166,4583,0.0,112.0,360.0,1.0,1,0
189,9328,0.0,188.0,180.0,1.0,1,1
557,10139,0.0,260.0,360.0,1.0,1,1
509,13262,0.0,40.0,360.0,1.0,0,1
88,8566,0.0,210.0,360.0,1.0,0,1
291,4400,0.0,127.0,360.0,0.0,1,0
23,3365,1917.0,112.0,360.0,0.0,1,0
164,9323,0.0,75.0,180.0,1.0,1,1
128,10513,3850.0,160.0,180.0,0.0,1,0
346,3523,3230.0,152.0,360.0,0.0,1,0
240,5819,5000.0,120.0,360.0,1.0,1,1
319,10000,0.0,155.0,360.0,1.0,1,0
262,3481,0.0,155.0,36.0,1.0,0,0
537,3617,0.0,107.0,360.0,1.0,0,1
350,9083,0.0,228.0,360.0,1.0,1,1
146,14866,0.0,70.0,360.0,1.0,1,1
310,2917,0.0,84.0,360.0,1.0,0,1
501,3159,0.0,100.0,360.0,1.0,0,1
384,4566,0.0,100.0,360.0,1.0,1,0
576,3087,2210.0,136.0,360.0,0.0,1,0
82,1378,1881.0,167.0,360.0,1.0,1,0
382,6000,0.0,156.0,360.0,1.0,0,1
334,9833,1833.0,182.0,180.0,1.0,1,1
575,3159,461.0,108.0,84.0,1.0,1,1
74,5266,1774.0,187.0,360.0,1.0,1,1
7,3036,2504.0,158.0,360.0,0.0,1,0
402,2500,20000.0,103.0,360.0,1.0,0,1
154,3254,0.0,50.0,360.0,1.0,0,1
592,9357,0.0,292.0,360.0,1.0,0,1
5,5417,4196.0,267.0,360.0,1.0,1,1
47,5821,0.0,144.0,360.0,1.0,1,1
70,3208,3066.0,172.0,360.0,1.0,1,1
598,9963,0.0,180.0,360.0,1.0,1,1
286,2600,1717.0,99.0,300.0,1.0,0,0
150,6277,0.0,118.0,360.0,0.0,0,0
115,14583,0.0,185.0,180.0,1.0,1,1
434,3750,0.0,100.0,360.0,1.0,0,1
69,4300,0.0,136.0,360.0,0.0,0,0
68,7100,0.0,125.0,60.0,1.0,1,1
21,5955,5625.0,315.0,360.0,1.0,1,1
77,1000,3022.0,110.0,360.0,1.0,1,0
577,3229,2739.0,110.0,360.0,1.0,0,1
314,2473,1843.0,159.0,360.0,1.0,1,0
125,3692,0.0,93.0,360.0,1.0,0,1
228,4758,0.0,158.0,480.0,1.0,1,1
415,2995,0.0,60.0,360.0,1.0,0,1
64,4166,0.0,116.0,360.0,0.0,0,0
255,3083,0.0,255.0,360.0,1.0,0,1
567,3400,2500.0,123.0,360.0,0.0,1,0
487,18333,0.0,500.0,360.0,1.0,1,0
290,3075,2416.0,139.0,360.0,1.0,1,1
390,9167,0.0,185.0,360.0,1.0,0,1
447,3539,1376.0,55.0,360.0,1.0,1,0
411,6256,0.0,160.0,360.0,1.0,1,1
78,3167,4000.0,180.0,300.0,0.0,1,0
550,6633,0.0,128.0,360.0,0.0,1,0
572,16666,0.0,275.0,360.0,1.0,1,1
299,2014,2925.0,113.0,360.0,1.0,1,0
427,5935,0.0,133.0,360.0,1.0,1,1
325,8666,4983.0,376.0,360.0,0.0,1,0
478,16667,2250.0,86.0,360.0,1.0,1,1
513,2130,6666.0,70.0,180.0,1.0,1,0
430,8624,0.0,150.0,360.0,1.0,0,1
553,2454,2333.0,181.0,360.0,0.0,1,0
364,6822,0.0,141.0,360.0,1.0,0,1
245,6050,4333.0,120.0,180.0,1.0,0,0
313,5746,0.0,144.0,84.0,1.0,1,1
332,2833,0.0,71.0,360.0,1.0,0,1
494,3597,2157.0,119.0,360.0,0.0,1,0
263,7200,0.0,120.0,360.0,1.0,0,1
238,3812,0.0,112.0,360.0,1.0,0,1
250,1668,3890.0,201.0,360.0,0.0,1,0
162,3089,1280.0,121.0,360.0,0.0,1,0
612,7583,0.0,187.0,360.0,1.0,1,1
89,5695,4167.0,175.0,360.0,1.0,1,1
72,3500,0.0,81.0,300.0,1.0,0,1
395,3276,484.0,135.0,360.0,1.0,1,1
394,3100,1400.0,113.0,360.0,1.0,1,1
110,5316,0.0,136.0,360.0,1.0,0,1
367,5124,0.0,124.0,360.0,0.0,0,0
412,6096,0.0,218.0,360.0,0.0,1,0
343,3173,0.0,74.0,360.0,1.0,1,1
213,5703,0.0,130.0,360.0,1.0,1,1
579,3182,2917.0,161.0,360.0,1.0,0,1
234,3155,1779.0,140.0,360.0,1.0,1,1
571,5116,1451.0,165.0,360.0,0.0,1,0
420,5829,0.0,138.0,360.0,1.0,1,1
431,6500,0.0,105.0,360.0,0.0,0,0
216,150,1800.0,135.0,360.0,1.0,1,0
461,7740,0.0,128.0,180.0,1.0,1,1
469,4333,2451.0,110.0,360.0,1.0,1,0
297,4666,0.0,135.0,360.0,1.0,1,1
222,2971,2791.0,144.0,360.0,1.0,0,1
452,3948,1733.0,149.0,360.0,0.0,1,0
13,1853,2840.0,114.0,360.0,1.0,0,0
327,5818,2160.0,184.0,360.0,1.0,1,1
435,10047,0.0,128.0,240.0,1.0,1,1
17,3510,0.0,76.0,360.0,0.0,0,0
246,9703,0.0,112.0,360.0,1.0,1,1
307,2400,1863.0,104.0,360.0,0.0,0,0
341,2378,0.0,46.0,360.0,1.0,0,0
380,3333,2500.0,128.0,360.0,1.0,1,1
471,2653,1500.0,113.0,180.0,0.0,1,0
491,5333,1131.0,186.0,360.0,1.0,1,1
562,5923,2054.0,211.0,360.0,1.0,1,1
580,6540,0.0,205.0,360.0,1.0,1,1
172,3522,0.0,81.0,180.0,1.0,1,0
526,3775,0.0,110.0,360.0,1.0,1,1
527,5285,1430.0,161.0,360.0,0.0,1,1
517,3074,1800.0,123.0,360.0,0.0,1,0
381,5941,4232.0,296.0,360.0,1.0,0,1
292,3153,1560.0,134.0,360.0,1.0,1,1
569,3166,2064.0,104.0,360.0,0.0,1,0
32,4692,0.0,106.0,360.0,1.0,0,0
489,2435,0.0,75.0,360.0,1.0,0,0
542,3652,0.0,95.0,360.0,1.0,0,1
309,7667,0.0,185.0,360.0,1.0,1,1
481,3095,0.0,113.0,360.0,1.0,1,1
441,7901,1833.0,180.0,360.0,1.0,1,1
22,2600,1911.0,116.0,360.0,0.0,1,0
62,2609,3449.0,165.0,180.0,0.0,1,0
483,10833,0.0,234.0,360.0,1.0,1,1
588,4750,0.0,94.0,360.0,1.0,0,1
257,5250,0.0,94.0,360.0,1.0,1,0
242,2965,5701.0,155.0,60.0,1.0,0,1
120,5667,2667.0,180.0,360.0,1.0,1,1
300,1800,2934.0,93.0,360.0,0.0,1,0
368,6325,0.0,175.0,360.0,1.0,1,1
212,7787,0.0,240.0,360.0,1.0,1,1
444,7333,8333.0,175.0,300.0,1.0,1,1
285,3158,3053.0,89.0,360.0,1.0,0,1
563,5800,0.0,132.0,360.0,1.0,0,1
484,8333,0.0,246.0,360.0,1.0,1,1
36,1828,1330.0,100.0,360.0,0.0,1,0
156,6000,0.0,160.0,360.0,1.0,1,1
2,3000,0.0,66.0,360.0,1.0,1,1
508,2479,3013.0,188.0,360.0,1.0,1,1
308,20233,0.0,480.0,360.0,1.0,0,0
289,9508,0.0,187.0,360.0,1.0,0,1
560,3675,242.0,108.0,360.0,1.0,1,1
414,2149,3237.0,178.0,360.0,0.0,1,0
141,5417,0.0,168.0,360.0,1.0,0,1
223,7578,1010.0,175.0,360.0,1.0,1,1
599,5780,0.0,192.0,360.0,1.0,1,1
113,7451,0.0,128.0,360.0,1.0,0,1
184,3625,0.0,108.0,360.0,1.0,1,1
372,9323,7873.0,380.0,300.0,1.0,1,1
274,3900,0.0,90.0,360.0,1.0,1,1
0,5849,0.0,128.0,360.0,1.0,0,1
566,3333,0.0,70.0,360.0,1.0,0,1
383,7167,0.0,128.0,360.0,1.0,0,1
335,5503,4490.0,70.0,360.0,1.0,1,1
379,5391,0.0,130.0,360.0,1.0,1,1
507,3583,0.0,96.0,360.0,1.0,0,0
474,5532,4648.0,162.0,360.0,1.0,0,1
337,2500,4600.0,176.0,360.0,1.0,1,1
423,7250,1667.0,110.0,360.0,0.0,1,0
605,2400,3800.0,128.0,180.0,1.0,1,0
119,10408,0.0,259.0,360.0,1.0,0,1
256,6045,0.0,115.0,360.0,0.0,0,0
