,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Loan_Status
571,5116,1451.0,165.0,360.0,0.0,1,0
420,5829,0.0,138.0,360.0,1.0,1,1
461,7740,0.0,128.0,180.0,1.0,1,1
327,5818,2160.0,184.0,360.0,1.0,1,1
435,10047,0.0,128.0,240.0,1.0,1,1
246,9703,0.0,112.0,360.0,1.0,1,1
491,5333,1131.0,186.0,360.0,1.0,1,1
351,8750,4167.0,308.0,360.0,1.0,0,0
562,5923,2054.0,211.0,360.0,1.0,1,1
580,6540,0.0,205.0,360.0,1.0,1,1
527,5285,1430.0,161.0,360.0,0.0,1,1
408,8300,0.0,152.0,300.0,0.0,1,0
348,6333,4583.0,259.0,360.0,1.0,1,1
604,12000,0.0,496.0,360.0,1.0,1,1
106,11417,1126.0,225.0,360.0,1.0,1,1
309,7667,0.0,185.0,360.0,1.0,1,1
441,7901,1833.0,180.0,360.0,1.0,1,1
476,6700,1750.0,230.0,300.0,1.0,1,1
483,10833,0.0,234.0,360.0,1.0,1,1
173,5708,5625.0,187.0,360.0,1.0,1,1
120,5667,2667.0,180.0,360.0,1.0,1,1
368,6325,0.0,175.0,360.0,1.0,1,1
212,7787,0.0,240.0,360.0,1.0,1,1
267,4333,1811.0,160.0,360.0,0.0,1,1
9,12841,10968.0,349.0,360.0,1.0,1,0
484,8333,0.0,246.0,360.0,1.0,1,1
156,6000,0.0,160.0,360.0,1.0,1,1
308,20233,0.0,480.0,360.0,1.0,0,0
223,7578,1010.0,175.0,360.0,1.0,1,1
183,33846,0.0,260.0,360.0,1.0,1,0
599,5780,0.0,192.0,360.0,1.0,1,1
511,6065,2004.0,250.0,360.0,1.0,1,1
165,3707,3166.0,182.0,360.0,1.0,1,1
372,9323,7873.0,380.0,300.0,1.0,1,1
561,19484,0.0,600.0,360.0,1.0,1,1
20,7660,0.0,104.0,360.0,0.0,1,0
379,5391,0.0,130.0,360.0,1.0,1,1
171,51763,0.0,700.0,300.0,1.0,1,1
258,14683,2100.0,304.0,360.0,1.0,1,0
