,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Default (y)
1127,2,39,21970,21970,0,96,1
5333,9,39,9510,3769,1,36,0
1073,3,41,12078,12217,0,48,1
3641,1,55,18100,6100,1,24,0
4343,25,51,23600,14645,1,48,0
2602,27,52,9990,5990,1,48,0
1723,12,55,3696,3865,0,36,1
2825,6,36,29000,29000,0,72,1
4011,2,34,8115,8115,0,48,1
4213,2,64,10250,9109,1,72,0
6133,7,60,5360,1948,1,36,0
7265,7,32,4634,4998,0,48,1
5291,15,77,9259,3259,1,24,0
6044,5,49,17500,17500,0,96,1
196,3,19,7990,4255,1,24,0
7183,2,45,12978,10963,0,48,1
5839,1,32,12234,6635,1,36,0
6923,2,41,7990,7081,0,60,1
500,1,56,7950,6950,0,72,1
2299,10,72,8990,7490,0,48,1
2404,0,19,10669,12311,0,72,1
1587,9,75,19990,9990,1,36,0
2955,5,28,10500,11280,0,48,1
5823,15,45,16900,4400,1,48,0
2841,0,64,20990,22486,0,60,1
6116,2,29,22850,22850,0,60,1
2892,4,31,12790,14220,0,84,1
862,0,18,19898,20037,0,60,1
5681,34,51,9460,2009,1,12,0
4630,3,45,11290,2290,1,24,0
5624,5,69,9500,9500,0,84,1
5013,28,82,6780,5280,0,24,1
5465,3,21,10090,11948,0,60,0
3274,1,49,2718,2890,0,24,1
3032,18,45,9276,9276,0,48,1
1700,0,31,9119,9119,0,60,1
283,10,71,2775,2804,0,12,1
5844,7,41,12010,13401,0,84,1
1551,7,36,22739,20339,0,60,1
3656,26,55,18402,3500,1,36,0
3362,2,18,7770,8644,0,96,1
706,11,76,6900,7407,0,60,1
4567,19,43,12282,14016,0,60,1
1334,1,26,7400,2157,1,48,1
6203,1,36,9690,8936,0,60,1
3094,7,55,7990,7990,0,60,1
227,1,52,19350,22561,0,72,1
5998,8,33,25858,25972,0,72,1
5602,3,55,16490,16490,0,48,1
1078,35,52,19025,9806,1,60,0
3454,2,54,16390,17914,0,60,1
6098,1,43,15890,15890,0,96,1
1201,18,39,14300,5800,1,24,0
1728,7,66,9659,9758,0,12,1
6690,5,47,8456,10114,0,84,1
3809,5,78,11940,12676,0,72,1
1918,0,24,8800,1800,1,12,1
2646,4,54,15180,14180,1,48,0
211,24,43,23000,9000,1,12,0
2410,0,19,6290,5790,0,60,1
7141,7,71,7950,7000,0,36,1
511,12,76,6711,7149,0,84,1
4498,0,37,12490,14046,0,96,1
1965,6,36,19400,22603,0,72,1
2166,9,52,20204,3285,1,12,0
2445,12,54,9990,11686,0,72,1
4273,0,21,4500,1894,1,12,0
6370,0,33,29990,29990,0,48,1
4704,0,46,11490,11490,0,72,1
2676,4,66,10940,5158,1,48,1
1610,13,51,13990,4690,1,36,0
2842,0,21,18970,19417,0,60,1
6317,6,39,16990,20762,0,60,1
3290,0,49,26926,29294,0,60,1
1661,1,44,12000,12941,0,48,1
6567,5,57,10850,7537,0,48,1
6462,1,66,5287,5287,0,36,1
6594,1,22,13000,10881,0,60,0
5242,5,54,27377,27439,1,60,0
4080,35,55,23723,12548,1,48,0
1921,3,42,8140,8854,0,60,1
2250,4,35,13000,10220,0,48,1
4184,1,28,24790,23504,0,60,1
4326,2,40,23780,26125,0,96,1
869,2,49,20950,20827,0,72,1
1105,4,60,5300,5806,0,48,1
4753,4,44,20600,23116,0,96,1
4127,9,77,19990,19990,0,72,1
4085,33,49,19630,13532,1,24,0
4722,12,40,8990,9828,0,48,1
5628,9,70,21300,18300,1,84,1
5643,1,19,21950,21950,0,60,1
2765,20,43,10990,5990,1,36,0
4284,8,52,24711,28946,0,72,1
59,28,48,29139,9139,1,36,0
5921,11,74,18740,18838,0,60,1
3425,22,61,5500,2791,1,36,0
2271,0,41,13425,13425,0,72,1
4264,16,55,3032,3032,0,15,1
996,37,57,15790,14590,0,72,1
6365,1,38,14980,17142,0,60,1
3434,1,53,7748,1544,1,12,0
498,1,35,11850,11850,0,72,1
4306,1,18,6200,6845,0,36,1
3680,20,46,4810,2391,1,48,0
1569,1,21,25490,27214,0,48,0
7425,9,38,4502,4856,0,48,1
2656,0,31,14290,17753,0,96,1
1767,26,48,8470,2470,1,12,0
3749,4,30,9970,11025,0,36,1
6026,14,75,8300,5300,0,96,0
3366,2,37,13402,11146,1,48,0
4917,10,70,11985,2134,1,12,0
4434,8,24,13990,15958,0,60,1
4525,20,80,6862,6862,0,48,0
3431,21,47,10500,3200,1,36,0
469,18,77,7299,7299,0,24,1
5522,16,58,6000,6722,0,60,1
2633,2,25,34500,29207,0,72,1
6244,2,45,5900,4296,0,36,1
1979,0,20,11365,12225,0,60,1
1671,3,35,11940,5435,1,48,0
972,8,57,11800,5800,1,60,0
339,0,21,8684,9259,0,48,1
5151,0,56,9190,4834,1,36,0
3395,19,44,8490,5912,0,48,1
5970,0,32,13600,15329,0,96,1
626,5,21,18800,20539,0,72,0
2997,5,57,13309,5294,1,12,0
58,15,56,11801,12500,1,60,0
1234,1,39,17990,20426,0,60,1
2687,0,24,26490,29023,0,72,1
5121,4,39,10400,11432,0,72,1
676,5,39,19300,8500,1,36,0
2670,3,66,10990,3990,1,24,0
3655,17,54,18889,18889,0,96,1
387,5,54,5900,6329,0,36,1
6274,22,62,9790,5480,1,36,0
7180,3,27,6490,1539,1,12,0
6870,2,34,25877,25877,0,60,1
6479,10,32,8415,9429,0,48,1
142,0,38,24880,27364,0,72,1
4545,0,40,3990,2213,0,24,1
5168,7,55,13750,14551,0,48,1
2575,0,64,23175,20865,0,60,1
6048,1,22,10900,11934,0,36,0
6003,25,50,14990,3710,1,24,0
4002,0,66,15078,9548,1,60,0
5007,20,48,7990,9100,0,60,1
2510,11,75,12020,1510,1,12,0
747,1,22,25658,25772,0,60,1
1261,2,35,30070,27441,0,72,1
4101,9,48,9130,3990,1,36,0
3805,11,44,17980,4180,1,24,0
6995,3,35,11990,13005,0,96,1
5184,4,36,9335,2394,1,12,1
4229,24,45,6790,4950,0,48,1
2559,1,25,20990,23877,0,60,1
7258,2,25,27750,26449,0,60,1
4730,14,44,24390,7690,1,36,0
1703,3,51,8400,9127,0,60,1
4771,17,40,16140,7886,1,48,0
303,0,23,25280,20280,0,36,1
543,2,20,5990,5990,0,48,1
1554,3,54,18930,18930,0,60,1
3651,0,26,14790,9437,0,48,1
2476,10,34,16900,16990,0,72,1
7261,0,63,17150,3150,1,24,0
585,1,23,12990,12623,0,72,1
3262,1,21,8990,9768,0,60,0
1467,1,65,19690,9820,1,60,0
7297,40,59,39136,21650,1,60,0
6519,7,34,14390,6325,1,36,0
3298,0,35,15000,15000,0,96,1
2906,0,18,12800,13908,0,60,1
3862,0,28,9950,9550,0,72,1
3949,3,22,13333,11747,0,60,0
866,0,29,16600,6600,1,24,0
847,0,25,26000,29175,0,96,1
5495,3,26,7000,7573,0,60,1
2450,1,51,7480,8127,0,60,1
2683,2,21,22040,25333,0,60,1
103,0,41,16379,15374,0,48,1
2963,4,47,5250,6161,0,72,1
6081,3,64,15115,8527,1,60,0
861,2,24,15340,16688,0,60,1
1880,9,50,14351,14351,1,60,0
3559,2,20,13990,15289,0,60,1
2020,7,81,7590,7590,0,72,1
3621,2,55,9630,11643,0,96,1
5112,2,18,7600,7600,0,60,0
3480,7,37,18970,1810,1,12,0
5389,12,55,15495,11495,0,60,1
641,15,58,6500,5500,0,36,1
3011,1,53,23005,23122,0,60,1
2318,3,20,8450,8874,0,72,1
5192,14,46,15900,8226,1,48,0
7295,0,40,8790,4983,1,24,0
5973,17,77,6990,6990,0,60,0
3616,0,35,7980,8593,0,48,1
3856,10,39,4200,3330,0,36,1
2862,1,47,10795,3167,1,24,0
6398,8,73,22990,22990,0,60,1
7006,0,19,19900,21650,0,60,1
6801,16,41,19248,20047,1,60,0
5786,1,24,28990,29777,0,72,1
401,1,29,30968,29107,0,72,1
810,23,52,23450,23450,0,96,1
4905,2,33,19625,16125,1,60,1
1018,1,22,15885,17642,0,72,1
6143,19,55,20590,16071,0,84,1
2275,2,42,24500,26201,0,48,1
5568,8,72,5880,6302,0,60,1
3846,21,56,14069,3335,1,36,0
2654,4,31,15995,17214,0,48,1
6366,14,77,13990,8990,0,72,1
2316,5,21,23000,6473,1,24,0
2819,17,63,18900,15400,1,60,0
6182,25,61,17525,19012,0,36,1
3948,0,57,7300,7572,0,72,1
566,23,46,14139,6650,1,60,0
2519,0,25,8000,8938,0,96,1
4108,24,79,4500,2500,0,24,1
5403,6,69,13300,5300,1,48,0
7305,5,41,6985,6736,0,48,1
4975,4,52,12500,13394,0,48,1
4395,5,59,9500,9937,0,36,1
6645,0,33,9500,9500,0,72,1
4074,21,56,6500,5869,0,60,1
3785,2,25,17410,13400,0,60,1
5041,0,18,11680,12557,0,36,1
4582,8,37,34829,13829,1,36,0
6966,6,25,7579,8541,0,96,1
2727,1,44,11700,12721,0,84,1
3172,1,56,27000,27000,0,72,1
3388,0,21,8990,10224,0,60,1
2880,2,18,14010,16122,0,60,1
6264,0,19,6450,7171,0,84,1
6000,5,31,21895,24053,0,72,1
1373,8,68,8990,8990,0,60,1
657,8,60,24400,19100,1,96,0
411,41,70,6200,6200,0,72,1
4575,24,61,20149,5264,1,36,0
5111,46,63,7650,9055,0,96,0
5850,1,30,15985,18442,0,60,1
3939,7,37,6237,6999,0,96,1
416,26,51,31000,16000,1,48,0
6726,1,21,25990,25990,0,60,0
3442,0,24,12500,10500,0,60,1
73,1,37,14700,7118,1,24,0
5639,20,54,8000,9175,0,60,1
4458,7,63,14295,15583,0,72,1
6123,5,22,14000,4000,1,36,0
5903,5,59,14023,14023,0,56,1
5666,1,30,9200,2200,1,24,0
5345,22,52,15351,7490,1,60,0
679,29,47,4950,1550,1,12,0
4712,4,68,15590,18706,0,84,1
6392,1,48,11990,3990,1,60,1
2846,4,62,24980,26146,0,60,1
102,3,22,6600,2764,1,24,0
2754,3,29,10984,6426,1,36,0
7169,2,37,12490,14129,0,60,1
2792,18,44,10990,12179,0,72,1
4456,0,21,18300,19359,0,60,0
4253,23,50,8650,5150,1,60,0
3149,25,57,13700,5896,1,24,0
7053,0,23,11890,12948,0,48,1
5447,1,32,11300,10551,0,96,1
6097,0,21,17990,19725,0,72,1
5509,0,57,10300,9710,0,48,1
6597,1,51,16290,9557,1,48,0
3896,9,63,11508,11508,0,96,1
4325,2,33,15990,17661,0,72,1
3575,9,57,9519,10845,0,72,1
3653,13,58,18900,8900,1,72,0
4301,0,45,22390,22390,0,60,1
6150,1,55,6340,7455,0,36,1
3381,1,23,19990,19990,0,72,1
6470,0,52,10980,10980,0,72,1
2716,8,73,26839,16839,0,60,1
6423,2,48,14500,4853,1,48,0
210,12,32,20016,23250,0,96,1
3857,0,29,22000,24031,0,72,1
4782,27,70,6850,6621,0,60,1
6486,13,42,14736,4856,1,12,0
122,5,31,16110,15870,1,96,0
5570,0,19,11900,11900,0,60,1
3429,5,22,10500,8149,0,60,1
5711,4,22,8000,8130,0,72,1
4176,18,46,12500,9653,0,48,1
981,4,37,1643,1643,0,8,1
450,13,57,6077,6077,0,48,1
4322,0,22,9990,11385,0,60,1
1860,2,19,13990,14237,0,72,1
183,0,34,28650,26973,0,72,1
6621,0,37,6890,2890,1,24,0
4742,0,18,6000,2000,1,24,0
802,2,40,26490,29146,0,72,1
6805,2,21,24800,26756,0,96,1
4561,0,33,9500,10562,0,84,1
101,1,40,15990,14990,0,60,1
3527,16,45,7179,6438,0,48,1
380,0,19,9999,10882,0,60,1
5994,0,42,7200,8025,0,72,1
2691,1,26,11990,4501,1,24,0
4907,1,45,22145,22145,0,60,1
2600,1,21,16890,6890,1,24,0
5936,2,37,17890,16790,0,96,1
5202,3,35,6710,8228,1,72,0
4993,24,58,13130,14019,0,72,1
705,1,19,23990,24105,0,72,1
4553,2,29,12800,14209,0,96,1
4098,1,41,12500,13965,0,96,1
212,3,22,3990,4290,0,36,1
1892,0,22,7600,2600,1,24,0
432,3,68,7990,2190,1,24,0
1119,14,79,7490,2630,1,24,0
7029,1,29,3798,1911,1,24,0
381,2,62,28930,26930,0,60,1
6762,0,46,15439,3939,1,12,0
1238,2,24,7990,9220,0,72,1
4288,4,47,14600,5412,1,36,0
3459,1,23,9900,9900,0,48,1
4424,2,33,22500,22500,0,60,1
3323,4,26,20770,20658,0,96,1
2018,1,26,11800,4298,1,24,0
2438,2,19,26980,29191,0,60,1
6854,4,41,8990,4115,1,96,0
604,28,59,6475,6475,0,36,1
5807,8,47,11490,5301,1,48,0
765,12,30,9999,7999,0,84,1
2750,6,33,13000,12510,0,96,1
3879,0,64,4240,4832,0,48,1
7045,15,46,16700,11828,0,72,1
6932,1,25,7825,8562,0,72,1
4714,2,46,14080,15272,0,60,1
2415,5,30,12750,7005,1,60,0
535,20,40,26000,11000,1,36,0
1862,3,26,24962,24962,0,60,1
4235,4,45,8480,3795,1,36,0
7359,1,35,10522,11363,0,60,1
4559,1,44,13000,11952,0,60,1
4913,0,21,10985,11487,0,72,1
383,2,40,4700,5350,0,60,1
7134,37,59,10490,5902,1,24,0
3951,4,51,10950,9450,0,60,1
1731,5,70,14200,5000,1,24,0
4634,2,60,17067,15154,1,60,0
3571,1,39,14600,14600,0,84,1
3558,4,60,25900,21854,0,60,1
1010,12,57,8490,7721,0,48,1
50,1,19,18990,20450,0,72,1
643,0,59,16125,17111,0,96,1
447,4,47,6268,7037,0,48,1
592,6,25,8500,8500,0,84,1
4119,0,37,25400,28502,0,96,1
5018,23,51,24900,26983,0,60,1
2187,0,42,6690,7507,0,96,1
4397,4,47,6717,7504,0,96,1
2185,9,29,33670,25670,1,84,0
5687,7,51,14490,14919,0,84,1
6889,2,34,16480,15480,0,96,1
4194,20,53,5990,6949,0,72,1
5120,0,34,15714,15003,0,48,1
1550,15,33,12900,4600,1,36,0
6754,5,32,10390,4658,1,24,0
3692,3,36,15890,17035,0,48,1
1339,15,74,14090,15056,0,72,1
636,0,19,19248,19248,0,72,0
3881,3,23,6750,7073,0,84,1
1732,4,40,18087,18087,0,60,1
6553,1,36,13490,14983,0,60,1
487,3,43,18850,8478,1,60,0
4172,2,20,13195,16129,0,60,1
6364,3,20,10490,9076,0,48,0
1305,16,33,21980,5480,1,12,0
3717,5,46,9990,9990,0,96,1
2110,0,53,12480,12480,0,60,1
1684,17,44,30809,24499,0,72,1
3370,3,68,16990,4058,1,36,0
4781,0,27,9700,4997,1,24,0
1414,27,74,10985,8101,0,72,0
1006,0,47,8564,9626,0,84,1
3487,4,40,20990,20990,0,72,1
817,0,21,20500,20500,0,36,1
494,0,56,14990,14990,0,72,1
5819,4,43,6900,7525,0,72,1
1172,7,51,10689,4153,1,24,0
3639,2,57,10690,10690,0,84,1
2473,3,55,12390,4390,1,36,0
6258,3,26,14030,14598,0,48,1
6866,3,19,7990,5000,0,36,1
2784,5,46,7990,9281,0,60,1
1805,1,19,9900,9490,0,48,1
4587,2,39,7190,5190,0,60,1
710,7,40,6490,7315,0,96,1
1086,8,30,10990,6441,0,48,1
5381,5,41,5990,6635,0,72,1
7147,1,25,3300,3544,0,36,1
3142,2,68,6590,2722,1,24,0
3199,29,63,27500,10500,1,48,0
2803,35,55,23596,5885,1,48,1
1595,1,64,13950,7309,1,36,0
2422,0,29,11600,2045,1,36,0
149,8,32,14640,8122,1,24,0
582,2,42,7900,8584,0,60,1
696,13,53,16760,17924,0,48,1
4690,24,55,7500,3500,1,36,0
5477,3,19,18990,20281,0,72,1
4332,2,54,6500,2400,1,24,0
2893,21,60,8250,3250,1,48,0
179,1,20,16790,18821,0,60,1
1858,22,46,23390,11869,1,36,0
3047,1,30,7990,7324,0,48,1
3903,3,27,9500,2695,1,24,1
6341,3,67,7233,7233,0,60,1
911,19,81,6995,6995,0,24,0
4603,0,56,11895,13296,1,36,0
7262,4,68,4720,4366,0,48,1
47,3,49,6166,6841,0,60,1
4071,1,24,25500,25810,0,72,1
6536,27,61,14060,15873,0,60,1
4914,10,69,8900,4378,1,48,0
3509,15,78,11990,1990,1,24,0
4035,15,50,14950,14950,0,96,1
5857,18,36,14550,15828,0,60,1
1479,2,40,9995,4199,1,12,0
6675,5,54,7590,4620,1,48,0
1832,2,30,14700,17351,0,84,1
6454,0,23,15990,15579,0,60,1
5766,21,41,17305,20789,0,96,1
2348,1,18,17964,17797,0,60,1
2513,2,29,12590,1751,1,12,0
6987,0,19,9000,10155,0,48,0
857,0,22,13950,15914,0,60,1
3341,1,37,24900,26597,0,60,0
4919,9,55,10990,5166,1,24,0
531,2,19,5000,5455,0,60,1
6772,23,49,6990,8415,0,96,1
3333,1,43,6000,2693,0,36,1
4764,10,50,10590,9417,0,60,1
5344,7,52,14200,15727,0,96,1
5905,1,35,13730,15520,0,60,1
1046,10,70,7190,8393,0,60,1
6767,15,58,5037,5618,0,60,1
6576,15,36,15040,18176,1,72,1
7347,1,35,21400,7680,1,48,0
7324,10,58,14980,14980,0,84,1
3520,25,45,4300,4564,0,36,1
4800,12,61,10030,4676,1,36,0
1702,1,28,7656,8354,0,60,1
5816,26,45,16695,10595,1,60,0
4046,19,50,21200,6500,1,48,0
1064,13,57,6900,3400,1,36,0
2877,1,20,6400,6940,0,60,1
3761,0,33,18990,18990,0,48,1
1851,1,21,18500,19363,0,60,1
6144,7,72,6900,6900,0,60,1
491,10,31,21593,11571,1,48,0
2251,5,27,23999,23999,0,60,1
2178,10,63,19890,21137,0,72,1
4416,8,50,11990,4398,1,36,0
4988,1,38,31000,22000,0,84,1
945,7,59,32875,21252,1,60,1
322,7,57,15990,17518,0,84,1
6152,3,26,14990,16431,0,60,1
3844,4,27,10000,3615,1,24,0
3422,5,29,19293,23164,0,96,1
4706,2,39,13701,14958,0,72,1
1506,14,52,3990,2146,1,48,0
4556,9,29,7990,8183,0,60,1
70,13,73,14950,10950,0,84,0
6943,1,41,6350,1912,1,24,0
2087,21,77,7600,8026,0,72,1
779,11,74,10496,10993,0,36,1
2628,9,39,10450,11636,0,72,1
5626,8,36,12120,5901,1,96,0
6429,21,57,3486,3682,0,24,1
1850,0,19,8700,8200,0,48,0
4938,12,72,7780,2580,1,24,0
4829,19,59,13990,9990,0,60,1
3513,3,27,11200,11200,0,48,1
2876,0,38,19990,22738,0,60,1
2239,3,47,6500,2500,1,24,0
7264,23,83,6420,6420,0,48,1
622,6,49,7200,3600,1,24,0
4624,14,78,15490,15490,0,72,0
4942,3,27,19015,21407,1,48,0
4250,1,20,13000,13533,0,72,0
7002,5,35,5500,6175,0,48,1
3433,4,48,13680,13691,0,96,1
4222,1,24,17970,21228,0,72,1
1350,10,73,8150,3384,1,12,0
5846,5,48,21500,7000,1,12,0
3686,2,20,27500,27000,0,72,1
5676,1,58,9900,10619,0,60,1
2016,3,31,14041,7137,1,48,0
5100,6,35,17350,17500,0,96,1
2973,28,50,16490,19178,0,72,1
3045,15,55,7890,8804,0,84,1
3578,2,48,13990,6646,1,72,0
7185,0,18,5690,3090,0,48,0
6549,5,31,7790,9061,0,72,1
746,1,23,24890,23890,0,72,1
4166,4,47,10400,5000,1,36,0
5735,18,37,21000,7549,1,48,0
3755,34,52,25750,28889,0,60,0
5058,45,62,7500,7500,0,72,1
1233,1,42,4990,4990,0,60,1
4102,14,78,12100,12100,0,48,1
5858,2,56,11900,3900,1,48,0
2845,17,48,11800,2800,1,24,0
3470,2,40,13980,4286,1,48,0
6404,0,24,7800,7800,0,72,1
5831,3,38,11480,11480,0,60,1
6815,2,51,6500,2500,1,12,0
4519,0,37,15150,8940,1,60,0
3026,3,19,18900,19677,0,48,1
5680,0,20,20000,22677,0,60,1
4511,13,53,16000,5500,1,36,0
5407,15,55,14890,12769,0,36,1
5340,10,27,25858,25972,0,60,1
3859,0,23,3200,3200,0,36,1
4663,2,21,24000,24000,0,60,1
4606,1,21,10800,11639,0,48,1
5251,7,29,4300,4750,0,36,1
3482,19,46,23950,11600,1,48,0
7313,4,52,17490,18741,0,48,1
1022,4,56,13500,7327,1,36,0
7246,1,22,5823,6279,0,48,1
3240,10,48,18990,20262,0,48,1
1397,21,45,15490,17575,0,60,1
451,1,27,11984,8164,1,48,1
893,0,35,10470,11612,0,72,1
3409,1,32,13495,15696,0,72,1
2225,18,51,16365,15461,1,72,0
3611,1,49,32000,30000,0,36,1
2229,1,60,8990,9650,0,60,1
5039,1,18,21990,23346,0,72,1
4669,3,53,12599,14498,0,60,1
6983,1,27,9980,9730,0,60,1
6961,3,38,15190,15732,0,72,1
1839,1,21,21690,25931,0,96,1
5862,8,71,15980,18274,0,60,1
3869,12,56,5000,2090,1,24,0
5662,1,38,7990,8816,0,72,1
3235,18,50,22680,20180,0,84,1
5810,9,45,8350,9551,0,60,1
3258,1,37,13890,15313,0,60,1
842,0,28,9500,10453,0,72,1
2101,5,43,26990,26990,0,36,1
647,14,55,20400,17048,1,60,0
2291,30,56,12700,2792,1,24,0
3822,21,80,10500,12835,0,72,1
1328,0,18,10990,11955,0,60,1
6060,1,25,10900,12291,0,48,1
5044,1,28,10600,6379,1,24,0
5840,4,37,17000,17000,0,72,1
6945,1,19,4400,4802,0,36,0
3882,3,31,11370,12402,0,60,1
2586,22,77,11800,3800,1,12,0
3731,18,56,6990,7509,0,72,1
7013,3,68,17950,13190,0,84,1
2215,3,20,24377,24016,0,60,1
2579,4,20,8566,8675,0,60,0
503,14,77,10046,10046,0,36,1
6687,1,29,8626,8626,0,72,1
7107,1,46,16410,17678,0,60,1
5452,5,65,3990,4710,0,60,1
3689,11,75,18300,18300,0,84,1
3715,6,33,13659,14449,1,72,1
527,0,46,8990,8938,0,48,1
4051,6,33,15079,15769,1,72,1
2758,1,58,11400,4606,1,36,0
1945,2,20,7990,7955,0,72,0
5812,1,21,21990,21990,0,60,0
6598,16,76,8630,9162,0,72,0
3997,9,51,4990,4990,0,48,1
1161,10,48,23940,10704,1,48,0
1461,31,51,7950,8638,0,60,1
5165,1,20,8700,9319,0,48,0
4025,3,52,13490,14424,0,48,1
6282,18,43,19990,21815,0,60,1
3055,0,18,6690,7605,0,48,1
3025,22,43,26014,26014,0,48,1
2350,0,34,5900,4206,0,48,1
219,0,19,13000,11615,0,60,0
6451,4,23,12035,13167,0,96,1
1870,15,75,6660,6660,0,36,1
7106,0,27,11990,12088,0,60,1
3378,3,51,11900,3690,1,24,0
4236,0,21,8900,8965,0,48,1
859,3,50,13450,15228,0,96,1
1379,2,19,16500,15000,0,72,1
5635,1,23,5666,5666,0,60,1
7369,1,52,15800,3700,1,36,0
5303,2,60,18000,19422,0,60,1
6476,0,49,14900,16223,0,60,1
3742,2,38,8500,9217,0,60,1
233,0,27,3546,3809,0,36,1
4038,2,63,13990,13990,0,60,1
7364,9,46,5712,5712,0,48,1
5841,2,19,11853,11853,0,60,0
1088,0,42,22000,24804,0,96,1
4154,0,31,17303,17303,0,72,1
6162,1,24,7900,8969,0,60,1
2380,0,49,8905,9488,1,48,0
4335,0,23,12950,13781,0,24,1
6878,5,51,14390,7890,1,48,0
1115,3,31,17205,18000,1,72,0
1419,1,34,12890,14338,0,48,1
3786,20,79,15958,15958,0,48,0
1030,0,18,9900,9900,0,60,1
4370,1,24,7990,8556,0,36,1
5400,13,82,13480,13858,0,36,1
4838,2,20,21990,24215,0,72,1
1897,8,73,12650,12650,0,48,1
6666,1,21,11750,12767,0,60,1
4672,0,22,3895,4312,0,36,1
4758,21,57,5490,5607,0,60,1
4830,5,29,16990,23509,0,96,1
1406,1,18,10990,11822,0,48,1
5584,0,20,11313,8490,0,48,0
6091,0,29,11800,13266,0,96,1
6283,13,54,25500,13690,1,24,0
5114,0,32,7165,6685,0,60,1
5939,0,20,10120,11001,0,36,0
3418,4,22,7995,8505,0,60,1
278,15,78,4365,1550,1,12,0
3119,0,32,29990,29990,0,60,1
2715,1,24,13490,15007,0,96,1
2598,1,18,11690,11690,0,60,1
2843,6,40,11900,5300,1,72,1
259,0,26,5019,5548,0,36,1
7058,8,39,12990,14585,0,48,1
683,11,45,27500,5312,1,24,0
5904,2,55,14290,4290,1,24,0
1620,4,21,8890,9714,0,72,1
7380,24,62,9000,4462,1,24,0
3121,17,45,13794,14925,0,60,1
7191,20,48,22250,11150,1,60,0
3721,0,56,13300,14970,0,60,1
5974,4,29,10585,11878,0,96,1
1891,3,19,27290,26911,0,60,1
86,2,66,9500,11524,0,72,1
3620,6,34,6190,6720,0,24,1
2107,0,23,10990,11941,0,60,1
3165,36,61,13000,7235,0,72,1
5102,1,57,9600,4600,1,48,0
5889,1,38,2500,2132,0,24,1
2728,0,29,10980,13133,0,84,1
6680,1,21,22995,22995,0,72,1
4708,5,27,15150,13766,1,60,0
1961,0,22,5990,7196,0,96,1
3980,1,32,6598,1598,1,24,0
3589,6,34,13659,17476,1,72,1
4836,11,47,26797,26797,0,18,1
1039,28,49,4800,5470,0,60,1
1263,3,20,6960,7729,0,60,1
1464,0,43,10990,12154,0,84,1
4970,1,28,14351,14351,1,60,1
1055,3,58,5628,4243,0,36,1
3908,0,22,10333,11181,0,60,1
437,4,27,8990,9621,0,48,1
1309,1,26,18980,22948,0,96,1
228,4,50,17460,18490,1,60,0
